"School Name","Address","City","State","Zip","First","Last","Area Code","Phone","Email","County","Type"
"Patriot Preparatory Academy","4938 Beatrice Dr","Columbus","OH","43227","Howard","Mcilrath","614","8645332","superintendent@patriotprep.com","Franklin","High School"
"Imagine on Superior","1500 Superior Ave NE","Canton","OH","44705","Christopher","Haynes","330","4512050","abchaynes@gmail.com","Stark","Elementary School"
"North Central Academy ","928 W Market St Ste B","Tiffin","OH","44883","Brenda","Luhring","419","4485786","bluhring@ncoesc.org","Seneca","High School"
"Akros Middle School","265 Park St","Akron","OH","44304","Christina","Burchfield","330","3746704",,"Summit","Middle School"
"Quest Community School","12000 Snow Rd Ste 415","Parma","OH","44130","Jon","Kristoff",,,"jkristoff@questcommunityschool.org","Cuyahoga","High School"
"Southside Academy","1833 Market St","Youngstown","OH","44507","Gerald","Nadeau","330","7429090","Jerry.Nadeau@whitehatmgmt.com","Mahoning","Elementary School"
"Pickerington Community School","7800 Refugee Rd","Pickerington","OH","43147","Bobby","Blackburn",,,"bob_blackburn@plsd.us","Fairfield","High School"
"Beacon Hill Academy","PO Box 285","Mount Eaton","OH","44659","Bradley","Herman","330","3595600","tesc_bherman@tccsa.net","Wayne","Junior High School"
"Cincinnati College Preparatory Academy East","4324 Homer Ave","Cincinnati","OH","45227","Genesis","Henderson","513","2411101","ghenderson0814@gmail.com","Hamilton","Elementary School"
"The Academy for Urban Scholars","1808 E Broad St","Columbus","OH","43203","Lloyd","Martin","614","5459890","drlmartin@ausohio.com","Franklin","High School"
"Focus North High School","4807 Evanswood Dr","Columbus","OH","43229","Kathy","Williams","614","3100430","kathy.williams@focuslearn.org","Franklin","High School"
"UBAH Math & Reading Academy","3850 Sullivant Ave","Columbus","OH","43228","Lance","Weber","614","2796000","lweber@newbridgelearning.com","Franklin","Elementary School"
"University of Cleveland Preparatory School","1906 E 40th St","Cleveland","OH","44103","Heather","Stevens",,,"hstevens@icanschools.org","Cuyahoga","High School"
"Imagine Woodbury Academy","100 E Woodbury Dr","Dayton","OH","45415","Kathryn","Kountz",,,"Kathryn.Kountz@imagineschools.com","Montgomery","Elementary School"
"Pearl Academy","4850 Pearl Rd","Cleveland","OH","44109","Sharon","Jones","216","7412991","sharon.jones@whitehatmgmt.com","Cuyahoga","Elementary School"
"Woodland Academy","10615 Lamontier Ave","Cleveland","OH","44104","Sharon","Jones","216","7216909","sharon.jones@whitehatmgmt.com","Cuyahoga","High School"
"Global Village Academy","5720 State Rd","Parma","OH","44134","Oleh","Holowatyj","216","7675956","olehholowatyjsr@hotmail.com","Cuyahoga","Elementary School"
"Accelerated Achievement Academy of East Cincinnati","415 W Court St","Cincinnati","OH","45203","Gamal","Brown",,,"gamal.brown@edisonlearning.com","Hamilton","High School"
"OAK Leadership Institute","8610 Hough Ave","Cleveland","OH","44106","Angela","Bennett",,,"angelathibennett@yahoo.com","Cuyahoga","Elementary School"
"STEAM Academy of Akron","1350 Virginia Ave","Akron","OH","44306","Nova","O'Callaghan","330","7731100","nocallaghan@mosaicaeducation.com","Summit","Elementary School"
"Imagine Integrity Academy","1565 Integrity Dr E","Columbus","OH","43209","Michelle","Brown",,,"michelle.brown@imagineschools.com","Franklin","Elementary School"
"Great Expectations Elementary School","20 Arco Dr","Toledo","OH","43607","Olanrewaju","Oriowo","419","4906252","lanre@mangen1.com","Lucas","Elementary School"
"Impact Academy Cincinnati","3060 Durrell Ave","Cincinnati","OH","45207","Brandon","Godzik","513","7512000","brandon@mangen1.com","Hamilton","Elementary School"
"STEAM Academy of Warren","261 Elm Rd NE","Warren","OH","44483","Timothy","Freeman","330","3943200","TFreeman@steamacademywarren.org","Trumbull","Elementary School"
"Garfield Academy","1379 Garfield Ave SW","Canton","OH","44706","Gerald","Nadeau","330","4543128","Jerry.Nadeau@whitehatmgmt.com","Stark","High School"
"Constellation Schools: Eastside Arts Academy","6700 Lansing Ave","Cleveland","OH","44105","Gerald","Preseren","216","4419830","preseren.gerald@constellationschools.com","Cuyahoga","Elementary School"
"Accelerated Achievement Academy of North Cincinnati","2712 Vine St","Cincinnati","OH","45219","Gamal","Brown","513","2464260","gamal.brown@edisonlearning.com","Hamilton","High School"
"Broadway Academy","3398 E 55th St","Cleveland","OH","44127","Sharon","Jones","216","2717747","sharon.jones@whitehatmgmt.com","Cuyahoga","Middle School"
"Citizens Academy East","12523 Woodside Ave","Cleveland","OH","44108","Margaret","Hirschfeld",,,"mhirschfeld@citizensacademy.org","Cuyahoga","Elementary School"
"Townsend North Community School","305 S Washington St","Castalia","OH","44824","Peter","Bartkowiak","419","6845351","pbartkowiak@margaretta.k12.oh.us","Erie","High School"
"DECA PREP","200 Homewood Ave","Dayton","OH","45405","Judy","Hennessey","937","2295782","jhennessey@daytonearlycollege.org","Montgomery","Elementary School"
"Columbus Collegiate Academy - West","300 Dana Ave","Columbus","OH","43223","Andrew","Boy",,,"aboy@unitedschoolsnetwork.org","Franklin","Middle School"
"Graham Primary School","3950 Indianola Ave","Columbus","OH","43214","Eileen","Meers","614","2534001","cheryl@thegrahamschool.org","Franklin","Elementary School"
"Village Preparatory School:: Woodland Hills Campus","9201 Crane Ave","Cleveland","OH","44105","Christopher","O'Brien",,,"cobrien@theprepschools.org","Cuyahoga","Elementary School"
"West Carrollton Secondary Academy","3400 W Alex Bell Rd","West","OH","45449","Rusty","Clifford",,,"rclifford@wcsd.k12.oh.us","Montgomery","High School"
"The Haley School","4556 Warrensville Center Rd","North Randall","OH","44128","Richard","Hronek","216","5814259","richard.hronek@thehaleyschool.net","Cuyahoga","Middle School"
"Lake Erie College Preparatory School","14405 Saint Clair Ave","Cleveland","OH","44110","Heather","Stevens",,,"hstevens@icanschools.org","Cuyahoga","High School"
"STEAM Academy of Dayton","545 Odlin Ave","Dayton","OH","45405","Judy","Eschleman",,,"jeschleman@mosaicaeducation.com","Montgomery","High School"
"STEAM Academy of Warrensville Heights","4700 Richmond Rd Ste 3000","Warrensville Heights","OH","44128","Gary","Lane","216","5952866","GLane@STEAMWarrensville.org","Cuyahoga","High School"
"Stepstone Academy","2121 E 32nd St","Cleveland","OH","44115","Susan","Hyland",,,"susan.hyland@guidestoneohio.org","Cuyahoga","Elementary School"
"Believe to Achieve-Canton","101 Cleveland Ave NW","Canton","OH","44702","Amy","Doerman",,,"adoerman@gps.us.com","Stark","Elementary School"
"Believe To Achieve-Cleveland","12200 Fairhill Rd","Cleveland","OH","44120","Amy","Doerman","216","5395935","adoerman@gps.us.com","Stark","Elementary School"
"Hope Academy for Autism","1628 Niles Rd SE","Warren","OH","44484","Kimberly","Clinkscale",,,"sgodschildren@aol.com","Trumbull","High School"
"Imagine Hill Avenue","6145 Hill Ave","Toledo","OH","43615","Adrianna","Chestnut","419","8678167","Adrianna.chestnut@imagineschools.com","Lucas","Elementary School"
"Young Scholars Prep School","1533 Cleveland Ave","Columbus","OH","43211","Jason","Wall",,,"jason@wall2walledu.com","Franklin","Elementary School"
"Kids Unlimited Academy","2105 N McCord Rd","Toledo","OH","43615","Erica","Pharis","419","7255437",,"Lucas","High School"
"Academy of Educational Excellence","4747 Heatherdowns Blvd.","Toledo","OH","43614","Dessa","Harris",,,"drmarlaina@gmail.com","Lucas","Elementary School"
"Brookwood Academy","2685 E Livingston Ave","Columbus","OH","43209","Ellen","Wristen","614","2311199","ellen_wristen@yahoo.com","Franklin","High School"
"Nexus Academy of Cleveland","3615 Superior Ave E Bldg 44","Cleveland","OH","44114","Elizabeth","Hibbs",,,"Elizabeth.Hibbs@hope-academies.com","Cuyahoga","High School"
"Nexus Academy of Toledo","600 Jefferson Ave","Toledo","OH","43604","Andrea","Weilacher",,,"aweilacher@connectionseducation.com","Lucas","High School"
"Nexus Academy of Columbus","4689 Hilton Corporate Dr","Columbus","OH","43232","Andrew","Pasquinilli",,,,"Franklin","High School"
"Life Skills High School of Cleveland","4600 Carnegie Ave","Cleveland","OH","44103","Patricia","Marxen","216","4317571","Patti.Marxen@whitehatmgmt.com","Cuyahoga","High School"
"A+ Children's Academy","100 Obetz Rd","Columbus","OH","43207","MELINDA","HARDGROW","614","4918502","mdhardgrow@apluschildrensacademy.org","Franklin","Elementary School"
"Southern Ohio Academy","522 Glenwood Ave","New Boston","OH","45662","Patricia","Ciraso","740","2596843","pat.ciraso@sciototech.org","Scioto","High School"
"Cincinnati State STEM Academy","3520 Central Pkwy Ste 143 Mezz","Cincinnati","OH","45223","Stephanie","Morton","513","5691820","stephanie.mortons@cssa-k12.org","Hamilton","High School"
"Academy for Urban Scholars Youngstown","1350 5th Ave Ste 100 106","Youngstown","OH","44504","Lloyd","Martin","330","7449070","drlmartin@ausohio.com","Franklin","High School"
"Ohio Collegiate Academy","21100 Southgate Park Blvd","Maple Heights","OH","44137","Heather","Stevens","216","3379066","hstevens@icanschools.org","Cuyahoga","High School"
"Akron Preparatory School","1200 E Market St Ste 3360","Akron","OH","44305","Heather","Stevens","330","6125621","hstevens@icanschools.org","Summit","High School"
"Canton College Preparatory School","2215 3rd St SE","Canton","OH","44707","Heather","Stevens",,,"hstevens@icanschools.org","Stark","High School"
"First Time Learners Academy","3385 South Blvd","Columbus","OH","43204","Abdalla","Kassim","614","2752068","akassim@ftlacademy.org","Franklin","Elementary School"
"Cincinnati Technology Academy","3800 Glenway Ave","Cincinnati","OH","45205","Roger","Conners","513","4717323",,"Hamilton","High School"
"Franklinton Preparatory Academy","40 Chicago Ave","Columbus","OH","43222","Martin","Griffith",,,"griffith@franklintonprep.org","Franklin","High School"
"Barnett Academy of Columbus-East","4300 Kimberly Pkwy N","Columbus","OH","43232","Thurron","Barnett","614","5730225","jadyn228@yahoo.com","Franklin","Elementary School"
"Liberty Preparatory School","741 Winkler Dr","Wooster","OH","44691","Samuel","Wilson",,,"tesc_awilson@tccsa.net","Wayne","High School"
"Cincinnati Learning Schools","5641 Belmont Ave","Cincinnati","OH","45224","Robert","Sommers","513","3636600","sommersb@butlertech.org","Hamilton","High School"
"Rise & Shine Academy","3248 Warsaw St","Toledo","OH","43608","Derrick","Roberts","419","2449900","droberts520@gmail.com","Lucas","Elementary School"
"Secor Gardens Academy","3319 Nebraska Ave","Toledo","OH","43607","Samuel","Hancock",,,"hha101@aol.com","Lucas","Elementary School"
"Northmont Secondary Academy","4001 Old Salem Rd","Englewood","OH","45322",,,,,,"Montgomery","High School"
"Brown Street Academy","1035 Clay St","Akron","OH","44301","Gerald","Nadeau","330","7850180","Jerry.Nadeau@whitehatmgmt.com","Summit","Middle School"
"Chapelside Cleveland Academy","3845 E 131st St","Cleveland","OH","44120","Gerald","Nadeau","216","2836589","Jerry.Nadeau@whitehatmgmt.com","Cuyahoga","Middle School"
"Life Skills High School of Middletown","631 S Breiel Blvd","Middletown","OH","45044","Joseph","Buckalew","513","4231800","joseph.buckalew@lifeskillscenters.com","Butler","High School"
"University Academy","107 S Arlington St","Akron","OH","44306","Gerald","Nadeau","330","5357728","Jerry.Nadeau@whitehatmgmt.com","Summit","Middle School"
"Winton Preparatory Academy","4750 Winton Rd","Cincinnati","OH","45232","David","Stiles","513","2764166",,"Hamilton","Middle School"
"Lincoln Park Academy","3185 W 41st St","Cleveland","OH","44109","Gerald","Nadeau","216","2637008","Jerry.Nadeau@whitehatmgmt.com","Cuyahoga","Middle School"
"Main Street Preparatory Academy","388 S Main St","Akron","OH","44311","David","Stiles","234","7381925",,"Summit","Middle School"
"Ohio Construction Academy","1725 Jetway Blvd","Columbus","OH","43219","Barton","Hacker",,,"bhacker@centralohioabc.org","Franklin","High School"
"Aladdin Academy","585 E Livingston St","Celina","OH","45822","Andrew","Smith",,,"smitha@mercercountyesc.org","Mercer","High School"
"Insight School of Ohio","33 N 3rd St Ste 620","Columbus","OH","43215","Amanda","Conley","614","3002766","aconley@k12.com","Franklin","High School"
"Berwyn East Academy","1850 Bostwick Rd","Columbus","OH","43227","Shannan","Jones","614","5649548","sjones@2kschool.com","Franklin","Elementary School"
"Hope Learning Academy of Toledo","4234 Monroe St","Toledo","OH","43606","Daniel","Lavalley",,,"djl@lavalley-law.com","Lucas","High School"
"Lawrence County Academy","11627 State Route 243","Chesapeake","OH","45619","Robert","Wilds","740","8676641","bob.wilds@lc.k12.oh.us","Lawrence","High School"
"Imagine Leadership Academy","2405 Romig Rd","Akron","OH","44320","Erica","Lucas",,,"erica.lucas@imagineschools.com","Summit","Elementary School"
"The Next Frontier Academy","4663 Anderson Rd","South","OH","44121",,,,,,"Summit","Junior High School"
"STEAM Academy of  Cincinnati","3556 Reading Rd","Cincinnati","OH","45229","Valerie","Maxsam",,,"VMaxsam@steamacademycincinnati.org","Hamilton","High School"
"Mosaica Online of Ohio","1333 Morse Rd","Columbus","OH","43229","JAMES","LANG","614","2611200","jlang@columbuspreparatory.org","Franklin","High School"
"Imagine Columbus Primary School","4656 Heaton Rd","Columbus","OH","43229","Renee","Dunn","614","4337510","renee.dunn@imagineschools.com","Franklin","Elementary School"
"East Preparatory Academy","4129 Superior Ave","Cleveland","OH","44103","David","Stiles","216","5390595",,"Cuyahoga","Middle School"
"Provost Academy Ohio","4707 Hilton Corporate Dr","Columbus","OH","43232","Naim","Sanders",,,,"Franklin","High School"
"Dayton SMART Elementary School","601 S Keowee St","Dayton","OH","45410","Douglas","Mangen","937","5462636","doug@mangen1.com","Montgomery","Elementary School"
"Celerity Tenacia Charter School","4601 Hilton Corporate Dr","Columbus","OH","43232",,,,,,"Franklin","Elementary School"
"East Academy","15720 Kipling Ave","Cleveland","OH","44110","Sharon","Jones","216","3831214","sharon.jones@whitehatmgmt.com","Cuyahoga","High School"
"Discovery Academy","3835 Secor Rd","Toledo","OH","43623","Noah","Campbell","419","2143266","noah.campbell@leonagroup.com","Lucas","Elementary School"
"West Park Academy","12913 Bennington Ave","Cleveland","OH","44135","Sharon","Jones","216","2515450","sharon.jones@whitehatmgmt.com","Cuyahoga","High School"
"Life Skills High School of Springfield","1637 Selma Rd","Springfield","OH","45505","Vallrey","Crump","937","3222940","vallrey.crump@hope-academies.com","Clark","High School"
"Watkins Academy","24 N Jefferson St","Dayton","OH","45402","Bobbie","Tyree","937","2209100","watkinselementary@hotmail.com","Montgomery","High School"
"Summit Acdy Comm Schl for Alternative Learners of Middletown","4700 Central Ave","Middletown","OH","45044","Debra","Skul","513","4228540",,"Butler","Elementary School"
"Summit Academy Community School Alternative Learners -Xenia","1694 Pawnee Dr","Xenia","OH","45385","Debra","Skul","937","3725210",,"Greene","Elementary School"
"Summit Academy Akron Middle School","2791 Mogadore Rd","Akron","OH","44312","Debra","Skul","330","2521510",,"Summit","Middle School"
"Springfield Academy of Excellence","623 S Center St","Springfield","OH","45506","Roseann","Pratt","937","3250933","rannpratt@aol.com","Clark","Elementary School"
"Cliff Park High School","821 N Limestone St","Springfield","OH","45503","John","Stack","937","3423006","John.Stack@cambridgegrp.org","Clark","High School"
"Marshall High School","4720 Roosevelt Blvd","Middletown","OH","45044","John","Stack","513","3187078","John.Stack@cambridgegrp.org","Butler","High School"
"Miami Valley Academies","5656 Springboro Pike","Dayton","OH","45449","Jennifer","Horn-Claypool","937","2944522",,"Montgomery","High School"
"Constellation Schools: Lorain Community Elementary","5983 W 54th St","Parma","OH","44129","Gerald","Preseren","440","2042130","preseren.gerald@constellationschools.com","Lorain","Elementary School"
"Constellation Schools: Elyria Community","300 N Abbe Rd","Elyria","OH","44035","Gerald","Preseren","440","3665225","preseren.gerald@constellationschools.com","Lorain","Elementary School"
"Youthbuild Columbus Community","1183 Essex Ave","Columbus","OH","43201","Derek","Steward","614","2910805","dls2@hotmail.com","Franklin","High School"
"Constellation Schools: Westpark Community Elementary","16210 Lorain Ave","Cleveland","OH","44111","Gerald","Preseren","216","6880271","preseren.gerald@constellationschools.com","Cuyahoga","Elementary School"
"Intergenerational School, The","11327 Shaker Blvd Ste 200 E.","Cleveland","OH","44104","Brooke","King","216","7210120","BKing@tisonline.org","Cuyahoga","Elementary School"
"Constellation Schools: Parma Community","7667 Day Dr Fl 1ST","Parma","OH","44129","Gerald","Preseren","440","8885490","preseren.gerald@constellationschools.com","Cuyahoga","High School"
"Dohn Community","608 E Mcmillan St","Cincinnati","OH","45206","Kenneth","Furrier","513","2816100",,"Hamilton","High School"
"Washington Park Community","4000 Washington Park Blvd","Newburgh Heights","OH","44105","Robert","Horrocks","216","2716055","rhorrocks@wpcsoh.org","Cuyahoga","Elementary School"
"Summit Academy Community School for Alternative Learn-Canton","1620 Market Ave S","Canton","OH","44707","Debra","Skul","330","4580393",,"Stark","Elementary School"
"Summit Academy Community School Alternative Learners-Lorain","2140 E 36th St","Lorain","OH","44055","Debra","Skul","440","2774110",,"Lorain","Elementary School"
"T.C.P. World Academy","6000 Ridge Ave","Cincinnati","OH","45213","Karen","French","513","5319500","tcpkarenfrench@gmail.com","Hamilton","Elementary School"
"Richard Allen Preparatory","627 Salem Ave","Dayton","OH","45406","Michelle","Thomas","937","2784201","mthomas@richardallenschools.com","Montgomery","Elementary School"
"Lighthouse Community Sch Inc","6100 Desmond St","Cincinnati","OH","45227","Daniel","Trujillo","513","5617888","dtrujillo@lys.org","Hamilton","High School"
"Electronic Classroom Of Tomorrow","3700 S High St Ste 95","Columbus","OH","43207","Ricky","Teeters","614","4928884",,"Franklin","High School"
"Graham School, The","3950 Indianola Ave","Columbus","OH","43214","Eileen","Meers","614","2621111","cheryl@thegrahamschool.org","Franklin","High School"
"Cornerstone Academy Community","6015 E Walnut St","Westerville","OH","43081","Natalee","Long","614","7750615","nlong@cornerstoneacad.org","Franklin","Elementary School"
"Dayton Leadership Academies-Dayton View Campus","1416 W Riverview Ave","Dayton","OH","45402","Theodore","Wallace","937","5679426","tj.wallace@daytonleadershipacademies.com","Montgomery","Elementary School"
"Life Skills Of Trumbull County","458 Franklin St SE","Warren","OH","44483","Patricia","Marxen","330","3920231","Patti.Marxen@whitehatmgmt.com","Trumbull","High School"
"Phoenix Community Learning Ctr","3595 Washington Ave","Cincinnati","OH","45229","Glenda","Brown","513","3515801","geedm@aol.com","Hamilton","Elementary School"
"Cincinnati College Preparatory Academy","1425 Linn St","Cincinnati","OH","45214","Guyton","Mathews III","513","6840777","gmcmathews@yahoo.com","Hamilton","High School"
"Citizens Academy","10118 Hampden Ave","Cleveland","OH","44108","Margaret","Hirschfeld","216","7914195","mhirschfeld@citizensacademy.org","Cuyahoga","Elementary School"
"Edge Academy, The","92 N Union St","Akron","OH","44304","Christina","Burchfield","330","5354581",,"Summit","Elementary School"
"Millennium Community School","3500 Refugee Rd","Columbus","OH","43232","Tijuana","Russell","614","2555585","Trussell@2kschool.com","Franklin","Elementary School"
"Summit Academy Akron Elementary School","2503 Leland Ave","Akron","OH","44312","Debra","Skul","330","2537441",,"Summit","Elementary School"
"Horizon Science Acad Cleveland","6000 S Marginal Rd","Cleveland","OH","44103","MURAT","EFE","216","4323660","efe@conceptschools.org","Cuyahoga","High School"
"Horizon Science Academy Columbus","1070 Morse Rd","Columbus","OH","43229","Hizir","Disli","614","8467616","disli@conceptschools.org","Franklin","High School"
"Riverside Academy","3280 River Rd","Cincinnati","OH","45204","Margaret","Ford","513","9217777","maggie.ford@whitehatmgmt.com","Hamilton","Elementary School"
"Richard Allen Academy","184 Salem Ave","Dayton","OH","45406","Michelle","Thomas","937","5869815","mthomas@richardallenschools.com","Montgomery","Elementary School"
"Life Skills Ctr Of Cincinnati","2612 Gilbert Ave","Cincinnati","OH","45206","Vallrey","Crump","513","4750222","vallrey.crump@hope-academies.com","Hamilton","High School"
"Life Skills Ctr Of Youngstown","3405 Market St","Youngstown","OH","44507","Patricia","Marxen","330","7436698","Patti.Marxen@whitehatmgmt.com","Mahoning","High School"
"Lincoln Preparatory School","4215 Robert Ave","Cleveland","OH","44109","David","Stiles","216","7721336",,"Cuyahoga","Elementary School"
"Invictus High School","3120 Euclid Ave","Cleveland","OH","44115","John","Stack","216","5397200","John.Stack@cambridgegrp.org","Cuyahoga","High School"
"Towpath Trail High School","275 W Market St","Akron","OH","44303","John","Stack","234","5420102","John.Stack@cambridgegrp.org","Summit","High School"
"Toledo School For The Arts","333 14th St","Toledo","OH","43604","Martin","Porter","419","2468732","mporter@ts4arts.org","Lucas","High School"
"Youngstown Community School","50 Essex St","Youngstown","OH","44502","Dennis","Rice","330","7462240","DRice@ycs.k12.oh.us","Mahoning","Elementary School"
"Constellation Schools: Old Brooklyn Community Elementary","4430 State Rd","Cleveland","OH","44109","Gerald","Preseren","216","6617888","preseren.gerald@constellationschools.com","Cuyahoga","Elementary School"
"Autism Model School","3020 Tremainsville Rd","Toledo","OH","43613","Mary","Walters","419","8974400","mlw.model@gmail.com","Lucas","High School"
"Aurora Academy","541 Utah St","Toledo","OH","43605","Cindy","Wilson","419","6936841",,"Lucas","Elementary School"
"Green Inspiration Academy","4265 Northfield Rd","Highland Hills","OH","44128","April","Hart","216","8820554","hartlaw1@sbcglobal.net","Cuyahoga","Elementary School"
"Middlebury Academy","88 Kent St","Akron","OH","44305","David","Stiles","330","7522766",,"Summit","Elementary School"
"Colonial Prep Academy","2199 5th St SW","Akron","OH","44314","David","Stiles","330","7522792",,"Summit","Elementary School"
"City Day Community School","318 S Main St","Dayton","OH","45402","Bryan","Richardson","937","2238130","brichardson@citydayschool.com","Montgomery","Elementary School"
"East End Comm Heritage School","2001 Baltimore Ave","Cincinnati","OH","45225","Joseph","Brandt","513","2813900","EDUCATIONALSPECIALISTS@GMAIL.COM","Hamilton","High School"
"Life Skills Center  of Canton","1100 Cleveland Ave NW","Canton","OH","44702","Patricia","Marxen","330","4564490","Patti.Marxen@whitehatmgmt.com","Stark","High School"
"Life Skills Center of Elyria","2015 W River Rd N","Elyria","OH","44035","Patricia","Marxen","440","3241755","Patti.Marxen@whitehatmgmt.com","Lorain","High School"
"Focus Learning Academy of Southwest Columbus","190 Southwood Ave","Columbus","OH","43207","Julie","Nelson Slagle","614","5452000","julie.nelson@focuslearn.org","Franklin","High School"
"Focus Learning Academy of Southeastern Columbus","4480 Refugee Rd","Columbus","OH","43232","Erin","Scott","614","2690150","erin.scott@focuslearn.org","Franklin","High School"
"Focus Learning Academy of Northern Columbus","4795 Evanswood Dr","Columbus","OH","43229",,,"614","5470927",,"Franklin","Elementary School"
"Ohio Virtual Academy","1655 Holland Rd Ste F","Maumee","OH","43537","Kristin","Stewart","419","4820948","kstewart@k12.com","Lucas","High School"
"Hope Academy Northcoast","4310 E 71st St","Cleveland","OH","44105","Sharon","Jones","216","4290232","sharon.jones@whitehatmgmt.com","Cuyahoga","Elementary School"
"Mound Street IT Careers Academy","354 Mound St","Dayton","OH","45407","William","Couts",,,"wcouts@moundstreet.org","Montgomery","High School"
"Mound Street Military Careers Academy","354 Mound St","Dayton","OH","45407","William","Couts",,,"wcouts@moundstreet.org","Montgomery","High School"
"Mound Street Health Careers Acadmy","354 Mound St","Dayton","OH","45407","William","Couts",,,"wcouts@moundstreet.org","Montgomery","High School"
"Life Skills Center Of Hamilton County","7710 Reading Rd","Cincinnati","OH","45237","Vallrey","Crump","513","8216695","vallrey.crump@hope-academies.com","Hamilton","High School"
"International Acad Of Columbus","1201 Shrock Ct","Columbus","OH","43229","Mouhamed","Tarazi","614","8445539","tarazim@iac-school.com","Franklin","Elementary School"
"Great Western Academy","310 N Wilson Rd","Columbus","OH","43204","Jason","Knight","614","2761028","Jason.knight@imagineschools.com","Franklin","Elementary School"
"Trotwood Fitness & Prep Acad","3100 Shiloh Springs Rd","Trotwood","OH","45426","Bryan","Wagoner","937","8544100","bwagoner@edvantages.com","Montgomery","Elementary School"
"Middletown Fitness & Prep Acad","816 2nd Ave","Middletown","OH","45044","Bryan","Wagoner","513","4246110","bwagoner@edvantages.com","Butler","Elementary School"
"The Autism Academy Of Learning","219 Page St","Toledo","OH","43620","Mark","Lafferty","419","8657487","mlafferty@theautismacademy.org","Lucas","High School"
"Treca Digital Academy","100 Executive Dr","Marion","OH","43302","Mike","Carder","740","3894798","mcarder@treca.org","Marion","High School"
"West Preparatory Academy","13111 Crossburn Ave","Cleveland","OH","44135","David","Stiles","216","7721340",,"Cuyahoga","Elementary School"
"Alternative Education Academy","1830 Adams St","Toledo","OH","43624","Michael","Woods","330","2538680","michael.woods@ohdela.com","Lucas","High School"
"Mollie Kessler","118 E Wood St","Youngstown","OH","44503","Lydia","Brown-Payton","330","7463095","lydiapayton@molliekesslerschool.org","Mahoning","Elementary School"
"Constellation Schools: Puritas Community Elementary","15204 Puritas Ave","Cleveland","OH","44135","Gerald","Preseren","216","6880680","preseren.gerald@constellationschools.com","Cuyahoga","Elementary School"
"Constellation Schools: Stockyard Community Elementary","3200 W 65th St","Cleveland","OH","44102","Gerald","Preseren","216","6515143","preseren.gerald@constellationschools.com","Cuyahoga","Elementary School"
"Constellation Schools: Mansfield Community Elementary","215 N Trimble Rd","Mansfield","OH","44906","Gerald","Preseren","419","5224578","preseren.gerald@constellationschools.com","Richland","Elementary School"
"Lake Erie Academy","2740 W Central Ave","Toledo","OH","43606","Karyn","Benner","419","4753786","karyn.benner@leonagroup.com","Lucas","Elementary School"
"North Dayton School Of Science & Discovery","3901 Turner Rd","Dayton","OH","45415","Jacqueline","Robbeloth","937","2786671","42.jrobbeloth@nhaschools.com","Montgomery","Elementary School"
"Virtual Community School Of Ohio","4480 Refugee Rd","Columbus","OH","43232","Jeffrey","Nelson","614","5019473","jeff.nelson@vcslearn.org","Franklin","High School"
"Eagle Academy","2014 Consaul St","Toledo","OH","43605","Mitchel","Bean","419","6972760",,"Lucas","High School"
"Richard Allen Academy II","184 Salem Ave","Dayton","OH","45406","Michelle","Thomas","937","5869756","mthomas@richardallenschools.com","Montgomery","Elementary School"
"Richard Allen Academy III","1206 Shuler Ave","Hamilton","OH","45011","Michelle","Thomas","513","8682900","mthomas@richardallenschools.com","Butler","Elementary School"
"Hamilton Cnty Math & Science","2675 Civic Center Dr","Cincinnati","OH","45231","Dwan","Moore","513","7288620","dwan-moore@cinci.rr.com","Hamilton","Elementary School"
"Arts & College Preparatory Academy","4401 Hilton Corporate Dr","Columbus","OH","43232","Anthony","Gatto","614","9869974","gatto@artcollegeprep.org","Franklin","High School"
"Sciotoville","224 Marshall St","Portsmouth","OH","45662","Rick","Bowman","740","7766777","rick.bowman@east.k12.oh.us","Scioto","High School"
"Schnee Learning Center","2222 Issaquah St","Cuyahoga Falls","OH","44221","Todd","Nichols","330","9221966","cf_nichols@cfalls.org","Summit","High School"
"Marion City Digital Academy","910 E Church St","Marion","OH","43302","Tabatha","Varner","740","2234417","tabatha@marioncity.k12.oh.us","Marion","High School"
"Franklin Local Community School","PO Box 95","Roseville","OH","43777","Shannon","Fitz","740","6977317","shannon.fitz@omeresa.net","Muskingum","High School"
"Tomorrow Center","PO Box 216","Edison","OH","43320","Jeffrey","Thompson","419","9461900","jeffthompson@mgschools.org","Morrow","High School"
"Mahoning Unlimited Classroom","100 Debartolo Pl Ste 170","Youngstown","OH","44512","Jennifer","Whittemore","330","9657828","J.Whittemore@MahoningESC.org","Mahoning","High School"
"Goal Digital Academy","890 W 4th St","Mansfield","OH","44906","Patricia","Jenkins","419","5219008",,"Morrow","High School"
"Akron Digital Academy","335 S Main St","Akron","OH","44308","DAVID","BOWLIN","330","2372232","dbowlin@akrondigital.k12.oh.us","Summit","High School"
"Urbana Community School","711 Wood St","Urbana","OH","43078","Charles","Thiel","937","6531402","charles.thiel@urbanacityschools.org","Champaign","High School"
"Fairborn Digital Academy","700 Black Ln","Fairborn","OH","45324","Robert","Grimshaw","937","8790511","rgrimshaw@fairborn.k12.oh.us","Greene","High School"
"Life Skills Center Of Toledo","1830 Adams St","Toledo","OH","43624","Joseph","Buckalew","419","2415504","joseph.buckalew@lifeskillscenters.com","Lucas","High School"
