"County Name","District Name","District City","School Name","School Street Address","School City","School State","School Zip","Phone","Fax","Email Address","School Principal","Grade Range","Enrollment"
"HARRIS COUNTY","HOUSTON ISD","HOUSTON","VISION ACADEMY","4590 WILMINGTON ST","HOUSTON","TX","77051","(713) 748-0030","(713) 748-0037","ctate@houstonisd.org","CARRIE TATE   ","'09-12","37"
"DALLAS COUNTY","RECONCILIATION ACADEMY","DALLAS","RECONCILIATION ACADEMY","4301 BRYAN STREET STE 120","DALLAS","TX","75204","(214) 821-9192","(214) 824-4447","cthorne@radallas.org","CAROL THORNE   ","'PK-12","191"
"BEXAR COUNTY","GEORGE GERVIN ACADEMY","SAN ANTONIO","THE EDUCATION AND TRAINING CENTER","3030 E COMMERCE ST","SAN ANTONIO","TX","78220-3336","(210) 587-3576","(210) 587-3587","cvlandy@gervin-school.org","MR CHARLIE V LANDY JR   ","'PK-12","100"
"TOM GREEN COUNTY","TEXAS LEADERSHIP","SAN ANGELO","TLC ACADEMY","5687 MELROSE","SAN ANGELO","TX","76901","(325) 653-3200","(325) 942-6795","cwilmoth@tlca-sa.com","MS CHRISTINE WILMOTH   ","'PK-12","745"
"BEXAR COUNTY","HIGGS CARTER KING GIFTED & TALENTED CHARTER ACAD","SAN ANTONIO","HIGGS CARTER KING GIFTED & TALENTED CHARTER ACAD","511 FREDERICKSBURG RD","SAN ANTONIO","TX","78201","(210) 735-2341","(210) 733-6434","cyarbrough@higgscarterking.org","CLAUDETTE Y YARBROUGH   ","'PK-12","695"
"DALLAS COUNTY","EVOLUTION ACADEMY CHARTER SCHOOL","RICHARDSON","EVOLUTION ACADEMY CHARTER SCHOOL","1101 S SHERMAN","RICHARDSON","TX","75081-4852","(972) 907-3755","(972) 907-3765","cynthia.trigg@evolutionacademy.org","CYNTHIA JONES TRIGG   ","'09-12","420"
"ERATH COUNTY","PREMIER HIGH SCHOOLS","LEWISVILLE","PREMIER H S OF EL PASO","P O BOX 292730","LEWISVILLE","TX","75029","(915) 581-4300","(915) 581-4378","dacevedo@responsiveed.com","    ","'06-12","0"
"WALKER COUNTY","RAVEN SCHOOL","NEW WAVERLY","RAVEN SCHOOL","143 FOREST SERVICE RD #233","NEW WAVERLY","TX","77358","(936) 344-7235","(936) 344-7236","dale.underwood@gctcw.org","MR DALE UNDERWOOD   ","'09-12","110"
"DALLAS COUNTY","HONORS ACADEMY","DALLAS","LANDMARK SCHOOL","101 BRUSHY CREEK RD","PALESTINE","TX","75801","(903) 729-4208","(903) 729-1389","dasmith@honorsacademy.org","DARRYL SMITH   ","'06-12","143"
"DALLAS COUNTY","UME PREPARATORY ACADEMY","CEDAR HILL","UME PREPARATORY ACADEMY","P O BOX 2995","CEDAR HILL","TX","75106","(817) 680-7004","(817) 977-6824","dbarker@umeschools.org","    ","'KG-12","0"
"ERATH COUNTY","PREMIER HIGH SCHOOLS","LEWISVILLE","PREMIER H S OF MIDLAND","P O BOX 292730","LEWISVILLE","TX","75029","(432) 682-0384","(432) 682-0897","dbrowder@responsiveed.com","    ","'06-12","0"
"HARRIS COUNTY","KIPP INC CHARTER","HOUSTON","KIPP 3D ACADEMY","4610 E CROSSTIMBERS","HOUSTON","TX","77016","(713) 636-6082","(713) 636-6084","dcaesar@kipphouston.org","DAN CAESAR   ","'06-08","273"
"TARRANT COUNTY","ARLINGTON CLASSICS ACADEMY","ARLINGTON","ARLINGTON CLASSICS ACADEMY - MIDDLE","2800 W ARKANSAS LN","ARLINGTON","TX","76016"," "," ","dclark@acaedu.net","TANISIA REVIS   ","'06-08","0"
"TARRANT COUNTY","ARLINGTON CLASSICS ACADEMY","ARLINGTON","ARLINGTON CLASSICS ACADEMY - BOWEN CAMPUS","2800 W ARKANSAS LN","ARLINGTON","TX","76016"," "," ","sbrow@wtdschools.org","TANISIA REVIS   ","'KG-05","0"
"HARRIS COUNTY","HOUSTON ISD","HOUSTON","TSU CHARTER LAB SCH","3100 CLEBURNE","HOUSTON","TX","77004-6506","(713) 313-6754","(713) 741-1220","dcollin3@houstonisd.org","DEBBRA COLLINS   ","'PK-05","143"
"BEXAR COUNTY","SAN ANTONIO SCHOOL FOR INQUIRY & CREATIVITY","SAN ANTONIO","SAN ANTONIO SCHOOL FOR INQUIRY & CREATIVITY","4618 SAN PEDRO AVE STE 200","SAN ANTONIO","TX","78212","(210) 738-0020","(210) 738-0033","ddeleon@thesanantonioschool.org","DR DEBBIE DELEON   ","'KG-12","296"
"BEXAR COUNTY","SAN ANTONIO SCHOOL FOR INQUIRY & CREATIVITY","SAN ANTONIO","MONTICELLO","4618 SAN PEDRO STE 104","SAN ANTONIO","TX","78212","(210) 738-0020","(210) 738-0033","ddeleon@thesanantonioschool.org","DR DEBBIE DELEON   ","'KG-12","100"
"GALVESTON COUNTY","GALVESTON ISD","GALVESTON","GALVESTON EARLY COLLEGE H S","1514 AVE N","GALVESTON","TX","77550-8198","(409) 761-6100","(409) 765-5946","Debra_Owens@GISD.org","MS DEBRA OWENS   ","'06-12","189"
"ECTOR COUNTY","COMPASS ACADEMY CHARTER SCHOOL","ODESSA","COMPASS ACADEMY CHARTER SCHOOL","1111 PAAGEWOOD","ODESSA","TX","79761","(432) 366-2667","(432) 332-8667","debrastewart.compassacademy@gmail.com","DEBRA STEWART   ","'PK-12","0"
"DALLAS COUNTY","LIFE SCHOOL","LANCASTER","LIFE SCHOOL LANCASTER","950 S I-35 E","LANCASTER","TX","75146","(972) 274-7950","(972) 274-7991","dewayne.parker@lifeschools.net","MR DEWAYNE PARKER   ","'KG-06","642"
"HIDALGO COUNTY","INFORMATION REFERRAL RESOURCE ASSISTANCE INC","MCALLEN","IRRA INC MISSION CENTER","P O BOX 164","MCALLEN","TX","78504-0164","(956) 519-2227","(956) 687-6062","dflores@irra.org","MR DANIEL FLORES   ","'PK-03 09-12","87"
"TAYLOR COUNTY","TEXAS COLLEGE PREPARATORY ACADEMIES","LEWISVILLE","VISTA ACADEMY OF GARLAND","P O BOX 292730","LEWISVILLE","TX","75029","(972) 840-1100","(972) 840-1105","dfoster@vista-academies.com","MS DEBBIE FOSTER   ","'PK-12","199"
"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL","AUSTIN","NATIONAL ELITE GYMNASTICS","P O BOX 7667","AUSTIN","TX","78713-7667","(512) 288-9722","(512) 232-9177","dgoodman@austin.utexas.edu","DOTTIE GOODMAN   ","'KG-12","-1"
"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL","AUSTIN","TNC CAMPUS (TEXAS NEUROREHABILITATION CENTER)","P O BOX 7667","AUSTIN","TX","78713-7667","(512) 444-4835 ext:263 ","(512) 462-6665","dgoodman@austin.utexas.edu","MS DOTTIE GOODMAN   ","'KG-12","59"
"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL","AUSTIN","OLYMPIA HILLS","P O BOX 7667","AUSTIN","TX","78713","(512) 444-4835 ext:263 ","(512) 232-9177","dgoodman@austin.utexas.edu","DOTTIE GOODMAN   ","'KG-12","16"
"DALLAS COUNTY","UNIVERSAL ACADEMY","IRVING","UNIVERSAL ACADEMY","2616 N MACARTHUR BLVD","IRVING","TX","75062-5401","(972) 255-1800","(972) 255-6122","diane.harris@universalacademy.com","SHERATON DUFFEY   ","'PK-12","789"
"DALLAS COUNTY","UNIVERSAL ACADEMY","IRVING","UNIVERSAL ACADEMY - FLOWER MOUND","2616 N MACARTHUR ACADEMY","IRVING","TX","75062","(972) 393-5834","(972) 255-6122","diane.harris@universalacademy.com","LISA DAVIS   ","'PK-12","722"
"HARRIS COUNTY","EXCEL ACADEMY","HOUSTON","HARRIS COUNTY YOUTH VILLAGE","210 J W MILLS","SEABROOK","TX","77586-5304","(713) 222-4729","(713) 222-4749","diane.hubbell@hcjpd.hctx.net","DIANE HUBBELL   ","'03-AE","139"
"ERATH COUNTY","ERATH EXCELS ACADEMY INC","STEPHENVILLE","HUSTON ACADEMY","680 PEACH ORCHARD RD","STEPHENVILLE","TX","76401","(254) 965-8883","(254) 965-8654","dmiller@erathexcels.org","MS VALARIE HARVICK   ","'07-12","92"
"ERATH COUNTY","ERATH EXCELS ACADEMY INC","STEPHENVILLE","SHORELINE ACADEMY","680 PEACH ORCHARD RD","STEPHENVILLE","TX","76401","(361) 528-3959","(361) 528-2143","dmiller@erathexcels.org","DEANN PHILLIPS   ","'07-12","71"
"DALLAS COUNTY","DALLAS CAN ACADEMY CHARTER","DALLAS","DALLAS CAN ACADEMY CHARTER","4621 ROSS AVE","DALLAS","TX","75204","(214) 824-4226","(214) 841-7951","dmills@texanscan.org","DONALD MILLS   ","'09-12","513"
"TARRANT COUNTY","TEXAS ELEMENTARY SCHOOL OF THE ARTS","FORT WORTH","NORTH TEXAS ELEMENTARY SCHOOL OF THE ARTS","3901 S HULEN ST","FORT WORTH","TX","76109","(817) 732-8372","(817) 732-8373","dollie.blevins@fwafa.org","MR ANTHONY TURNER   ","'KG-06","152"
"HARRIS COUNTY","DRAW ACADEMY","HOUSTON","DRAW ACADEMY EARLY LEARNING CENTER","7914 WESTGLEN","HOUSTON","TX","77063","(713) 706-3729","(713) 706-3711","draw@drawacademy.org","MR FERNANDO DONATTI   ","'PK","0"
"NUECES COUNTY","DR M L GARZA-GONZALEZ CHARTER SCHOOL","CORPUS CHRISTI","DR M L GARZA-GONZALEZ CHARTER SCHOOL","4129 GREENWOOD DR","CORPUS CHRISTI","TX","78416","(361) 881-9988","(361) 881-9994","drgarzaml@yahoo.com","MR ADOLFO CHAPA   ","'PK-12","62"
"NUECES COUNTY","DR M L GARZA-GONZALEZ CHARTER SCHOOL","CORPUS CHRISTI","ACCELERATED LEARNING CENTER","4129 GREENWOOD DR","CORPUS CHRISTI","TX","78416","(361) 887-7766","(361) 887-6035","drgarzaml@yahoo.com","MARIA L GARZA   ","'PK-12","170"
"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING INC","HOUSTON","ACADEMY OF ACCELERATED LEARNING","6025 CHIMNEY ROCK","HOUSTON","TX","77081","(713) 645-0336","(713) 640-2435","drobins@aalinc.org","MS DORIS RODGERS ROBINS   ","'PK-05","582"
"HARRIS COUNTY","KIPP INC CHARTER","HOUSTON","KIPP GENERATIONS COLLEGIATE","10711 KIPP WAY","HOUSTON","TX","77099","(832) 633-1529","(832) 328-0178","drodriguez@kipphouston.org","MS DENISE RODRIGUEZ   ","'09-12","0"
"DALLAS COUNTY","A+ ACADEMY","DALLAS","A+ ACADEMY","10327 RYLIE RD","DALLAS","TX","75227","(972) 557-5578","(972) 557-5807","drshalawhite@yahoo.com","DR SHALA WHITE-FLOWERS   ","'PK-12","1076"
"HARRIS COUNTY","GIRLS & BOYS PREPARATORY ACADEMY","HOUSTON","GIRLS & BOYS PREP ACADEMY H S","8282 BISSONNET ST STE 125","HOUSTON","TX","77074","(713) 270-5994","(713) 270-1302","drvfdunn@yahoo.com","MR JOSEPH CUILLIER JR   ","'09-12","160"
"HARRIS COUNTY","GIRLS & BOYS PREPARATORY ACADEMY","HOUSTON","GIRLS & BOYS PREP ACADEMY MIDDLE","8282 BISSONNET ST STE 125","HOUSTON","TX","77074","(713) 270-2006","(713) 270-2046","drvfdunn@yahoo.com","MR JOSEPH CUILLIER JR   ","'06-08","170"
"HARRIS COUNTY","GIRLS & BOYS PREPARATORY ACADEMY","HOUSTON","GIRLS & BOYS PREP ACADEMY EL","8282 BISSONNET ST STE 125","HOUSTON","TX","77074","(713) 270-2006","(713) 270-2046","drvfdunn@yahoo.com","TYRA ROSS   ","'PK-05","469"
"ERATH COUNTY","PREMIER HIGH SCHOOLS","LEWISVILLE","PREMIER H S OF MISSION","P O BOX 292730","LEWISVILLE","TX","75029","(956) 424-9290","(956) 424-7661","dsanchez@responsiveed.com","    ","'06-12","0"
"HARRIS COUNTY","KIPP INC CHARTER","HOUSTON","KIPP SHINE PREP","10711 KIPP WAY","HOUSTON","TX","77099","(832) 328-1051","(832) 328-0178","dshifrine@kipphouston.org","DEB SHIFRINE   ","'PK-05","801"
"PANOLA COUNTY","PANOLA CHARTER SCHOOL","CARTHAGE","PANOLA CS","448 W PANOLA ST","CARTHAGE","TX","75633","(903) 693-6355","(903) 693-6391","dstanley@thenett.com","MARK M THORNTON   ","'08-12","61"
"HARRIS COUNTY","HOUSTON ISD","HOUSTON","DOMINION ACADEMY CHARTER SCHOOL","1102 PINEMONT DR","HOUSTON","TX","77018-1302","(713) 476-9800","(713) 476-9707","DWASHIN9@HOUSTONISD.ORG","MS DOROTHY S WASHINGTON   ","'05-08","65"
"TRAVIS COUNTY","TEXAS EMPOWERMENT ACADEMY","AUSTIN","TEXAS EMPOWERMENT ACADEMY","3613 BLUESTEIN DR","AUSTIN","TX","78721","(512) 494-1076","(512) 494-0199","dwnow@hotmail.com","DAVID NOWLIN   ","'05-12","141"
"BEXAR COUNTY","ACADEMY OF CAREERS AND TECHNOLOGIES CHARTER SCHOOL","SAN ANTONIO","ACADEMY OF CAREERS AND TECHNOLOGIES CHARTER SCHOOL","5503 GRISSOM RD STE 102","SAN ANTONIO","TX","78238","(210) 534-9690","(210) 572-5321","e.bullock@actchs.org","EARL JAMES BULLOCK   ","'09-12","162"
"HAYS COUNTY","KATHERINE ANNE PORTER SCHOOL","WIMBERLEY","KATHERINE ANNE PORTER SCHOOL","P O BOX 2025","WIMBERLEY","TX","78676","(512) 847-6867","(512) 847-0737","ebatson@kapschool.org","JON ERIK BATSON   ","'09-12","143"
"ERATH COUNTY","PREMIER HIGH SCHOOLS","LEWISVILLE","PREMIER H S OF AUSTIN","P O BOX 292730","LEWISVILLE","TX","75029","(512) 444-8442","(512) 444-1266","ecamarena@responsiveed.com","    ","'06-12","0"
"BEXAR COUNTY","SCHOOL OF EXCELLENCE IN EDUCATION","SAN ANTONIO","DR JAMES L BURCH INT","5703 BLANCO RD","SAN ANTONIO","TX","78216","(210) 431-9881","(210) 432-8467","edavis@excellence-sa.org","MR ERIC DAVIS   ","'04-06","265"
"HIDALGO COUNTY","IDEA PUBLIC SCHOOLS","WESLACO","IDEA COLLEGE PREPARATORY PHARR","600 E LAS MILPAS RD","PHARR","TX","78577","(956) 283-1515","(956) 283-1474","edgar.rodriguez@ideapublicschools.org","EDGAR RODRIGUEZ   ","'06 07","213"
"DALLAS COUNTY","WINFREE ACADEMY CHARTER SCHOOLS","IRVING","WINFREE ACADEMY CHARTER SCHOOL (IRVING)","6221 RIVERSIDE DR STE 110","IRVING","TX","75039","(972) 251-2010","(972) 251-4301","edillie@wacsd.com","MR ERIC DILLIE   ","'09-12","311"
"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL","AUSTIN","DEPELCHIN-ELKINS CAMPUS","P O BOX 7667","AUSTIN","TX","78713-7667","(713) 730-2335","(713) 802-6261","elitacaldwell@austin.utexas.edu","ELITA CALDWELL   ","'KG-12","36"
"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL","AUSTIN","DEPELCHIN-RICHMOND","P O BOX 7667","AUSTIN","TX","78713-7667","(281) 342-4906","(713) 558-3985","elitacaldwell@austin.utexas.edu","ELITA CALDWELL   ","'KG-12","18"
"HIDALGO COUNTY","IDEA PUBLIC SCHOOLS","WESLACO","IDEA WESLACO ACADEMY","505 ANGELITA DR STE 9","WESLACO","TX","78596","(956) 377-8000","(956) 447-3796","elizabet.garza@ideapublicschools.org","ELIZABET GARZA   ","'KG-02","0"
"HARRIS COUNTY","EXCEL ACADEMY","HOUSTON","HARRIS COUNTY JUVENILE DETENTION CENTER","1200 CONGRESS STE 6500","HOUSTON","TX","77002-2021","(713) 222-4354","(713) 222-4360","ellen.savoy@hcjpd.hctx.net","ELLEN SAVOY   ","'03-12","116"
"HARRIS COUNTY","EXCEL ACADEMY","HOUSTON","WESTSIDE COMMAND DETENTION CENTER","3202 S DAIRY ASHFORD RD","HOUSTON","TX","77082","(281) 597-6645","(281) 597-6647","ellen.savoy@hcjpd.hctx.net","ELLEN SAVOY   ","'03-12","0"
"HARRIS COUNTY","YES PREP PUBLIC SCHOOLS INC","HOUSTON","YES PREP - WEST","6565 DEMOSS","HOUSTON","TX","77074","(713) 967-9800","(713) 774-1808","Ellen.winstead@yesprep.org","ELLEN WINSTEAD   ","'06-12","294"
"DALLAS COUNTY","WINFREE ACADEMY CHARTER SCHOOLS","IRVING","WINFREE ACADEMY CHARTER SCHOOL DENTON","518 ACME","DENTON","TX","76205","(940) 243-0480","(940) 243-0486","emcclarnon@winfreeacademy.com","MS EMILY MCCLARNON   ","'09-12","214"
"NUECES COUNTY","SCHOOL OF SCIENCE AND TECHNOLOGY CORPUS CHRISTI","LEON VALLEY","SCHOOL OF SCIENCE AND TECHNOLOGY CORPUS CHRISTI","1450 NE LOOP 410","SAN ANTONIO","TX","78209","(361) 851-2450","(361) 851-2475","emrah@ssttx.org","MR EMEAH ORAL   ","'KG-12","362"
"MCLENNAN COUNTY","WACO CHARTER SCHOOL","WACO","WACO CHARTER SCHOOL","615 N 25TH ST","WACO","TX","76707-3443","(254) 754-8169","(254) 754-7389","eoacwaco@calpha.com","VALERIE OVALLE   ","'PK-05","258"
"HIDALGO COUNTY","IDEA PUBLIC SCHOOLS","WESLACO","IDEA COLLEGE PREPARATORY MISSION","1600 S SCHUERBACH RD","MISSION","TX","78572","(956) 583-8315","(956) 424-3248","erika.acheson@ideapublicschools.org","DIANA AGUILAR   ","'06-11","479"
"HIDALGO COUNTY","IDEA PUBLIC SCHOOLS","WESLACO","IDEA ACADEMY SAN BENITO","2151 RUSSELL LN","SAN BENITO","TX","78586","(956) 399-5252","(956) 399-1959","estefena.ramirez@ideapublicschools.org","ESTEFENA RAMIREZ   ","'KG-03","308"
"HARRIS COUNTY","HOUSTON ISD","HOUSTON","CROCKETT EL","2112 CROCKETT ST","HOUSTON","TX","77007-3923","(713) 802-4780","(713) 802-4783","etroutma@houstonisd.org","MS ELIDA A TROUTMAN   ","'EE-05","402"
"HARRIS COUNTY","VICTORY PREP","HOUSTON","VICTORY PREPARATORY ACADEMY","2903 JENSEN DR","HOUSTON","TX","77026","(713) 729-6963","(713) 723-2926","ewilliams@vprep.org","ERIC WILLIAMS   ","'09-12","0"
"HARRIS COUNTY","KIPP INC CHARTER","HOUSTON","KIPP ACADEMY MIDDLE","10711 KIPP WAY","HOUSTON","TX","77099","(832) 328-1051","(832) 328-0178","ewitney@kipphouston.org","KEN ESTRELLA   MR ELLIOT WITNEY   ","'05-08","365"
"HARRIS COUNTY","LA AMISTAD LOVE & LEARNING ACADEMY","HOUSTON","LA AMISTAD LOVE & LEARNING ACADEMY","10860 ROCKLEY RD","HOUSTON","TX","77099","(281) 988-9201","(281) 988-9201","famistad@aol.com","FREDERICK NIXON   ","'EE-05","229"
"HARRIS COUNTY","LA AMISTAD LOVE & LEARNING ACADEMY","HOUSTON","LA AMISTAD LOVE & LEARNING ACADEMY","8515 BROOKWULF DR","HOUSTON","TX","77072","(281) 498-2477","(281) 498-2477","famistad@aol.com","FREDERICK NIXON   ","'EE-04","125"
"HARRIS COUNTY","LA AMISTAD LOVE & LEARNING ACADEMY","HOUSTON","LA AMISTAD LOVE & LEARNING ACADEMY MISSOURI CITY","7860 W FUQUA","MISSOURI CITY","TX","77489","(713) 541-1057","(713) 541-1057","famistad@aol.com","FREDERICK NIXON   ","'EE-04","33"
"EL PASO COUNTY","HARMONY SCIENCE ACAD (EL PASO)","HOUSTON","HARMONY SCIENCE ACAD (EL PASO)","9405 BETEL DR","EL PASO","TX","79907","(915) 859-4620","(915) 859-4630","fay@hsatx.org","MR FATIH AY   ","'KG-12","737"
"HARRIS COUNTY","KIPP INC CHARTER","HOUSTON","KIPP EAST END","10711 KIPP WAY","HOUSTON","TX","77099","(281) 879-3100","(713) 924-5046","fcush@kipphouston.org","FRANK CUSH   ","'PK-05","339"
"HIDALGO COUNTY","SOUTH TEXAS EDUCATIONAL TECHNOLOGIES INC","WESLACO","HORIZON MONTESSORI III","801 N 13TH ST STE 5-A","HARLINGEN","TX","78550","(956) 423-8200","(956) 423-8202","fmartinez@horizonmontessori.net","MR FELIPE MARTINEZ   ","'PK-08","144"
"TAYLOR COUNTY","TEXAS COLLEGE PREPARATORY ACADEMIES","LEWISVILLE","VISTA ACADEMY OF DALLAS","P O BOX 292730","LEWISVILLE","TX","75029","(214) 792-9331","(214) 792-9334","fnatividad@responsiveed.com","MR FERNANDO NATIVIDAD   ","'PK-12","184"
"TRAVIS COUNTY","AUSTIN CAN ACADEMY CHARTER SCHOOL","DALLAS","AUSTIN CAN ACADEMY CHARTER SCHOOL","2406 ROSEWOOD","AUSTIN","TX","78702","(512) 477-4226","(512) 931-8034","foakes@texanscan.org","FRANK OAKES   ","'09-12","370"
"DALLAS COUNTY","DALLAS CAN ACADEMY CHARTER","DALLAS","DALLAS CAN ACADEMY CHARTER-OAK CLIFF","325 W 12TH","DALLAS","TX","75208","(214) 943-2244","(214) 946-4427","frivas@texanscan.org","FAUSTINO RIVAS   ","'09-12","641"
"BEXAR COUNTY","JUBILEE ACADEMIC CENTER","SAN ANTONIO","LIVING WAY LEADERSHIP ACADEMY","4434 ROLAND RD","SAN ANTONIO","TX","78222","(956) 554-0999","(956) 554-9701","frobinson@jubileeacademic.org","FLOR ROBINSON   ","'PK-12","0"
"TAYLOR COUNTY","TEXAS COLLEGE PREPARATORY ACADEMIES","LEWISVILLE","VISTA ACADEMY OF JASPER","P O BOX 292730","LEWISVILLE","TX","75029","(409) 489-9222","(409) 489-9272","gabshire@responsiveed.com","GWEN ABSHIRE   ","'PK-12","212"
"BEXAR COUNTY","SAN ANTONIO ISD","SAN ANTONIO","GATES EL","510 MORNINGVIEW DR","SAN ANTONIO","TX","78220-3299","(210) 333-3621","(210) 333-3644","gatesel@saisd.net","ARONETTE MCCOLLUM BACON   ","'EE-05","266"
"DALLAS COUNTY","GATEWAY CHARTER ACADEMY","DALLAS","GATEWAY CHARTER ACADEMY -EL","6103 HOUSTON SCHOOL RD","DALLAS","TX","75241","(214) 375-2039","(214) 375-1842","Gatewaycharter@yahoo.com","DEMETRIUS REED   ","'PK-05","473"
"DALLAS COUNTY","GATEWAY CHARTER ACADEMY","DALLAS","GATEWAY CHARTER ACADEMY - MIDDLE - H S","6103 HOUSTON SCHOOL RD","DALLAS","TX","75241","(214) 375-2039","(214) 371-4022","Gatewaycharter@yahoo.com","SERITA PARSON   ","'06-12","322"
"BEXAR COUNTY","JUBILEE ACADEMIC CENTER","SAN ANTONIO","BCFS - HARLINGEN","4434 ROLAND RD","SAN ANTONIO","TX","78222","(210) 333-6227","(210) 337-2357","gbanda@jubileeacademic.org","GEORGE BANDA   ","'KG-12","80"
"BEXAR COUNTY","SCHOOL OF EXCELLENCE IN EDUCATION","SAN ANTONIO","DR DAVID M COPELAND EL","186 BASSE RD","SAN ANTONIO","TX","78216","(210) 431-9881","(210) 253-2198","golivarri@excellence-sa.org","MR GILBERT OLIVARRI   ","'PK-03","335"
"BEXAR COUNTY","JUBILEE ACADEMIC CENTER","SAN ANTONIO","HIGHLAND PARK GIFTED & TALENTED ACADEMY","4434 ROLAND","SAN ANTONIO","TX","78222","(210) 293-4206","(210) 532-3810","grico@jubileeacademic.org","GENEVA RICO   ","'PK-05","147"
"TAYLOR COUNTY","TEXAS COLLEGE PREPARATORY ACADEMIES","LEWISVILLE","QUEST MIDDLE OF LEWISVILLE","P O BOX 292730","LEWISVILLE","TX","75029","(972) 316-6700","(972) 316-6705","gsimons@responsiveed.com","GLENDA SIMMONS   ","'PK-12","183"
"WEBB COUNTY","GATEWAY ACADEMY CHARTER DISTRICT","SAN ANTONIO","GATEWAY ACADEMY-SIERRA VISTA CHARTER H S","4620 S LUCY","LAREDO","TX","78043","(956) 723-0345","(956) 712-1112","gwa001@sapicsc.org","NANCY GOMEZ-TORRES   ","'09-12","186"
"WEBB COUNTY","GATEWAY ACADEMY CHARTER DISTRICT","SAN ANTONIO","GATEWAY ACADEMY-TOWNLAKE CHARTER H S","1230 TOWN LK DR","LAREDO","TX","78041","(956) 722-0747","(956) 722-0767","gwa002@sapicsc.org","OLGA TREVINO   ","'09-12","305"
"MONTGOMERY COUNTY","TEXAS SERENITY ACADEMY","HOUSTON","TEXAS SERENITY ACADEMY","262 N SAM HOUSTON PKWY STE 140","HOUSTON","TX","77060","(281) 820-9540","(469) 567-1211","hagmons@sbcglobal.net","MICHELLE FOREMAN   ","'KG-12","408"
"BEXAR COUNTY","SAN ANTONIO ISD","SAN ANTONIO","HARRIS MIDDLE","325 PRUITT AVE","SAN ANTONIO","TX","78204-2598","(210) 228-1220","(210) 226-9448","harrisacad@saisd.net","MS LOURDES CORREA   ","'06-08","808"
"BEXAR COUNTY","SAN ANTONIO ISD","SAN ANTONIO","HAWTHORNE PK-8 ACADEMY","115 W JOSEPHINE ST","SAN ANTONIO","TX","78212-4186","(210) 738-9795","(210) 733-1495","hawthorneacad@saisd.net","MS GUADALUPE RODRIGUEZ-POLLOCK   ","'EE-08","714"
"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL","AUSTIN","ANNUNCIATION MATERNITY HOME","P O BOX 7667","AUSTIN","TX","78713-7667","(512) 471-5280","(512) 232-9177","hengleman@mail.utexas.edu","HOLLY ENGLEMAN   ","'KG-12","13"
"BEXAR COUNTY","SAN ANTONIO ISD","SAN ANTONIO","HIGHLAND PARK EL","635 RIGSBY AVE","SAN ANTONIO","TX","78210-3099","(210) 533-8051","(210) 533-8132","highlandparkel@saisd.net","MR MANUEL CABALLERO   ","'EE-05","746"
"HIDALGO COUNTY","IDEA PUBLIC SCHOOLS","WESLACO","IDEA ACADEMY SAN JUAN","200 N NEBRESKA AVE","SAN JUAN","TX","78589","(956) 702-5150","(956) 702-4497","hilda.helsing@ideapublicschools.org","HILDA HELSING   ","'KG-02","202"
"TRAVIS COUNTY","CEDARS INTERNATIONAL ACADEMY","AUSTIN","CEDARS INTERNATIONAL ACADEMY","8416 N IH-35","AUSTIN","TX","78753","(512) 419-1551 ext:316 ","(512) 419-1581","hrauls@cedars-academy.org","HEATHER RAULS   ","'PK-08","221"
"HARRIS COUNTY","HARMONY SCHOOL OF SCIENCE - HOUSTON","HOUSTON","HARMONY SCHOOL OF SCIENCE - HOUSTON HIGH","13522 W AIRPORT BLVD","SUGARLAND","TX","77478","(281) 302-6445 ext:217 ","(281) 302-6745","hsari@harmonytx.org","MR HUSEYIN SARI   ","'06-12","0"
"TRAVIS COUNTY","HARMONY SCIENCE ACADEMY (AUSTIN)","HOUSTON","HARMONY SCHOOL OF EXCELLENCE","2100 E ST ELMO RD","AUSTIN","TX","78744","(512) 693-0000","(581) 693-0008","hseaustin@harmonytx.org","MR RAMAZAN COSKUNER   ","'KG-08","508"
"HARRIS COUNTY","HARMONY SCHOOL OF EXCELLENCE","HOUSTON","HARMONY SCHOOL OF EXCELLENCE - ENDEAVOR","5668 W LITTLE YORK RD","HOUSTON","TX","77091","(281) 999-8400","(281) 999-8404","hsendeavor@harmonytx.org","ATAN EKIN   ","'KG-12","475"
"EL PASO COUNTY","HARMONY SCIENCE ACAD (EL PASO)","HOUSTON","HARMONY SCHOOL OF INNOVATION - EL PASO","5210 FAIRBANKS DR","EL PASO","TX","79924","(915) 757-2929","(915) 757-2202","hsielpaso@harmonytx.org","GUVANCH ATAMYRADOV   ","'KG-12","495"
