"District","School Code","School Name","Principal","Address","City","State","Zip","Phone","Fax","Email","Grade Levels","Total Students"
"DADE","113","BALERE LANGUAGE ACADEMY","ROCKA MALIK","10875 Quail Roost Drive","Miami","FL","33157","(305) 232-9797","(305) 232-4535","pr0113@dadeschools.net","PREK-8 ","75"
"DADE","5022","BEN GAMLA CHARTER SCHOOL MIAMI BEACH","JOSE BACA","11155 SW 112 AVE","MIAMI","FL","33176-3251","(305) 596-6266",,"pr5022@dadeschols.net","K-8 ","159"
"DADE","2003","BRIDGEPOINT ACADEMY","MARIA SAUNDERS","10700 SW 56 ST","MIAMI","FL","33165-7044","(305) 271-3109","(305) 271-5315","pr2003@dadeschools.net","K-5 ","303"
"DADE","2013","BRIDGEPOINT ACADEMY OF GREATER MIAMI","MARIA CEDENO","137 NE 19 ST","MIAMI","FL","33132-1010","(786) 477-4372","(786) 446-8714","pr2013@dadeschools.net","K-5 ","208"
"DADE","3034","BRIDGEPOINT ACADEMY OF VILLAGE GREEN","MARISOL BOSQUE","4707 SW 127 AVE","MIAMI","FL","33175-4603","(305) 595-8822",,"pr3034@dadeschools.net","K-8 ","130"
"DADE","7262","CITY OF HIALEAH EDUCATION ACADEMY","CARLOS ALVAREZ","2590 W 76 STREET","HIALEAH","FL","33016","(305) 362-4006","(305) 362-7006","pr7262@dadeschools.net","9-12 ","400"
"DADE","70","CORAL REEF MONTESSORI ACADEMY CHARTER","LUCY CANZONERI-GOLDEN","10853 SW 216TH STREET","CUTLER BAY","FL","33170","(305) 255-0064","(305) 255-4085","lcanzoneri-golden@dadeschools.net","PREK-8 ","416"
"DADE","6040","DOCTORS CHARTER SCHOOL OF MIAMI SHORES","GARY MEREDITH","11301 NW FIFTH AVE","MIAMI SHORES","FL","33168-3343","(305) 754-2381","(305) 751-5833","gmeredith@dadeschools.net","6-12 ","588"
"DADE","3030","DORAL ACADEMY","ELEONORA CUESTA","2450 NW 97TH AVE","DORAL","FL","33172-2308","(305) 597-9999","(305) 591-2669","pr3030@dadeschools.net","PREK-5 ","795"
"DADE","7020","DORAL ACADEMY CHARTER HIGH SCHOOL","DOUGLAS RODRIGUEZ","11100 NW 27TH STREET","DORAL","FL","33172-5001","(305) 597-9950","(305) 477-6762","fjimenez@dadeschools.net","9-12 ","1211"
"DADE","6030","DORAL ACADEMY CHARTER MIDDLE SCHOOL","DOUGLAS RODRIGUEZ","2601 NW 112TH AVE","DORAL","FL","33172-1804","(305) 591-0020","(305) 591-9251","pr6030@dadeschools.net","6-8 ","1256"
"DADE","3029","DORAL ACADEMY OF TECHNOLOGY","ALINA LOPEZ","2601 NW 112 AVE","DORAL","FL","33172-1804","(305) 591-0020","(305) 591-9251","pr3029@dadeschools.net","K-8 ","109"
"DADE","7009","DORAL PERFORMING ARTS & ENTERTAINMENT ACADEMY","DOUGLAS RODRIGUEZ","11100 NW 27 STREET","MIAMI","FL","33172-5001","(305) 597-9950","(305) 591-9251","pr7009@dadeschools.net","9-12 ","233"
"DADE","3600","DOWNTOWN MIAMI CHARTER SCHOOL","REBECCA DINDA","305 NW 3RD AVE","MIAMI","FL","33128-1606","(305) 579-2112","(305) 579-2115","pr3600@dadeschools.net","PREK-6 ","653"
"DADE","4070","EARLY BEGINNINGS ACADEMY CIVIC CENTER","BARBARA PENKOSKY","1411 NW 14 AVE","MIAMI","FL","33125-1616","(305) 325-1080","(305) 325-1044","pr4070@dadeschools.net","PK-1 ","144"
"DADE","5032","EXCELSIOR CHARTER ACADEMY","SHIRLEY CHARLES","3490 NW 191 STREET","MIAMI GARDENS","FL","33056","(305) 772-1355","(305) 623-0900","pr5032@dadeschools.net","K-8 ","214"
"DADE","7054","EXCELSIOR CHARTER HIGH SCHOOL","BRENDA CRUZ","600 W 20TH ST","HIALEAH","FL","33010-2428","(305) 883-8359","(305) 883-5279","pr7054@dadeschools.net","9-12 ","64"
"DADE","5029","EXCELSIOR LANGUAGE ACADEMY OF HIALEAH","BRENDA CRUZ","600 W 20 STREET","HIALEAH","FL","33010","(305) 883-8359","(305) 883-5279","pr5029@dadeschools.net","PREK-8 ","567"
"DADE","6010","FLORIDA INT'L ACADEMY CHARTER","SONIA MITCHELL","7630 BISCAYNE BLVD","MIAMI","FL","33138-5136","(305) 685-8190","(305) 688-1745","pr6010@dadeschools.net","6-8 ","355"
"DADE","3024","FLORIDA INTERNATIONAL ELEMENTARY ACADEMY","SONIA MITCHELL","13400 NW 28 AVE","OPA LOCKA","FL","33054-4842","(305) 685-8190","(305) 688-1745","pr3024@dadeschools.net","K-5 ","435"
"DADE","7067","GREEN SPRINGS HIGH SCHOOL CHARTER","DANIEL FERNANDEZ","3555 NW SEVENTH ST","MIAMI","FL","33125","(305) 720-2996",,"pr7067@dadeschools.net","9-12 ","186"
"DADE","7007","INTERNATIONAL STUDIES CHARTER HIGH SCHOOL","VICTORIANO RODRIGUEZ","2480 SW EIGHTH STREET","MIAMI","FL","33135","(305) 643-2955","(305) 643-2956","pr7007@dadeschools.net","9-12 ","357"
"DADE","6045","INTERNATIONAL STUDIES CHARTER MIDDLE SCHOOL","VICTORIANO RODRIGUEZ","2480 SW EIGHTH STREET","MIAMI","FL","33135","(305) 643-2955","(305) 643-2956","pr6045@dadeschools.net","6-8 ","220"
"DADE","2004","ISAAC: INTEGRATED SCIENCE AND ASIAN CULTURE ACADEMY","KIM GUILARTE","5876 SW 68 STREET","SOUTH MIAMI","FL","33143","(305) 740-0509","(305) 740-0510","pr2004@dadeschools.net","K-8 ","26"
"DADE","7050","KEYS GATE CHARTER HIGH SCHOOL","DAVID MCKNIGHT","2000 SE 28 AVE","HOMESTEAD","FL","33035-2102","(305) 230-5630","(305) 230-1347","pr7050@dadeschools.net","9-12 ","496"
"DADE","3610","KEYS GATE CHARTER SCHOOL","DAVID MCKNIGHT","2000 SE 28 Ave","Homestead","FL","33035","(305) 230-1616","(305) 230-1347","pr3610@dadeschools.net","K-8 ","1962"
"DADE","6008","LAWRENCE ACADEMY","ILIANA VALDES","777 W PALM DRIVE","FLORIDA CITY","FL","33034-3223","(305) 247-4800","(305) 247-4895","pr6008@dadeschools.net","6-8 ","140"
"DADE","215","LAWRENCE ACADEMY ELEMENTARY CHARTER SCHOOL","ILIANA VALDES","777 W PALM DRIVE","FLORIDA CITY","FL","33034","(305) 247-4800","(305) 247-4895","kdburnett@dadeschools.net","PREK-5 ","187"
"DADE","7036","LAWRENCE ACADEMY SENIOR HIGH CHARTER SCHOOL","ISRAEL KATZ","777 WEST PALM DR","FLORIDA CITY","FL","33034-3223","(305) 247-4800","(305) 247-4895",,"9-12 ","96"
"DADE","7015","LIFE SKILLS CENTER MIAMI-DADE COUNTY","ANGEL CHAISSON","3555 NW 7th Street","Miami","FL","33125","(305) 693-2273","(305) 693-8016","pr7015@dadeschools.net","9-12 ","327"
"DADE","5025","LINCOLN-MARTI CHARTER SCHOOL LITTLE HAVANA CAMPUS","NATALY PARRA","970-984 WEST FLAGLER STREET","MIAMI","FL","33130","(305) 325-1001","(305) 324-9934","pr5025@dadeschools.net","K-8 ","713"
"DADE","5007","LINCOLN-MARTI CHARTER SCHOOLS HIALEAH CAMPUS","NATALY PARRA","3500 W 84 STREET","HIALEAH","FL","33018","(305) 827-8080","(305) 827-8004","pr5007@dadeschools.net","K-8 ","374"
"DADE","5043","LINCOLN-MARTI SCHOOLS INTERNATIONAL CAMPUS","JENNIFER HERRERA","103 E LUCY ST","FLORIDA CITY","FL","33034-2501","(305) 242-3330","(305) 242-3331","pr5043@dadeschools.net","K-8 ","197"
"DADE","100","MATER ACADEMY","CECILIA TELLERIA-BERMEOSOLO","7700 NW 98 Street","Hialeah Gardens","FL","33016","(305) 698-9900","(305) 698-3822","pr0100@dadeschools.net","PREK-5 ","754"
"DADE","7160","MATER ACADEMY CHARTER HIGH","JUDITH MARTY","7901 NW 103RD ST","HIALEAH GARDENS","FL","33016-2419","(305) 828-1886","(305) 828-6175","jmarty@dadeschools.net","9-12 ","1554"
"DADE","6012","MATER ACADEMY CHARTER MIDDLE","JUDITH MARTY","7901 NW 103RD ST","HIALEAH GARDENS","FL","33016-2419","(305) 828-1886","(305) 828-6175","jmarty@dadeschools.net","6-8 ","1470"
"DADE","3100","MATER ACADEMY EAST CHARTER","BEATRICE RIERA","450 SW 4TH ST","MIAMI","FL","33130-1410","(305) 324-4667","(305) 324-6580","pr3100@dadeschools.net","PREK-5 ","547"
"DADE","7037","MATER ACADEMY EAST CHARTER HIGH SCHOOL","ALEX TAMARGO","998 Southwest 1st Street","MIAMI","FL","33130-1410","(305) 324-6963","(305) 324-6966","pr7037@dadeschools.net","9-12 ","297"
"DADE","7024","MATER ACADEMY HIGH SCHOOL OF INTERNATIONAL STUDIES","REINALDO BRETO","998 SW FIRST ST","MIAMI","FL","33130","(305) 324-6963","(305) 324-6966","pr7024@dadeschools.net","9-12 ","97"
"DADE","7018","MATER ACADEMY LAKES HIGH SCHOOL","RENE ROVIROSA","9010 NW 178 LN","HIALEAH","FL","33018-6548","(305) 512-3917","(305) 512-3912","pr7018@dadeschools.net","9-12 ","824"
"DADE","6033","MATER ACADEMY LAKES MIDDLE SCHOOL","FRANK JIMENEZ","10505 NW 80 AVENUE","HIALEAH GARDENS","FL","33015","(305) 512-3917","(305) 512-3912","pr6033@dadeschools.net","6-8 ","573"
"DADE","5047","MATER ACADEMY MIAMI BEACH","MARISOL GOMEZ","8625 BRYON AVE","MIAMI","FL","33141-4834","(305) 864-2889","(305) 864-2890","pr5047@dadeschools.net","K-8 ","472"
"DADE","6047","MATER ACADEMY MIDDLE SCHOOL OF INTERNATIONAL STUDIES",,"795 NW 32 STREET","MIAMI","FL","33127","(305) 634-0445","(305) 634-0446","pr6047@dadeschools.net","6-8 ","126"
"DADE","1017","MATER ACADEMY OF INTERNATIONAL STUDIES","BETTY PEREZ MORRIS","795 NW 32 STREET","MIAMI","FL","33127","(305) 634-0445","(305) 634-0446","pr1017@dadeschools.net","K-5 ","465"
"DADE","5046","MATER BRICKELL PREPARATORY ACADEMY","SHEILA CALEO","2805 SW 32 AVE","MIAMI","FL","33133","(305) 442-4992","(305) 446-2393","pr5046@dadeschools.net","K-8 ","19"
"DADE","7025","MATER BRICKELL PREPARATORY ACADEMY HIGH SCHOOL",,"795 NW 32 ST","MIAMI","FL","33127-3645","(305) 634-0445","(305) 634-0446","pr7025@dadeschools.net","9-12 ","18"
"DADE","6009","MATER EAST ACADEMY MIDDLE SCHOOL","ALEJANDRO TAMARGO","998 SW 1st Street","MIAMI","FL","33130-1410","(305) 324-6963","(305) 324-6966","pr6009@dadeschools.net","6-9 ","334"
"DADE","312","MATER GARDENS ACADEMY","LOURDES ISLA-MARRERO","9010 NW 178 LN","HIALEAH","FL","33018","(305) 512-9775","(305) 512-3708","pr0312@dadeschools.net","PREK-5 ","549"
"DADE","6042","MATER GARDENS ACADEMY MIDDLE SCHOOL","LOURDES ISLA-MARRERO","9010 NW 178 LN","HIALEAH","FL","33018-6548","(305) 512-9775","(305) 512-3708","pr6042@dadeschools.net","6-8 ","256"
"DADE","5045","MATER GROVE ACADEMY","SHEILA CALEO","2805 SW 32 AVE","MIAMI","FL","33133-3431","(305) 442-4992","(305) 446-2393","pr5045@dadeschools.net","K-8 ","130"
"DADE","7014","MATER PERFORMING ARTS & ENTERTAINMENT ACADEMY","JUDITH MARTY","7901 NW 103 STREET","HIALEAH GARDENS","FL","33016-2419","(305) 828-1886","(305) 828-6175","pr7014@dadeschools.net","9-12 ","189"
"DADE","7062","MAVERICKS HIGH OF NORTH MIAMI DADE COUNTY","ALEJANDRO MADRIGAL","1750 NE 167 ST","NORTH MIAMI BEACH","FL","33162","(786) 629-7053","(305) 949-5604","pr7062@dadeschools.net","9-12 ","594"
"DADE","7065","MAVERICKS HIGH OF SOUTH MIAMI DADE COUNTY","TAMMY LARA","698 N. Homestead Boulevard","Homestead","FL","33030","(305) 909-6307","(305) 248-2913","pr7065@dadeschools.net","9-12 ","378"
"DADE","7059","MIAMI ARTS CHARTER","ALFREDO DE LA ROSA","3900 BISCAYNE BOULEVARD","MIAMI","FL","33137","(305) 763-6257","(305) 740-5670","pr7059@dadeschools.net","6-12 ","679"
"DADE","4000","MIAMI CHILDREN'S MUSEUM CHARTER SCHOOL","CHARLENE BETANCOURT","980 MCARTHUR CAUSEWAY","MIAMI","FL","33132-1604","(305) 329-3758","(305) 329-3767","pr4000@dadeschools.net","PREK-5 ","270"
"DADE","7058","MIAMI COMMUNITY CHARTER HIGH SCHOOL","JILA REZAIE","101 SW REDLAND RD","HOMESTEAD","FL","33034","(305) 245-2552","(305) 245-2527","pr7058@dadeschools.net","9-12 ","90"
"DADE","6048","MIAMI COMMUNITY CHARTER MIDDLE SCHOOL","JACQUELINE SERA-SIRVEN","101 SW REDLAND RD","FLORIDA CITY","FL","33034-3108","(305) 245-2552","(305) 245-2527","pr6048@dadeschools.net","6-8 ","265"
"DADE","102","MIAMI COMMUNITY CHARTER SCHOOL","JILA REZAIE","101 S REDLAND RD","FLORIDA CITY","FL","33034-4630","(305) 245-2552","(305) 245-2527","pr0102@dadeschools.net","PREK-5 ","505"
"DADE","7068","NORTH GARDENS HIGH SCHOOL CHARTER","ROBERT MARTIN","4692F NW 183RD ST","MIAMI GARDENS","FL","33055-3054","(786) 528-6308",,"pr7068@dadeschools.net","9-12 ","255"
"DADE","7069","NORTH PARK HIGH SCHOOL CHARTER","VICTOR FRIAS","3400 NW 135TH ST","OPA LOCKA","FL","33054-4708","(305) 720-2995",,"pr7069@dadeschools.net","9-12 ","121"
"DADE","5010","OXFORD ACADEMY OF MIAMI","ANGELA KLINEDINST","10870 SW 113 PLACE","MIAMI","FL","33176","(305) 598-4494","(305) 598-4475","pr5010@dadeschools.net","PREK-8 ","210"
"DADE","5048","PINECREST ACADEMY (NORTH CAMPUS)","VICTORIA LARRAURI","10207 W FLAGLER ST","MIAMI","FL","33174-1743","(305) 553-9762","(305) 553-9763","pr5048@dadeschools.net","K-5 ","392"
"DADE","342","PINECREST ACADEMY (SOUTH CAMPUS)","CARMEN CANGEMI","15130 SW 80 ST","MIAMI","FL","33193-1302","(305) 386-0800","(305) 386-6298","pr0342@dadeschools.net","PREK-5 ","756"
"DADE","6022","PINECREST ACADEMY CHARTER MIDDLE SCHOOL","JOSE NUNEZ","14901 SW 42ND ST","MIAMI","FL","33185","(305) 559-8583","(305) 559-8584","pr6022@dadeschools.net","6-8 ","770"
"DADE","6003","PINECREST ACADEMY MIDDLE SCHOOL (NORTH CAMPUS)","VICTORIA LARRAURI","10207 West Flagler Street","Miami","FL","33174","(305) 553-9762","(305) 553-9763","pr6003@dadeschools.net","6-8 ","15"
"DADE","5049","PINECREST COVE ACADEMY","SUSIE DOPICO","4101 SW 107 AVENUE","MIAMI","FL","33165-4814","(305) 480-2097","(305) 207-1897","pr5049@dadeschools.net","K-8 ","420"
"DADE","600","PINECREST PREPARATORY ACADEMY","SUSIE DOPICO","14301 SW 42ND ST","MIAMI","FL","33175-7832","(305) 207-1027","(305) 207-1897","sdopico@dadeschools.net","PREK-5 ","653"
"DADE","7053","PINECREST PREPARATORY ACADEMY CHARTER HIGH SCHOOL","JOSE NUNEZ","14901 SW 42ND ST","MIAMI","FL","33185","(305) 559-8583","(305) 559-8584","pr7053@dadeschools.net","9-12 ","226"
"DADE","6005","RAMZ ACADEMY 6-8 MIDDLE, MIAMI CAMPUS","JULIO CARRERA","2609 N.W. Seventh Street","Miami","FL","33125","(786) 445-5697",,"pr6005@dadeschools.net","6-8 ","83"
"DADE","3035","RAMZ ACADEMY K-5 MIAMI CAMPUS","JULIO CARRERA","2609 NW SEVENTH ST","MIAMI","FL","33125-3022","(786) 445-5697",,"pr3035@dadeschools.net","K-5 ","147"
"DADE","400","RENAISSANCE ELEMENTARY CHARTER SCHOOL","ANA CORDAL","8360 NW 33 ST","DORAL","FL","33122-1938","(305) 591-2225","(305) 591-2984","pr0400@dadeschools.net","PREK-5 ","840"
"DADE","6028","RENAISSANCE MIDDLE CHARTER SCHOOL","ANA CORDAL","8360 NW 33 STREET","DORAL","FL","33122-1938","(305) 728-4622","(786) 401-1978","pr6028@dadeschools.net","6-8 ","376"
"DADE","2006","RICHARD ALLEN LEADERSHIP ACADEMY","FRANCES YOUNG","17800 NW 25 Avenue","MIAMI GARDENS","FL","33056","(305) 623-3174","(305) 624-1668","pr2006@dadeschools.net","PREK-5 ","106"
"DADE","6049","RIVER CITIES COMMUNITY CHARTER SCHOOL","CONNIE CRAWFORD-RODRIGUEZ","3405 NW 27 AVENUE","MIAMI","FL","33142","(305) 634-6090","(305) 638-9480","pr6049@dadeschools.net","6-8 ","109"
"DADE","7030","SCHOOL FOR INTEGRATED ACADEMIC (NORTH CAMPUS)","CATHERINE BONNEWELL","12350 SW 285 St.","Homestead","FL","33033","(305) 624-1144","(305) 624-9172","pr7030@dadeschools.net","9-12 ","499"
"DADE","332","SOMERSET ACADEMY (SILVER PALMS)","KERRI MAYSONET","22800 SW 112 AVE","MIAMI","FL","33170","(305) 257-3737","(305) 257-3751","pr0332@dadeschools.net","PREK-8 ","635"
"DADE","4012","SOMERSET ACADEMY AT SILVER PALMS","KERRI MAYSONET","23255 SW 115 AVE","HOMESTEAD","FL","33032-4505","(305) 257-3737","(305) 257-3751","pr4012@dadeschools.net","K-8 ","446"
"DADE","520","SOMERSET ACADEMY CHARTER","SUZETTE RUIZ","18491 SW 134 AVE","MIAMI","FL","33177-2923","(305) 969-6074","(305) 969-6077","pr0520@dadeschools.net","PREK-5 ","485"
"DADE","339","SOMERSET ACADEMY CHARTER ELEMENTARY SCHOOL (SOUTH HOMESTEAD)","CHRISTINA CRUZ-ORTIZ","300 SE FIRST DRIVE","Homestead","FL","33030","(305) 245-6108","(305) 245-6109","pr0339@dadeschools.net","PREK-5 ","313"
"DADE","7042","SOMERSET ACADEMY CHARTER HIGH SCHOOL","KERRI MAYSONET","23255 SW 115TH AVE","MIAMI","FL","33032","(305) 257-3737","(305) 257-3751","pr7042@dadeschools.net","9-12 ","382"
"DADE","7038","SOMERSET ACADEMY CHARTER HIGH SCHOOL (SOUTH CAMPUS)","KERRI MAYSONET","23255 SW 115TH AVE","Homestead","FL","33032","(305) 257-3737","(305) 257-3751","pr7038@dadeschools.net","9-12 ","5"
"DADE","7034","SOMERSET ACADEMY CHARTER HIGH SCHOOL (SOUTH HOMESTEAD)","CHRISTINA CRUZ","300 SE FIRST DR","HOMESTEAD","FL","33030-7307","(305) 245-6108","(305) 245-6109","pr7010@dadeschools.net","9-12 ","21"
"DADE","6004","SOMERSET ACADEMY CHARTER MIDDLE SCHOOL","SUZETTE RUIZ","18491 SW 134 AVE","MIAMI","FL","33177-2923","(305) 969-6074","(305) 969-6077","pr6004@dadeschools.net","6-8 ","221"
"DADE","6043","SOMERSET ACADEMY CHARTER MIDDLE SCHOOL (COUNTRY PALMS)","IDALIA SUAREZ","18491 SW 134 AVE","MIAMI","FL","33177","(305) 246-4949","(305) 249-4919","pr6043@dadeschools.net","6-8 ","18"
"DADE","6013","SOMERSET ACADEMY CHARTER MIDDLE SCHOOL (SOUTH HOMESTEAD)","CHRISTINA CRUZ-ORTIZ","300 SE FIRST DRIVE","Homestead","FL","33030","(305) 245-6108","(305) 245-6109","pr6013@dadeschools.net","6-8 ","116"
"DADE","6053","SOMERSET ACADEMY CHARTER MIDDLE SCHOOL SOUTH MIAMI CAMPUS","LUISA CORRAL","5876 SW 68 STREET","SOUTH MIAMI","FL","33143","(305) 740-0509","(305) 740-0510","pr6053@dadeschools.net","6-8 ","119"
"DADE","2007","SOMERSET ACADEMY ELEMENTARY SCHOOL SOUTH MIAMI CAMPUS","KIM GUILARTE","5876 SW 68 STREET","SOUTH MIAMI","FL","33143","(305) 740-0509","(305) 740-0510","pr2007@dadeschools.net","K-5 ","457"
"DADE","2012","SOMERSET ARTS ACADEMY","IDALIA SUAREZ","1700 Krome Avenue","Homestead","FL","33030","(305) 246-4949","(305) 249-4919","pr2012@dadeschools.net","PREK-5 ","246"
"DADE","5008","SOMERSET GRACE ACADEMY","SUZETTE RUIZ","624 ANASTASIA AVE","CORAL GABLES","FL","33134-6404","(305) 442-8626","(305) 442-8627","pr5008@dadeschools.net","K-8 ","75"
"DADE","3033","SOMERSET OAKS ACADEMY","IDALIA SUAREZ","47 NW 16 ST","HOMESTEAD","FL","33030","(305) 246-4949","(305) 249-4919","pr3033@dadeschools.net","PREK-5 ","18"
"DADE","1070","SOUTH FLORIDA AUTISM CHARTER SCHOOL INC","TAMARA MOODIE-RAMDEEN","7400 W 24 Avenue, 2nd Floor","HIALEAH","FL","33016","(305) 823-2700","(305) 823-2705","pr1070@dadeschools.net","PREK-12 ","96"
"DADE","72","SUMMERVILLE ADVANTAGE ACADEMY","MINELLI DUCLERC","11575 SW 243 ST","HOMESTEAD","FL","33032","(305) 253-2123","(305) 253-4304","pr0072@dadeschools.net","PREK-8 ","479"
"DADE","1010","THE CHARTER SCHOOL AT WATERSTONE","MELISSA AGUILAR","855 WATERSTONE WAY","HOMESTEAD","FL","33033-5941","(305) 248-6206","(305) 248-6208","pr1010@dadeschools.net","PREK-8 ","1055"
"DADE","2060","THEODORE R. AND THELMA A. GIBSON CHARTER SCHOOL","FAHREED KAHN","1698 NW FOURTH AVENUE","MIAMI","FL","33136","(305) 438-0895","(305) 438-0896","pr2060@dadeschools.net","PREK-8 ","286"
"DADE","1020","YOUTH CO-OP CHARTER SCHOOL","MARITZA ARAGON","12051 West Okeechobee Road","Hialeah Gardens","FL","33018","(305) 819-8855","(305) 819-8455","maragon@dadeschools.net","PREK-8 ","535"
"DESOTO","1001","THE COMMUNITY GREEN","MARI-JEAN MELISSA","12100 SW ACADEMY DR","LAKE SUZY","FL","34269-8713","(941) 586-5576",,"mjmelissa13@gmail.com","K-7 ","161"
"DIXIE","43","KINDER CUB SCHOOL INC","RITA HARRIS","P.O. Box 2660","Cross City","FL","32628","(352) 498-0002","(352) 498-0033","ritalharris@bellsouth.net","K ","16"
"DUVAL","1311","BAYMEADOWS CHARTER HIGH SCHOOL","TERESA BROWN","7510 BAYMEADOWS WAY","JACKSONVILLE","FL","32256-6818","(866) 543-7872","(952) 202-1855","TBROWN@DUVALCHARTER.ORG","9-12 ","48"
"DUVAL","1321","DUVAL CHARTER AT BAYMEADOWS","TERESA BROWN","7510 BAYMEADOWS WAY","JACKSONVILLE","FL","32256-6818","(866) 543-7872","(952) 202-1855","TBROWN@DUVALCHARTER.ORG","K-8 ","821"
"DUVAL","1231","DUVAL CHARTER SCHOOL AT ARLINGTON","ANGELA GADSDEN-WRIGHT","100 BELL TEL WAY","JACKSONVILLE","FL","32216-7201","(904) 724-1536",,"AGADSDEN-WRIGHT@DUVALCHARTER.ORG","K-8 ","770"
"DUVAL","1221","GLOBAL OUTREACH CHARTER ACADEMY","TANGIA ANDERSON","9570 Regency Square Blvd.","JACKSONVILLE","FL","32225","(904) 868-4405",,"ANDERSONT1@DUVALSCHOOLS.ORG","K-8 ","423"
"DUVAL","1271","KIPP IMPACT MIDDLE SCHOOL","ROBERT HAWKE","1440 MCDUFF AVE N","JACKSONVILLE","FL","32254-2035","(904) 305-8851",,"RHAWKE@KIPP.ORG","5 ","178"
"DUVAL","471","LONE STAR HIGH SCHOOL","RANDY HUDSPETH","8050-1 LONE STAR RD","JACKSONVILLE","FL","32211-6227","(904) 625-1246",,"randy.hudspeth@als-education.com","9-12 ","413"
"DUVAL","1341","MURRAY HILL HIGH SCHOOL","ERNEST WOODARD","929 S MCDUFF AVE","JACKSONVILLE","FL","33305","(888) 437-9353",,"EARNEST.WOODARD@ALS-EDUCATION.COM","9-12 ","158"
"DUVAL","1191","PATHWAYS ACADEMY HIGH SCHOOL","ERICA TRENT","101 WEST STATE ST","JACKSONVILLE","FL","32202-3099","(904) 633-8125","(906) 633-8364","ETRENT@FSCJ.EDU","9-12 ","164"
"DUVAL","1201","RIVER CITY SCIENCE ACADEMY","DOGAN TOZOGLU","3266 SOUTHSIDE BLVD","JACKSONVILLE","FL","32216-3538","(904) 565-0065",,"dtozoglu@rivercityscience.org","6-10 ","629"
"DUVAL","1291","RIVER CITY SCIENCE ELEMENTARY ACADEMY","ADEM DOKMECI","3251 NEWELL BLVD","JACKSONVILLE","FL","32216","(904) 565-0065","(960) 221-0337","ADOKMECI@RIVERCITYSCIENCE.ORG","K-5 ","247"
"DUVAL","1181","SCHOOL OF INTEGRATED ACADEMICS AND TECHNOLOGY","MICHAEL LAROCHE","4811 PAYNE STEWART DR","JACKSONVILLE","FL","32209-9208","(904) 768-8618","(904) 768-8618","larochemi@siatech.org","9-12 ","188"
"DUVAL","1021","SCHOOL OF SUCCESS ACADEMY-SOS","GENELL MILLS","6974 WILSON BLVD","JACKSONVILLE","FL","32210-3663","(904) 573-0880","(904) 573-0889","millsg@sosjax.org","6-8 ","303"
"DUVAL","1371","SEACOAST CHARTER ACADEMY","MARLA STREMMEL","9100 REGENCY SQUARE BLVD","JACKSONVILLE","FL","32211","(904) 562-4780",,"MSTREMMEL@SEACOASTCHARTERACADEMY.ORG","K-5 ","183"
"DUVAL","1251","SOMERSET ACADEMY-ELEMENTARY, EAGLE CAMPUS","OLATUNJI WILLIAMS","8985 LONE STAR RD","JACKSONVILLE","FL","32211-5195","(904) 854-0990","(904) 854-0917","TWILLIAMS@SOMERSETJAX.COM","3-5 ","230"
"DUVAL","1261","SOMERSET ACADEMY-MIDDLE, EAGLE CAMPUS","OLATUNJI WILLIAMS","8985 LONE STAR RD","JACKSONVILLE","FL","32211-5195","(904) 854-0990","(904) 854-0917","TWILLIAMS@SOMERSETJAX.COM","6-8 ","110"
"DUVAL","1211","TIGER ACADEMY","CHARLES MCWHITE","6079 Bagley Road","JACKSONVILLE","FL","32209","(904) 309-6840","(904) 296-4744","cmcwhite@firstcoastymca.org","PREK-2 ","190"
"DUVAL","1331","WAVERLY ACADEMY","JIMMIE JONES","6680 103RD ST","JACKSONVILLE","FL","32210-7150","(904) 206-7836",,"JJONES@WAVERLYACADEMY.ORG","6-8 ","89"
"DUVAL","1131","WAYMAN ACADEMY OF THE ARTS","ERDINE JOHNSON","1176 LaBelle Street","Jacksonville","FL","32205-6947","(904) 695-9995","(904) 695-9992","JOHNSONE10@DUVALSCHOOLS.ORG","K-5 ","375"
"ESCAMBIA","2123","A.A. DIXON CHARTER SCHOOL OF EXCELLENCE","KATHY COLBERT","1201 N ""H"" ST","PENSACOLA","FL","32501-2448","(850) 435-0511",,"kcolbert1@escambia.k12.fl.us","K-6 ","167"
"ESCAMBIA","2093","BEULAH ACADEMY OF SCIENCE","SHERRY BAILEY","8633 BEULAH RD","PENSACOLA","FL","32526-5203","(850) 944-2822","(850) 941-0702","Sbailey@escambia.k12.fl.us","6-8 ","286"
"ESCAMBIA","2106","BYRNEVILLE ELEMENTARY SCHOOL, INC.","DEE WOLFE-SULLIVAN","1600 BYRNEVILLE RD","CENTURY","FL","32535-3640","(850) 256-6350","(850) 256-6357","dwsullivan@escambia.k12.fl.us","K-5 ","156"
"ESCAMBIA","2121","CAPSTONE ACADEMY","NANCY WOLFE","4901 W FAIRFIELD DR","PENSACOLA","FL","32506-4111","(850) 432-1596","(850) 432-1930","nwolfe@escambia.k12.fl.us","PREK-K ","22"
"ESCAMBIA","2081","ESCAMBIA CHARTER SCHOOL","JEROME CHISHOLM","391 90 & 9 RANCH RD","GONZALEZ","FL","32560-1147","(850) 937-0500","(850) 968-5605","jchisom@escambia.k12.fl.us","9-12 ","127"
"ESCAMBIA","2104","JACKIE HARRIS PREPARATORY ACADEMY","CELESTINE LEWIS","1408 E Moreno Street","PENSACOLA","FL","32503-5620","(850) 432-2273","(850) 432-4624","clewis@escambia.k12.fl.us","K-5 ","196"
