"School","Administrator:","District:","Address:","City ST","Zip:","Phone:","E-Mail","Fax:","Web URL:"
"St. Vrain Community Montessori","Katie Torres","ST VRAIN VALLEY RE1J","1055 Delaware Avenue","Longmont, CO","80501","303.682.4339",,"303.682.8925","http://www.svcmontessori.org"
"Stargate Charter School","Sharon Kenyon","NORTHGLENN-THORNTON 12","3951 Cottonwood Lakes Boulevard","Thornton, CO","80241","303-450-3936","info@stargateschool.org","303-450-3941","http://www.stargateschool.org"
"STEM Middle and High School","David Floodeen","DOUGLAS COUNTY RE1","P.O. Box 631086","Ranch, CO","80163","720.295.7836","david.floodeen@stemhigh.org",,"http://stemhigh.org"
"Stone Creek Elementary","John Brendza","CHARTER SCHOOLS INSTITUTE","0375 Yoder Avenue","Avon, CO","81620","970-748-4535","jbrendza@stonecreekschool.org","970-748-4175","http://stonecreekschool.org"
"Summit Middle Charter School","David Finell","BOULDER VALLEY RE2","4655 Hanover Avenue","Boulder, CO","80305","303-499-9511","david.finell@bvsd.org","303-499-0215","http://www.bvsd.org/schools/summit/Pages/default.aspx"
"Swallows Charter Academy","Cindy Compton","PUEBLO RURAL 70","278 S. McCulloch Blvd","Pueblo West, CO","81007","719-547-1627","ccompton@district70.org","719-547-2509","http://sca.district70.org"
"Swallows High School","Dr. Cindy Compton","PUEBLO RURAL 70","278 S. McCulloch Blvd","Pueblo West, CO","81007","719-547-7230","ccompton@district70.org",,"http://sca.district70.org/http://scec.district70.org"
"T.R. Paul Academy of Arts & Knowledge (TPAAK)","Eric Dinnell","CHARTER SCHOOLS INSTITUTE","4512 McMurry Drive","Fort Collins, CO","80525","970-226-2800","edinnel@mosaicaeducation.com","970-226-2806","http://www.tpaak.org"
"Thomas MacLaren","Mary Faith Hall","CHARTER SCHOOLS INSTITUTE","303 Austin Bluffs Parkway","Colorado Springs CO","80918","719-313-4488","mfhall@maclarenschool.org",,"http://www.maclarenschool.org"
"Twin Peaks Charter Academy","BJ Buchmann","ST VRAIN VALLEY RE1J","820 Main Street","Longmont, CO","80501","720-652-8201","buchmann_bj@stvrain.k12.co.us","303-774-9855","http://www.twinpeakscharter.org"
"Two Roads High School","Terry Johns","JEFFERSON COUNTY R1","9255 Ralston Road","Arvada, CO","80002","303-423-3377","tjohns@jeffco.k12.co.us","303-467-6955","http://sc.jeffco.k12.co.us/education/orgs/orgs.php?sectiondetailid=246309"
"Union Colony Preparatory School","Pat Gilliam","GREELEY 6","2000 Clubhouse Drive","Greeley, CO","80634","970-673-4546","pgilliam@unioncolonyschools.org","970-330-7604","http://unioncolonyschools.org"
"University Preparatory School","David Singer","DENVER COUNTY 1","2409 Arapahoe Street","Denver, CO","80205","303.295.1595","dsinger@uprepschool.org","303.296.2844","http://www.uprepschool.org"
"University Schools","Sherry Gerner","GREELEY 6","6252 W. 18th Street","Greeley, CO","80634","970-330-2221","sgerner@universityschools.com","970-506-7070","http://www.universityschools.com"
"Vanguard Classical School","Todd Slechta","ADAMS-ARAPAHOE 28J","801 Yosemite Street","Denver, CO","80230","303-691-2384","tslechta@vcsk8.org","303-226-5529","http://vcsk8.org"
"Vanguard School, The (High)","Colin Mullaney","CHARTER SCHOOLS INSTITUTE","1605 South Corona Avenue","Colorado Springs CO","80905","719-471-1999 x202","colin.mullaney@cmca12.com","719.634.4180","http://www.cmca12.com"
"Venture Prep (Park Hill)","Courtney Torres","DENVER COUNTY 1","2540 Holly Street","Denver, CO","80207","303.893.0805","ctorres@ventureprep.org",,"http://envisionschoolscolorado.org/default.asp?page=30"
"Vista Charter School","Coni Wilson","MONTROSE COUNTY RE1J","P.O. Box 10,000","Montrose, CO","81402","970-249-4470","cwilson@vistacharter.org","970-252-3354","http://vistacharter.org"
"West Denver Prep_Harvey Park Campus","Joshua Smith","DENVER COUNTY 1","2250 South Quitman Way","Denver, CO","80219","303-962-9880","jsmith@westdenverprep.org",,"http://www.westdenverprep.org"
"Westgate Community School","Ms. Chris Johnston","NORTHGLENN-THORNTON 12","11700 Irma Drive","Northglenn CO","80233","303.452.0967","chris.johnston@westgateschool.org","303.452.4519","http://www.westgateschool.org"
"Windsor Charter Academy","Tracy Stanford","WINDSOR RE4","680 Academy Court","Windsor, CO","80550","970-674-5020","tracy.stanford@wcacad.org","970-674-5017","http://www.wcacad.org"
"Woodrow Wilson Charter Academy","Tim Matlick","JEFFERSON COUNTY R1","8300 West 94th Avenue","Westminster, CO","80021","303- 431-3694","tmatlick@wwacademy.org","303-423-4388","http://www.wwacademy.org"
"Wyatt-Edison Charter Elementary School","Jason O'Koon","DENVER COUNTY 1","3620 Franklin Street","Denver, CO","80205","303-292-5515","lperroncel@wyatt.edisonlearning.com","303-292-5111","http://www.wyattedison.org"
"Youth & Family Academy Charter","Darrell Vaughn","CHARTER SCHOOLS INSTITUTE","1920 Valley Drive","Pueblo, CO,","81004","719.546.1740","puebyouth@aol.com","719-542-1335","www.youthandfamilyacademy.org",,"Darrell Vaughn","darrelvaughan@comcast.net"
"Classical Academy, The (9-12)","Hugh DiPretore","ACADEMY 20","975 Stout Road","Colorado Springs CO","80921","719-484-0081","hdipretore@asd20.org","719-484-0085","http://www.tcad20.org"
"Classical Academy, The (K-6)","Don Stump","ACADEMY 20","975 Stout Road","Colorado Springs CO","80921","719-484.0081","stumpd@asd20.org","719-484.0091","http://www.tcad20.org"
"Collegiate Academy of Colorado","Connie Kersten","JEFFERSON COUNTY R1","Core Knowledge (K-8) - College Prep, STEM","South Sangre","80127","303-972-7433","ckersten@jeffco.k12.co.us","303-932-0695","http://www.collegiateacademy.net"
"Colorado Calvert Academy State Charter School","Elizabeth Davis","CHARTER SCHOOLS INSTITUTE","155 E. Boardwalk Drive","Ft. Collins, CO","80525","970.232.3317","edavis@cocalvertacademy.com",,"http://coloradocalvertacademy.com"
"Colorado High School Charter","Cyndi Bush-Luna","DENVER COUNTY 1","1175 Osage Street","Denver, CO","80204","303-892-8475","cbluna@chscharter.org","303-825-3011","http://www.chscharter.org"
"Colorado Springs Charter Academy","Tom Schuck","CHARTER SCHOOLS INSTITUTE","2577 N. Chelton Road","Colorado Springs CO","80909","719-636-2722","tschuck@cscharter.org","719-636-2726","http://www.cscharter.org"
"Colorado Springs Early Colleges","Keith King","CHARTER SCHOOLS INSTITUTE","4435 North Chestnut","Colorado Springs CO","80907","719-955-4675","keith.king@csec914.org","719-528-8691","http://www.csec914.org"
"Cesar Chavez Academy","Dr. Henry Roman","PUEBLO CITY 60","2500 West 18th Street","Pueblo CO","81003","719.546.6263","hcroman@ccsnco.org","719-295-1625","http://www.cca-pueblo.org/site/"

