"Dist Name","County","School Name","Principal","First","Last","Title","Address","City","State","Zip Code","Phone","Fax","Email","School Group","Sch Type Desc","Grade Span"
"Nashua","Hillsborough","World Academy","Lisa Dias","Lisa","Dias","Principal","And Child Development Center","Nashua","NH","03062-2642","603-888-1982","603-888-5880","ldias@theworldschools.com","Private Schools","Other Private Schools","P K 1-8"
"Newfound Area ","Merrimack","Heart Centered Multi-Age","Jennifer MacDonald","Jennifer","MacDonald","Pri","21 Duffy Street","Franklin","NH","03235-9999","603-340-4939",,"heartcenteredmultiage@hotmail.com","Private Schools","Other Private Schools","P K 1-3"
"Newfound Area ","Belknap","New Hampton School","Christopher Little","Christopher","Little","Dean of Students","70 Main St.","New Hampton","NH","03256-0579","603-677-3436","603-677-3484","admissions@newhampton.org","Private Schools","Prep School","9-12"
"Newington","Rockingham","The Birchtree Center","Christine Guarino","Christine","Guarino","Executive Director","2064 Woodbury Ave.","Newington","NH","03801-2808","603-433-4192","603-433-3381","info@birchtreecenter.org","Private Schools","In-State Private Special Education","P K 1-12"
"Newport","Sullivan","Granite Hill School (c/o Orion House)","Danielle Paranto","Danielle","Paranto","Principal","135 Elm St.","Newport","NH","03773-0025","603-863-0697","603-863-0750","principal@granitehillschool.org","Private Schools","In-State Private Special Education","6-12"
"Newport","Sullivan","Newport Montessori School","Christy Whipple","Christy","Whipple","Director","96 Pine St.","Newport","NH","03773-0634","603-863-2243",,"MissChristy@NewportMontessori.org","Private Schools","Other Private Schools","P K 1-8"
"Northwood","Rockingham","SAU #44 Pre School Program","Jean Parsons","Jean","Parsons","Director","c/o Supt. of Schools.","Northwood","NH","03261-4342","603-942-1290",,"jparsons@nhsau44.org","Private Schools","Other Private Schools","P K "
"Pelham","Hillsborough","St. Patrick School","Roger Dumont","Roger","Dumont","Principal","16 Main St.","Pelham","NH","03076-3724","603-635-2941","603-635-9800","stpatsk8@hotmail.com","Private Schools","Parochial School","K 1-8"
"Pembroke","Merrimack","Green Valley School","Wanda  Nichols","Wanda ","Nichols","Director","389 Pembroke St.","Pembroke","NH","03275-3235","603-485-8550","603-485-5055","office@greenvalleyschool.com","Private Schools","Other Private Schools","K 1-9"
"Plainfield","Grafton","Estabrook Christian School","Ellen Busl","Ellen","Busl","Principal","1050 Rte 12A","Plainfield","NH","03781-0249","603-675-2455","603-298-5219","estabrookschool@gmail.com","Private Schools","Other Private Schools","1-8"
"Plainfield","Sullivan","Kimball Union Academy","David Weidman","David","Weidman","Principal","7 Campus Drive","Meriden","NH","03770-0188","603-469-2118","603-469-2033","dweidman@kua.org","Private Schools","Prep School","9-12"
"Plymouth","Grafton","Becket - Mount Prospect Academy","Karen Langley","Karen","Langley","Principal","350 Main St.","Plymouth","NH","03264-0058","603-536-1102","603-536-3074","karen.langley@mountprospectacademy.org","Private Schools","In-State Private Special Education","6-12"
"Plymouth","Grafton","Calvary Christian School","David Pearson","David","Pearson","Principal","115 Yeaton Rd.","Plymouth","NH","03264-3432","603-536-4022","603-536-9896","ccs@ccsplymouth.com","Private Schools","Christian School","K 1-12"
"Portsmouth","Rockingham","St. Patrick School","Sister Mary Walsh","Sister Mary","Walsh","Principal","125 Austin St.","Portsmouth","NH","03801-4309","603-436-0739","603-436-1569","Anorris@stpatsportsmouth.com","Private Schools","Parochial School","P K 1-8"
"Rochester","Strafford","Lighthouse Christian Academy","Pastor Laren Whaley","Pastor Laren","Whaley","Principal","17 Heaton St.","Rochester","NH","03867-2714","603-335-1151",,"LCARochesterNH@aol.com","Private Schools","Christian School","K 1-12"
"Rochester","Strafford","Monarch School of New England","Diane Gagnon","Diane","Gagnon","Principal","61 Eastern Avenue","Rochester","NH","03866-1921","603-332-2848","603-330-0838","info@monarchschoolne.org","Private Schools","In-State Private Special Education","2-12"
"Rochester","Strafford","Rochester Learning Academy","  Vacant"," ","Vacant",,"317 Main Street","Somersworth","NH","03878-9999","603-948-1169","603-648-1171","slc@slc.k12.nh.us","Private Schools","In-State Private Special Education","6-12"
"Rochester","Strafford","Spurwink - New Hampshire","William Miller","William","Miller","Director","The Gonic Mill","Gonic","NH","03839-4618","603-332-2254","603-332-2286","bmiller@spurwink.org","Private Schools","In-State Private Special Education","6-12 SpEd"
"Rochester","Strafford","St. Elizabeth Seton School","Suzanne Boutin","Suzanne","Boutin","Principal","16 Bridge St.","Rochester","NH","03867-2999","603-332-4803","603-332-2915","stbrochester@metrocast.net","Private Schools","Parochial School","K 1-8"
"Rumney","Grafton","Hunter School","Dorothy Kraft","Dorothy","Kraft","Principal","768 Doetown Rd.","Rumney","NH","03266-0600","603-786-9427","603-786-2221","info@hunterschool.org","Private Schools","In-State Spec Ed and Other Private","K 1-8"
"Rye","Rockingham","Learning Skills Academy","Karen Staines","Karen","Staines","Executive Director","1247 Washington Rd., Suite 3","Rye","NH","03870-2345","603-964-4903","603-964-3838","lsa@learningskillsacademy.org","Private Schools","In-State Spec Ed and Other Private","4-12 SpEd"
"Salem","Rockingham","El Shaddai Christian","Beatrice Mendoza","Beatrice","Mendoza","Principal","254 North Broadway, Suite 109","Salem","NH","03079-0936","603-912-5972",,"beatriz.mendoza@familiaelshaddai.org","Private Schools","Parochial School","1-12"
"Salem","Rockingham","Salem Christian School","Eldon Long","Eldon","Long","Principal","101 School St.","Salem","NH","03079-2648","603-893-4289","603-893-9534","office@salemchristianschool.org","Private Schools","Christian School","P K 1-8"
"Salem","Rockingham","St. Joseph Regional","Ruth Hassett","Ruth","Hassett","Principal","40 Main St.","Salem","NH","03079-1999","603-893-6811","603-893-6811","sjrcsoffice@comcast.net","Private Schools","Parochial School","K 1-8"
"Shaker Regional","Merrimack","Burnham Brook School","Barbara  Howell","Barbara ","Howell","Director","106 Kimball Pond Rd.","Canterbury","NH","03224-2302","603-783-4501","603-783-0303","burnhambrookschool@comcast.net","Private Schools","In-State Spec Ed and Other Private","2-8"
"Shaker Regional","Merrimack","Canterbury Childrens Center","Judith Egan","Judith","Egan","Principal","53 Pickard Rd.","Canterbury","NH","03224-2319","603-783-9065",,"ccc@ttlc.net","Private Schools","Other Private Schools","1-3"
"Somersworth","Strafford","Strafford Learning Center","Kevin Murphy","Kevin","Murphy","Executive Director","317 Main St.","Somersworth","NH","03878-3099","603-692-4411","603-692-6717","slc@slc.k12.nh.us","Private Schools","In-State Private Special Education","P K 1-12"
"Somersworth","Strafford","Tri-City Christian Academy","Paul Edgar","Paul","Edgar","Principal","150 W. High St.","Somersworth","NH","03878-1527","603-692-2093","603-692-6305","pedgar@tcca-nh.com","Private Schools","Christian School","P K 1-12"
"Stratham","Rockingham","Cornerstone School","Lee Anne Robertson","Lee Anne","Robertson","Head of School","146 High St.","Stratham","NH","03885-2271","603-772-4349","603-772-4349","larobertson@cornerstoneschool.org","Private Schools","Other Private Schools","P K 1-8"
"Sunapee","Sullivan","Mount Royal Academy Inc.","David Thibault","David","Thibault","Headmaster","26 Seven Hearths Ln.","Sunapee","NH","03782-2925","603-763-9010","603-763-5390","info@mountroyalacademy.com","Private Schools","Parochial School","P K 1-12"
"Tamworth","Carroll","Community School","Jennifer Rowe","Jennifer","Rowe","Director","1164 Bunker Hill Rd.","S. Tamworth","NH","03883-4170","603-323-7000","603-323-8240","jennyrowe@communityschoolnh.org","Private Schools","Other Private Schools","6-12"
"Timberlane Regional","Rockingham","Hampstead Academy","Keith Wheeler","Keith","Wheeler","Head of School","320 East Rd.","Hampstead","NH","03841-2374","603-329-4406","603-329-7124","kpwheeler@comcast.net","Private Schools","Other Private Schools","K 1-8"
"Westmoreland","Cheshire","Pioneer Junior Academy","Karen Purba","Karen","Purba","Principal","13 Mt. Gilboa Rd.","Westmoreland","NH","03467-4705","603-399-4803","603-399-4803","milliec27@gmail.com","Private Schools","Other Private Schools","1-8"
"White Mountains Regional","Coos","Easter Seal Lancaster School","Gretchen Cook","Gretchen","Cook","Director","525 Prospect St.","Lancaster ","NH","03584-0311","603-788-0911","603-788-3888","gcook@eastersealsnh.org","Private Schools","In-State Private Special Education","5-12"
"White Mountains Regional","Coos","Kids Connections","Bonnita Hicks","Bonnita","Hicks","Director","18 Meadows Rd.","Jefferson","NH","03583-9999","603-586-4324","603-586-7888","bhicks@ne.rr.com","Private Schools","Other Private Schools","K 1-6"
"White Mountains Regional","Coos","NFI Davenport School","Lorraine Sanders","Lorraine","Sanders","Education Coordinator","US Route 2","Jefferson","NH","03583-0209","603-586-4328","603-586-7867","lorrainesanders@nafi.com","Private Schools","In-State Private Special Education","7-12"
"White Mountains Regional","Coos","NFI North Country Shelter","Tara MacKillop","Tara","MacKillop","Acting Director","1 Davenport Rd.","Jefferson","NH","03583-0160","603-586-7161","603-586-7175","melissaloper@nafi.com","Private Schools","In-State Private Special Education","5-12 SpEd"
"Wilton-Lyndeborough Cooperative","Hillsborough","High Mowing School","Doug Powers","Doug","Powers","Exeecutive Director","222 Isaac Frye Highway","Wilton","NH","03086-5813","603-654-2391","603-654-6588","chughes@highmowing.org","Private Schools","Other Private Schools","9-12"
"Wilton-Lyndeborough Cooperative","Hillsborough","Pine Hill Waldorf School","  Vacant"," ","Vacant",,"77 Pine Hill Dr.","Wilton","NH","03086-5967","603-654-6003","603-654-5012","school@pinehill.org","Private Schools","Other Private Schools","P K 1-8"
"Wilton-Lyndeborough Cooperative","Hillsborough","Whiting Hill School","Linda  LaDouceur","Linda ","LaDouceur","Director","21 Whiting Hill Rd.","Wilton","NH","03086-0072","603-654-2635",,"stowe.ladouceur@gmail.com","Private Schools","Other Private Schools","K 1-6"
"Windsor","Hillsborough","Wediko Childrens Services Inc.","Harry  Parad, Ph.D","Harry ","Parad, Ph.D","Director","11 Bobcat Boulevard","Windsor","NH","03244-9802","603-478-5236","603-478-2049","hparad@wediko.org","Private Schools","In-State Private Special Education","K 1-12 SpEd"
"Winnisquam Regional","Belknap","Sant Bani School","Kent Bicknell","Kent","Bicknell","Principal","19 Ashram Rd.","Sanbornton","NH","03269-2227","603-934-4240","603-934-2970","contact@santbani.org","Private Schools","Other Private Schools","K 1-12"
"Winnisquam Regional","Belknap","Spaulding Youth Center","Colleen Sliva","Colleen","Sliva","Principal","Attn Director of Education","Northfield","NH","03276-4607","603-286-8901","603-286-8650","csliva@spauldingyouthcenter.org","Private Schools","In-State Private Special Education","K 1-12 SpEd"
"Winnisquam Regional","Belknap","Tilton School","James Clements","James","Clements","Head of School","30 School St.","Tilton","NH","03276-1203","603-286-1710","603-286-1709","jjones@tiltonschool.org","Private Schools","Prep School","9-12"
"Sununu Youth Services Center (formerly YDC)","Hillsborough","Sununu Youth Services Center (formerly YDC)","Claire Pstragowski","Claire","Pstragowski","Principal","1056 North River Rd.","Manchester","NH","03104-1958","603-625-5471","603-665-9381","cpstragowski@dhhs.state.nh.us","Private Schools","In-State Spec Ed and Other Private","7-12"

