"ADMINISTRATOR","NAME","CITY","ADDRESS1","STATE","ZIP","PHONE","FAX","COUNTY","Name","Email"
"ADMINISTRATOR","LOURDES CENTRAL MIDDLE SCHOOL","NEBRASKA CITY","412 2ND AVE","NE","68410-1799","(402)873-6154","(402)873-3154","OTOE","Andy Fedoris","andy-fedoris@cdolinc.net"
"ADMINISTRATOR","LOURDES CENTRAL HIGH SCHOOL","NEBRASKA CITY","412 2ND AVE","NE","68410-1799","(402)873-6154","(402)873-3154","OTOE","Mark Cyza","fr.mark-cyza@cdolinc.net"
"ADMINISTRATOR","LOURDES PRIMARY SCHOOL","NEBRASKA CITY","412 2ND AVE","NE","68410-1799","(402)873-3739","(402)873-3154","OTOE","Valerie Able","valerie-able@cdolinc.net"
"ADMINISTRATOR","ZION LUTHERAN ELEMENTARY SCH","PIERCE","520 E MAIN ST","NE","68767-1668","(402)329-4658","(402)329-6406","PIERCE","David Bliss","zionprincipal@ptcnet.net"
"ADMINISTRATOR","ST ANTHONY ELEMENTARY SCHOOL","COLUMBUS","1719 6TH ST","NE","68601-6907","(402)564-4767","(402)564-5530","PLATTE","Ashley R. Davis","adavis@esu7.org"
"ADMINISTRATOR","ST BONAVENTURE ELEM SCHOOL","COLUMBUS","1604 15TH ST","NE","68601-5229","(402)564-7153","(402)564-2587","PLATTE","Cheryl Zoucha","czoucha@esu7.org"
"ADMINISTRATOR","ST FRANCIS HIGH SCHOOL","HUMPHREY","300 S 7TH","NE","68642-0277","(402)923-0818","(402)923-1590","PLATTE","Jennifer Dunn","jdunn@esu7.org"
"ADMINISTRATOR","ST FRANCIS ELEMENTARY SCHOOL","HUMPHREY","605 ELM ST","NE","68642-0277","(402)923-0611","(402)923-1590","PLATTE","Jennifer Dunn","jdunn@esu7.org"
"ADMINISTRATOR","IMMANUEL LUTHERAN ELEM SCHOOL","COLUMBUS","2865 26TH AVE","NE","68601-1826","(402)564-8423","(402)564-1162","PLATTE","Jody Timm ","jtimm@esu7.org"
"ADMINISTRATOR","COLUMBUS CHRISTIAN ELEMENTARY","COLUMBUS","3418 15TH ST","NE","68602-0924","(402)562-6470",,"PLATTE","Kathy Wolfe","kathyw@columbuschristian.org"
"ADMINISTRATOR","COLUMBUS SDA SCHOOL","COLUMBUS","4807 29TH STREET","NE","68601-0000","(402)563-2620",,"PLATTE","L. Petersen","lpetersen@columbussdaschool.org"
"ADMINISTRATOR","HOLY FAMILY HIGH SCHOOL","LINDSAY","301 PINE ST","NE","68644-0158","(402)428-3215","(402)428-3231","PLATTE","Neely Mose","nmoser@esu7.org"
"ADMINISTRATOR","HOLY FAMILY ELEMENTARY SCHOOL","LINDSAY","301 PINE ST","NE","68644-0158","(402)428-3455","(402)428-3231","PLATTE","Neely Mose","nmoser@esu7.org"
"ADMINISTRATOR","ST ISIDORE ELEMENTARY SCHOOL","COLUMBUS","3821 20TH ST","NE","68601-2903","(402)564-2604","(402)564-8955","PLATTE","Wayne Morfeld","wmorfel@esu7.org"
"ADMINISTRATOR","SCOTUS CENTRAL CATHOLIC","COLUMBUS","1554 18TH AVE","NE","68601-5132","(402)564-7165","(402)564-6004","PLATTE","Wayne Morfeld","wmorfel@esu7.org"
"ADMINISTRATOR","ST PATRICK'S ELEMENTARY SCHOOL","MC COOK","401 EAST F","NE","69001-1040","(308)345-4546","(308)345-4546","RED WILLOW","Kathy Casper","kcasper1125@gmail.com"
"ADMINISTRATOR","SACRED HEART SECONDARY SCHOOL","FALLS CITY","1820 FULTON ST","NE","68355-2234","(402)245-4151","(402)245-5217","RICHARDSON","Doug Goltz","doug-goltz@fcsacredheart.org"
"ADMINISTRATOR","ST JAMES ELEMENTARY SCHOOL","CRETE","525 E 14TH ST","NE","68333-1604","(402)826-2318","(402)826-2318","SALINE","Mary Cecilia","mary-cecilia@cdolinc.net"
"ADMINISTRATOR","ST COLUMBKILLE ELEMENTARY SCH","PAPILLION","224 E 5TH ST","NE","68046-2299","(402)339-8706","(402)592-4147","SARPY","Cheryl Blue","cblue@saintcolumbkille.org"
"ADMINISTRATOR","ST MARY ELEMENTARY SCHOOL","BELLEVUE","903 WEST MISSION AVENUE","NE","68005-3998","(402)291-1694","(402)291-9667","SARPY","Cheryl Castle","cheryl.castle@stmarysbellevue.com"
"ADMINISTRATOR","ST MATTHEW THE EVANGELIST SCH","BELLEVUE","12210 S 36TH ST SUITE B","NE","68123-1299","(402)291-2030","(402)292-7421","SARPY","Janet Wilson","janet.wilson@ssandtech.com"
"ADMINISTRATOR","ST BERNADETTE ELEMENTARY SCH","OMAHA","7600 S 42ND ST","NE","68147-1702","(402)731-3033","(402)731-8735","SARPY","Lynn Schultz","lschultz@stbernadetteschool.net"
"ADMINISTRATOR","DANIEL J GROSS CATHOLIC HIGH","BELLEVUE","7700 S 43RD ST","NE","68147-1706","(402)734-2000","(402)734-4270","SARPY","Schultz, John ","schultz@grosscatholic.org"
"ADMINISTRATOR","CORNERSTONE CHRISTIAN ELEMENTARY SCHOOL","BELLEVUE","3704 370 PLAZA","NE","68123-1206","(402)292-1030","(402)292-1030","SARPY","Teri Lynn Schrag","tlschrag@cornerstonechristianschool.org"
"ADMINISTRATOR","CORNERSTONE CHRISTIAN HIGH SCHOOL","BELLEVUE","3704 370 PLAZA","NE","-68123","(402)292-1030",,"SARPY","Teri Lynn Schrag","tlschrag@cornerstonechristianschool.org"
"ADMINISTRATOR","BISHOP NEUMANN HIGH SCHOOL","WAHOO","202 S LINDEN","NE","68066-2057","(402)443-4151","(402)443-5551","SAUNDERS","Fr. Jeremy Hazuka","Fr.Jeremy-Hazuka@cdolinc.net"
"ADMINISTRATOR","ST JOHN NEPOMUCENE ELEM SCHOOL","WESTON","130 N FRONT","NE","68070-0010","(402)642-5234","(402)642-5590","SAUNDERS","Christopher  Goodwin","frcgoodwin@windstream.net"
"ADMINISTRATOR","ST AGNES ELEMENTARY SCHOOL","SCOTTSBLUFF","205 E 23RD ST","NE","69361-2026","(308)632-6918","(308)632-6943","SCOTTS BLUFF","Julie Brown","office@stagnesonline.org"
"ADMINISTRATOR","ST JOHN LUTHERAN ELEM SCHOOL","SEWARD","877 N COLUMBIA","NE","68434-1598","(402)643-4535","(402)643-4536","SEWARD","David L. Koopman","david.koopman@cune.edu"
"ADMINISTRATOR","JESUS OUR SAVIOR LUTHERAN SCHOOL","WINNEBAGO","114 MERCER","NE","-68071","(402)878-2110",,"THURSTON","Don Weber","donw@ndlcms.org"
"ADMINISTRATOR","ST PAUL'S LUTHERAN ELEM SCHOOL","ARLINGTON","8951 COUNTY ROAD 9","NE","68002-5030","(402)478-4278","(402)478-5378","WASHINGTON","Barb Cook","bcook@stpaulsarlington.org"
"ADMINISTRATOR","IMMANUEL LUTHERAN ELEM SCHOOL","HOOPER","27053 COUNTY ROAD 12","NE","68031-9608","(402)654-3663","(402)654-2814","WASHINGTON","Thomas Lux","fr.thomas-lux@asholdrege.org"
"ADMINISTRATOR","ST MARY'S ELEMENTARY SCHOOL","WAYNE","420 E 7TH ST","NE","68787-2217","(402)375-2337","(402)375-5782","WAYNE","Mark Evetovich","mmevetovich@archomaha.org"
"ADMINISTRATOR","NEBRASKA EV LUTHERAN HIGH","WACO","203 KENDALL ST","NE","68460-3000","(402)728-5236","(402)728-5433","YORK","Mark Otte","motte@nelhs.org"
"ADMINISTRATOR","ST JOSEPH'S ELEMENTARY SCHOOL","YORK","428 EAST AVE","NE","68467-3799","(402)362-3021","(402)362-4067","YORK","Rochelle Geiger","rochelle-geiger@stjosephyork.org"

