"District","School Name","Principals Name","Email","Address","City","State","Zip","Phone","Fax","Grade"
"St. John the Baptist Parish","Our Lady of Grace School (C)","Stephenie  Aubert ","olgrace@archdiocese-no.org","780 Hwy. 44","Reserve                  ","LA","70084","9855364291","9855364250","PK3,PK4,K-8"
"Jefferson Parish","Our Lady of Divine Providence School (C)","Elvina  DiBartolo ","oldp@archdiocese-no.org","917 North Atlanta Street","Metairie                 ","LA","70003","5044660591","5044660671","PK3,PK4,K-8"
"St. Tammany Parish","Our Lady of the Lake School (C)","Frank  Smith ","email@ourladyofthelakeschool.org","316 Lafitte Street","Mandeville               ","LA","70448","9856265678","9856264337","PK3,PK4,K-7"
"Orleans Parish","Mount Carmel Academy (Girls) (C)","Camille A. Campbell,O.Carm. ","mca@mcacubs.org","7027 Milne Boulevard","New Orleans              ","LA","70124","5042887626","5042887629","8-12"
"Orleans Parish","Jesuit Senior High School (Boys) (C)","Michael A. Giambelluca ","giambellucam@jesuitnola.org","4133 Banks Street","New Orleans              ","LA","70119","5044833817","5044833942","10-12"
"St. Tammany Parish","Pope John Paul II High School (C)","Martha  Mundine ","mmundine@pjp.org","1901 Jaguar Drive","Slidell                  ","LA","70461","9856490914","9856495494","9-12"
"Plaquemines Parish","Our Lady of Perpetual Help School (C)","Sr.Elizabeth  Hebert SLW","srelizabeth@olphbc.org","8970 Highway 23","Belle Chasse             ","LA","70037","5043940757","5043941627","PK3,PK4,K-8"
"Orleans Parish","St. Mary's Academy (Girls) (C)","Sr.Jennie  Jones, SSF ","smaoffice@archdiocese-no.org","6905 Chef Menteur Highway","New Orleans              ","LA","70126","5042450200","5042450422","PK3,PK4,K-12"
"Jefferson Parish","St. Mary Magdalen School (C)","Kimberly  Downes ","stmarymag@archdiocese-no.org","6421 West Metairie Avenue","Metairie                 ","LA","70003","5047331433","5047360727","PK4,K-8"
"St. Tammany Parish","St. Margaret Mary School (C)","Bobby  Ohler ","bohler@saintmm.org","1050A Robert Blvd.","Slidell                  ","LA","70458","9856434612","9856434659","PK3,PK4,K-8"
"Jefferson Parish","St. Louis King of France School (C)","Pamela  Schott ","stlouiskingfrnc@archdiocese-no.org","1600 Lake Avenue","Metairie                 ","LA","70005","5048338224","5048389938","PK3,PK4,K-7"
"Orleans Parish","Cathedral Academy (St. Louis Cathedral)(C)","Sr. Mary Sheila  Maksim, OP ","caprincipal@archdiocese-no.org","820 Dauphine Street","New Orleans              ","LA","70116","5045253860","5045253193","PK4,K-7"
"Orleans Parish","St. Leo the Great School (C)","Carmel  Mire ","carmel_mire@hotmail.com","1501 Abundance Street","New Orleans              ","LA","70119","5049431482","5049445895","PK4,K-6"
"St. John the Baptist Parish","St. Joan of Arc School (C)","Larry J. Bourgeois Jr.","stjoanlaplace@archdiocese-no.org","412 Fir Street","LaPlace                  ","LA","70068","9856526310","9856526390","PK4,K-8"
"Orleans Parish","St. Joan of Arc School (C)","Dionne L. Frost ","stjoanno@archdiocese-no.org","919 Cambronne Street","New Orleans              ","LA","70118","5048612887","5048669588","PK4,K-8"
"Orleans Parish","St. Anthony of Padua School (C)","Sr.Ruth  Angelette OP","stanthonyofpadua@archdiocese-no.org","4601 Cleveland Avenue","New Orleans              ","LA","70119","5044884426","5044885373","PK3,PK4,K-7"
"Jefferson Parish","St. Edward the Confessor School (C)","Thomas E. Becker, Phd","tbecker@steddy.org","4901 West Metairie Avenue","Metairie                 ","LA","70001","5048886353","5044560960","PK4,K-8"
"Orleans Parish","St. Dominic School (C)","Adrianne M. LeBlanc ","aleblanc@stdominicnola.org","6326 Memphis Street","New Orleans              ","LA","70124","5044824123","5044863870","PK4,K-7"
"Jefferson Parish","St. Cletus School (C)","Jill  Grabert ","jgrabert@stcletuscolts.com","3610 Claire Avenue","Gretna                   ","LA","70053","5043663538","5043660011","PK3,PK4,K-8"
"Jefferson Parish","St. Clement of Rome School (C)","Chad A. Howat ","chowat@scrschool.org","3978 West Esplanade Avenue","Metairie                 ","LA","70002","5048880386","5048858273","PK3,PK4,K-7"
"Jefferson Parish","St. Christopher School (C)","Ruth  Meche ","arnochrist@archdiocese-no.org","3900 Derbigny Street","Metairie                 ","LA","70001","5048376871","5048340522","PK4,K-8"
"St. John the Baptist Parish","St. Charles Catholic High School (C)","Andrew C. Cupit ","acupit@archdiocese-no.org","100 Dominican Drive","LaPlace                  ","LA","70068","9856523809","9856522609","8-12"
"St. Charles Parish","St. Charles Borromeo School (C)","Mary  Schmidt ","mschmidt@scbhumilitas.org","13396 River Rd. Building # 3","Destrehan                ","LA","70047","9857649232","9857643726","PK4,K-8"
"Jefferson Parish","St. Catherine of Siena School (C)","Frances Dee Tarantino ","fdtarantino@scsgators.org","400 Codifer Boulevard","Metairie                 ","LA","70005","5048311166","5048338982","PK3,PK4,K-7"
"Jefferson Parish","St. Benilde School (C)","John V. Downey ","jdowney@arch-no.org","1801 Division Street","Metairie                 ","LA","70001","5048339894","5048344380","PK4,K-7"
"Orleans Parish","St. Augustine Senior High School (C)","Eric  Smith ","esmith@purpleknights.com","2600 A.P. Tureaud Avenue","New Orleans              ","LA","70119","5049442424","5049477712","10-12"
"Jefferson Parish","St. Francis Xavier School (C)","Barbara  Martin ","stfrancisxav@archdiocese-no.org","215 Betz Place","Metairie                 ","LA","70005","5048331471","5048331498","PK4,K-7"
"Orleans Parish","Brother Martin Junior High School (Boys) (C)","Zachary  Fields ","zfields@brothermartin.com","4401 Elysian Fields Ave.","New Orleans              ","LA","70122","5042831561","5042868462","7-9"
"Jefferson Parish","Academy of Our Lady (Girls) (C)","Sr. Michelle  Geiger, FMA","srmgeiger@theacademyofourlady.org","537 Avenue D","Marrero                  ","LA","70072","5043416217","5043416229","8-12"
"Orleans Parish","Holy Name of Jesus School (C)","Courtney  Wolbrette ","hnjschool@hnjschool.org","6325 Cromwell Place","New Orleans              ","LA","70118","5048611466","5048611480","PK4,K-7"
"Orleans Parish","Holy Ghost Elementary School (C)","Sr.Angela Theresa Smith SSF","holyghost@archdiocese-no.org","2035 Toledano Street","New Orleans              ","LA","70115","5048996782","5048996782","PK4,K-8"
"Orleans Parish","Holy Cross Senior High School (Boys) (C)","Joseph H. Murry PhD","jmurry@holycrosstigers.com","5500 Paris Avenue","New Orleans              ","LA","70122","5049423100","5042865665","8-12"
"Orleans Parish","De La Salle Junior High School (C)","Michael  Buras ","mburas@delasallenola.com","5300 St.Charles Avenue","New Orleans              ","LA","70115","5048955717","5048951300","8-9"
"Orleans Parish","Holy Rosary Academy (C)","Sr. Paulette  Tiefenbrunn, S.S.N.D ","ptiefenbrunn@holyrosarynola.org","2437 Jena Street","New Orleans              ","LA","70115","5044827173","5044827229","PK3,PK4,K-7"
"Orleans Parish","Christian Brothers School (Boys) (C)","Joey M. Scaffidi ","school@cbs-no.org","#8 Friederichs Avenue","New Orleans              ","LA","70124","5044866770","5044861053","5-7"
"Orleans Parish","Cabrini High School (Girls) (C)","Yvonne  Hrapmann ","jsimeon@cabrinihigh.com","1400 Moss Street","New Orleans              ","LA","70119","5044821193","5044838671","8-12"
"St. John the Baptist Parish","Ascension of Our Lord School (C)","Tony  Ruiz ","truiz@aolcrusaders.org","1809 Greenwood Drive","LaPlace                  ","LA","70068","9856524532","9856515151","PK4,K-8"
"Jefferson Parish","Archbishop Shaw Sr. High School (C)","Rev. Louis  Konopelski SDB","arnoshaw@archdiocese-no.org","1000 Barataria Boulevard","Marrero                  ","LA","70072","5043406727","5043407899","10-12"
"Jefferson Parish","Archbishop Rummel Sr. High School (Boys) (C)","Michael  Scalco ","ehartman@rummelraiders.com","1901 Severn Avenue","Metairie                 ","LA","70001","5048345592","5048344871","10-12"
"Jefferson Parish","Archbishop Chapelle High School (Girls) (C)","Cathy  Yaeger ","cyaeger@archbishopchapelle.org","8800 Veterans Blvd.","Metairie                 ","LA","70003","5044673105","5044663191","8-12"
"City of Bogalusa","Annunciation School (C)","Veda R. Matthews ","annunciationsch@archdiocese-no.org","511 Avenue C","Bogalusa                 ","LA","70427","9857356643","9857356119","PK3,PK4,K-8"
"Jefferson Parish","Immaculate Conception School (C)","Sr. Helen  Godin, FMA","iconception@archdiocese-no.org","601 Avenue C","Marrero                  ","LA","70072","5043474409","5043412766","PK3,PK4,K-8"
"Jefferson Parish","Christ the King School (C)","Cindy  Ruel ","christkingsch@archdiocese-no.org","2106 Deerfield Road","Terrytown                ","LA","70056","5043673601","5043673679","PK3,PK4,K-8"
"Caddo Parish","First Baptist Church School","James  Gillespie ","krobinson@fbcschool.org","533 Ockley Drive","Shreveport               ","LA","71106","3188692361","3188690125","PK3,PK4,K-8"
"Orleans Parish","Auntie B. Preschool and Kindergarten","Stephen  Uwaezuoke ","steveuwa@cox.net","8001 Lafourche Street","New Orleans              ","LA","70127","5042429299","5042429305","PK3,PK4,K"
"Jefferson Parish","Conquering Word Christian Academy","Carolyn R. Treaudo PhD","conqueringword@hotmail.com","812 Avenue F","Marrero                  ","LA","70072","5043282273","5043282204","PK4,K-12"
"Orleans Parish","Conquering Word Christian Academy Eastbank","Beryl Cook Soniat ","conqueringword@hotmail.com","812 Avenue F","Marrero                  ","LA","70072","5043282273","5043282204","PK3,PK4,K-12"
"Caddo Parish","St. Mark's Cathedral School (E)","Christopher  Carter ","ccarter@stmarksschool.com","2785 Fairfield Avenue","Shreveport               ","LA","71104","3182217454","3182217060","PK3,PK4,K-8"
"Tangipahoa Parish","Gordon-Richardson Christian Academy","Joseph  Richardson ","veronica.richardson@tangischools.org","P.O. Box 246","Amite                    ","LA","70422","9857484907","          ","PK4,K-7"
"Caddo Parish","Southfield School","Jeff Wallace Stokes ","jstokes@southfield-school.org","1100 Southfield Road","Shreveport               ","LA","71106","3188685375","3188690890","PK3,PK4,K-8"
"Calcasieu Parish","Bishop Noland Episcopal Day School","Frances C. Kay ","bkay@episcopaldayschool.org","803 North Division Street","Lake Charles             ","LA","70601","3374335246","3374361248","PK3,PK4,K-8"
"East Baton Rouge Parish","BR Montessori Kids (formerly Maranantha)","Mary Anne Grosch ","info@brmontessorikids.com","12663 Perkins Road","Baton Rouge              ","LA","70810","2257672500","          ","PK4,K"
"Claiborne Parish","Claiborne Academy","Jane  Brown ","jane.brown5552@gmail.com","6741 Hwy. 79","Haynesville              ","LA","71038","3189272747","3189274519","PK4,K-12"
"DeSoto Parish","Central School Corporation","Robert  Peters PhD","centrl@bellsouth.net","P. O. Box 187","Grand Cane               ","LA","71032","3188583319","3188586394","K-12"
"Terrebonne Parish","Messiah Montessori","Dr.Jules  Boquet ","messiahm@harvestcm.org","P.O. Box 20027","Houma                    ","LA","70360","9858578808","9858513116","PK3,PK4,K-9"
"Rapides Parish","Alfred Booker, Jr. Academy","Jamie  Massie ","sheldon.eakins@abja-sda.com","916 Richmond Drive","Alexandria               ","LA","71301","3184423621","3184423622","PK3,PK4,K-8"
"Calcasieu Parish","Eternity Christian Academy & Learning Inst.","Dr. Rose M. Cooks ","pastorcarrier@bellsouth.net","P.O. Box 343","Lake Charles             ","LA","70602","3374334138","3374336800","K-8"
"Central Community","Central Private School","Dr. Jim  Surratt ","cp@centralprivate.org","12801 Centerra Court","Central                  ","LA","70714","2252613341","2252613490","PK3,PK4,K-12"
"East Baton Rouge Parish","Episcopal High School","Hugh M. McIntosh ","mcintoshh@ehsbr.org","3200 Woodland Ridge Blvd.","Baton Rouge              ","LA","70816","2257510808","2257560926","PK4,K-12"
"St. Landry Parish","Family Worship Christian Academy","Alysia M. Richard ","alysia_richard@yahoo.com","P.O. Box 1463","Opelousas                ","LA","70571","3379421563","3379421521","PK4,K-12"
"East Baton Rouge Parish","Baton Rouge Lutheran School","Gordon E. Schamber ","brlutheran@brlutheranschool.org","10925 Florida Boulevard","Baton Rouge              ","LA","70815","2252721288","2252728504","PK4,K-8"
"East Baton Rouge Parish","Runnels School","L. K. Runnels ","k.runnels@runnels.org","17255 S Harrells Ferry Rd.","Baton Rouge              ","LA","70816","2257515712","2257530276","K-12"
"East Baton Rouge Parish","St. James Episcopal Day School","Linda S. Chauviere ","lchauviere@stjamesbr.org","P.O. Box 3011","Baton Rouge              ","LA","70821","2253440805","2253434873","PK4,K-5"
"East Baton Rouge Parish","St. Luke's Episcopal School","Amy J. Whitley ","awhitley@stlukesbrschool.org","8833 Goodwood Boulevard","Baton Rouge              ","LA","70806","2259278601","2259282542","PK3,PK4,K-8"
"East Baton Rouge Parish","Trinity Episcopal Day School","Kim  Jones ","kjones@trinityschoolbr.org","3550 Morning Glory Avenue","Baton Rouge              ","LA","70808","2253870398","2253873145","PK3,PK4,K-5"
"East Carroll Parish","Briarfield Academy","Lance M. Prine ","lprine@briarfieldacademy.com","301 Riddle Lane","Lake Providence          ","LA","71254","3185592360","3185592360","PK4,K-12"
"East Feliciana Parish","Silliman Institute","Ann K. Kent ","tforrester@sillimaninstitute.org","P.O. Box 946","Clinton                  ","LA","70722","2256835383","2256836728","PK4,K-12"
"Franklin Parish","Franklin Academy","Phillip A. Jackson ","k.boquet@facougars.org","2110 Loop Road","Winnsboro                ","LA","71295","3184359520","3184359508","K-12"
"Jefferson Parish","Atonement Lutheran School","Doug  Molin ","schooloffice@alcs.org","6500 Riverside Drive","Metairie                 ","LA","70003","5048870225","5048870225","PK3,PK4,K-8"
"Jefferson Parish","Concordia Lutheran School","Debra M. Sweeden ","TJSRICH@yahoo.com","6700 B Westbank Expressway","Marrero                  ","LA","70072","5043474155","5043489345","PK4,K-8"
"Jefferson Parish","Crescent City Christian School","David  Jochum ","djochum@ccchristian.net","4828 Utica Street","Metairie                 ","LA","70006","5048854700","5048854703","K-12"
"Jefferson Parish","John Curtis Christian School","John T. Curtis Jr.","lbcurtis@johncurtis.com","10125 Jefferson Highway","River Ridge              ","LA","70123","5047374621","5047377326","PK3,PK4,K-12"
"St. Martin Parish","Evangel House Christian Academy","Mark D. Barrentine ","admissions@evangelhouse.com","P. O. Box 139","St. Martinville          ","LA","70582","8009244012","8662236842","6-12"
"Jefferson Parish","Ecole Classique","Sal J. Federico ","david-federico@ecoleclassique.com","5236 Glendale Street","Metairie                 ","LA","70006","5048873507","5048878140","PK4,K-12"
"Jefferson Parish","Faith Lutheran School","Diane K. Oestriecher ","fls-office@att.net","300 Colonial Club Drive","Harahan                  ","LA","70123","5047379554","5047379599","PK4,K-8"
"Jefferson Parish","Heritage Academy","Harry B. DeKay Jr.","HeritageAcad@bellsouth.net","2900 Wytchwood Drive","Metairie                 ","LA","70003","5048877111","5048853006","7-12"
"Jefferson Parish","Kehoe-France School","Janet  Pananos ","carol@kehoe-france.com","720 Elise Avenue","Metairie                 ","LA","70003","5047330472","5047330477","PK3,PK4,K-8"
"Jefferson Parish","Metairie Park Country Day School","Carolyn  Chandler ","carolyn_chandler@mpcds.com","300 Park Road","Metairie                 ","LA","70005","5048375204","5048370015","PK4,K-12"
"Vermilion Parish","Lighthouse Christian Preparatory School","Tiffany  Spraggins ","lchs@cox-internet.com","6526 Chiasson Road","Abbeville                ","LA","70510","3378938740","          ","6-12"
"Jefferson Parish","Ridgewood Preparatory School","Milton J. Montgomery Jr.","acalix@ridgewoodprep.com","201 Pasadena Avenue","Metairie                 ","LA","70001","5048352545","5048371864","PK4,K-12"
"Jefferson Parish","St. Martin's Episcopal School (E)","Merry  Sorrells ","toni.caserta@stmsaints.com","225 Green Acres Road","Metairie                 ","LA","70003","5047330353","5047368800","PK4,K-12"
"East Baton Rouge Parish","Cypress Heights Academy (C)","Sean  Preston PhD","spreston@cypressheights.org","P.O. Box 83675","Baton Rouge              ","LA","70835","2257551558","2257551568","PK4,K-8"
"Franklin Parish","Family Community Christian School","Elizabeth H. Rigdon ","ehrigdon@yahoo.com","2023 Highway 15","Winnsboro                ","LA","71295","3184354791","3184354792","PK3,PK4,K-12"
"Lafayette Parish","Ascension Episcopal School","Dr. David  Rath,Ed.D ","drath@aesgators.com","1030 Johnston Street","Lafayette                ","LA","70501","3372339748","3372699768","PK3,PK4,K-12"
"Lafayette Parish","Gethsemane Christian Academy","Mae C. Winbush ","gethsemaneschool@aol.com","P.O. Box 2906","Lafayette                ","LA","70502","3372332750","3372649289","PK3,PK4,K-8"
"East Baton Rouge Parish","Greater Mt. Olive Christian Academy (B)","Beverly  Wallace ","jdixon@gmombc.org","3155 Victoria Dr.","Baton Rouge              ","LA","70805","2253555155","2253555122","PK4,K-3"
"Lincoln Parish","Bethel Christian School","Nancy I. Stevenson ","nancybcs54@yahoo.com","2901 Winona Drive","Ruston                   ","LA","71270","3182551112","3185131113","PK3,PK4,K-12"
"Lincoln Parish","Cedar Creek School","Andrew  Yepson ","ayepson@cedarcreekschool.org","2400 Cedar Creek Drive","Ruston                   ","LA","71270","3182557707","3182512846","PK4,K-12"
"Madison Parish","Tallulah Academy-Delta Christian School","Donald H. Pennington ","dpennington@tallulahacademy.org","700 Wood Street","Tallulah                 ","LA","71282","3185742606","3185743390","PK3,PK4,K-12"
"Livingston Parish","Amite Christian School","Terry  Booth ","tbooth@amitechurch.org","7100 Amite Church Road","Denham Springs           ","LA","70706","2256652060","          ","K-5"
"Morehouse Parish","Prairie View Academy","Edward D. Bain ","edbain@prairieviewacademy.com","9942 Edwin Street","Bastrop                  ","LA","71220","3182817044","3182814113","K-12"
"East Baton Rouge Parish","Baton Rouge International School","Nathalie  Guyon ","brisla@yahoo.com","5015 Autoplex Drive","Baton Rouge              ","LA","70809","2252934338","2252934307","K-12"
"Jefferson Parish","Arden Cahill Academy","Mary Kevin Cahill ","ardencahill@yahoo.com","3101 Wall Boulevard","Gretna                   ","LA","70056","5043920902","5043923813","PK3,PK4,K-8"
"East Baton Rouge Parish","McKanstry Preparatory School/Little Scholars","Shelia  Simon-McKanstry ","imckanstry@yahoo.com","10022 Greenwell Springs Rd.","Baton Rouge              ","LA","70814","2252720730","2252720730","PK4,K-6"
"Jefferson Parish","Lutheran High School (L)","Lois  Rost ","lrost@lutheranhighschool.net","3864 17th Street","Metairie                 ","LA","70002","5044554062","5044554453","9-12"
"Orleans Parish","The Louise S. McGehee School (GIRLS)","Eileen F. Powers ","eileenp@mcgeheeschool.com","2343 Prytania Street","New Orleans              ","LA","70130","5045611224","5045851786","PK4,K-12"
"Rapides Parish","Cenla Christian Academy","Gerald  Crooks ","gcrooks0710@gmail.com","2900 Donahue Ferry Road","Pineville                ","LA","71360","3186404787","3186400697","7-12"
"Orleans Parish","Isidore Newman School","Thomas J. Locke PhD","rebeccathomason@newmanschool.org","1903 Jefferson Avenue","New Orleans              ","LA","70115","5048966328","5048968597","PK4,K-12"
"Orleans Parish","McMillian's First Steps CCDC","Linda  McMillian ","mcmillianfirst@yahoo.com","2601 South Claiborne Avenue","New Orleans              ","LA","70125","5046504798","          ","PK4,K"
"Beauregard Parish","BeauVer` Christian Academy","Maysia D. Coker ","mdcoker2001@yahoo.com","3132 Highway 190 West","DeRidder                 ","LA","70634","3374636100","3374636101","K-12"
"Orleans Parish","St. George's Episcopal School","Robert E. Eichberger PhD","rob@stgeorges.k12.la.us","923 Napoleon Avenue","New Orleans              ","LA","70115","5048915509","5048951225","PK3,PK4,K-8"
"Orleans Parish","St. John Lutheran School","Bethany  Gonski ","SJLC1@bellsouth.net","3937 Canal Street","New Orleans              ","LA","70119","5044886641","5044822101","PK3,PK4,K-6"
"Orleans Parish","St. Paul Lutheran School (L)","Susann M. Schiller ","sptigers@bellsouth.net","2624 Burgundy Street","New Orleans              ","LA","70117","5049471773","5049453743","K-8"
"Orleans Parish","St. Paul's Episcopal School (E)","Charleen  Schwank ","blyons@stpauls-lakeview.org","6249 Canal Boulevard","New Orleans              ","LA","70124","5044881319","5043048315","PK4,K-8"
"Orleans Parish","Trinity Episcopal School","Rev.Dr.Michael  Kuhn ","mkuhn@trinitynola.com","1315 Jackson Avenue","New Orleans              ","LA","70130","5045258661","5045234837","PK4,K-8"
"Jefferson Parish","Muslim Academy","Nabil  Abukhader ","BAbukhader@aol.com","440 Realty Drive","Gretna                   ","LA","70056","5044331960","5044337875","1-12"
"Ouachita Parish","Ouachita Christian School (CC)","William Robert Stokes ","bstokes@ocs.org","7065 Highway 165 N","Monroe                   ","LA","71203","3183256000","3183877000","PK4,K-12"
"Ouachita Parish","River Oaks School","William Thomas Middleton, Ed.D. ","tmiddleton1@centurytel.net","600 Finks Hideaway Road","Monroe                   ","LA","71203","3183434185","3183431107","K-12"
"City of Monroe","Grace Episcopal School","Beth  Ricks ","bricks@graceepiscopal.org","1400 North Fourth Street","Monroe                   ","LA","71201","3183225837","3183226956","PK4,K-8"
"Vernon Parish","Faith Training Christian Academy High School","Richard J. Reese Sr.","rjreesesr@yahoo.com","603 East Mechanic Street","Leesville                ","LA","71446","3373921569","3372391044","6-12"
"Terrebonne Parish","Covenant Christian Academy","Steve  Folmar ","steve@fbchouma.com","4863 W. Park","Houma                    ","LA","70364","9858517567","          ","K-12"
"Pointe Coupee Parish","False River Academy","Kenneth R. LeBeau ","kenneth.lebeau@falseriveracademy.org","201 Major Parkway","New Roads                ","LA","70760","2256383783","2256388555","PK4,K-12"
"Rapides Parish","Alexandria Country Day School","Nancy  Rials ","nrials@acdsonline.org","5603 Bayou Rapides Road","Alexandria               ","LA","71303","3184481475","3184427924","PK3,PK4,K-8"
"Red River Parish","Riverdale Academy","Jamie  Lawrence ","jlawrence@riverdaleacademy.org","100 Riverdale Road","Coushatta                ","LA","71019","3189325876","3189324355","PK4,K-12"
"Richland Parish","Riverfield Academy","Sherri  Slade ","racademy@riverfieldacademy.net","115 Wood Street","Rayville                 ","LA","71269","3187283281","3187283285","PK3,PK4,K-12"
"St. Bernard Parish","Lynn Oaks School","Troy  Dean ","tdean@lynnoaks.com","#1 Lynn Oaks Drive","Braithwaite              ","LA","70040","5046823171","5046823173","PK3,PK4,K-8"
"St. John the Baptist Parish","Riverside Academy","Perry J. DiCarlo ","pdicarlo@riversideacademy.com","332 Railroad Avenue","Reserve                  ","LA","70084","9855364246","9855362127","K-12"
"Caldwell Parish","Old Bethel Christian Academy","Sandra  Richmond ","srrich1@bellsouth.net","P.O. Box 95","Clarks                   ","LA","71415","3186490281","3186490281","PK4,K-10"
"St. Martin Parish","Episcopal School of Acadiana","Charles Henry Skipper PhD","cskipper@esacadiana.com","P. O. Box 380","Cade                     ","LA","70519","3373651416","3373679841","PK4,K-12"
"St. Mary Parish","Chitimacha Tribal School","Tanya Migues Rosamond ","tanya@chitimacha.gov","3613 Chitimacha Trail","Jeanerette               ","LA","70544","3379239960","3379237346","PK3,PK4,K-8"
"St. Tammany Parish","Kehoe-France Northshore","Brad  Humphreys ","bhumphreys@kehoe-francens.com","25 Patricia Drive","Covington                ","LA","70433","9858924415","9858757636","PK3,PK4,K-7"
"Lincoln Parish","New Living Word School","Jerry L. Baldwin ","jerrybaldwin@nlwm.org","P. O. Box 2052","Ruston                   ","LA","71272","3182550270","3182540081","PK4,K-12"
"Lafayette Parish","John Paul The Great Academy","Kevin D. Roberts PhD","kroberts@jpgacademy.org","1522 Carmel Drive","Lafayette                ","LA","70501","3378895345","3378895347","K-12"
"Tangipahoa Parish","Emmanuel SDA School","Ezrone  Bernard ","principalebernard@gmail.com","702 North Cherry Street","Hammond                  ","LA","70401","9853457713","9853457190","K-8"
"Tangipahoa Parish","Oak Forest Academy","Jason H. Brabham ","brabham@ofajackets.com","600 Walnut Street","Amite                    ","LA","70422","9857484222","9857484320","PK4,K-12"
"East Baton Rouge Parish","Angles Academy","Adrienne  Thomas ","athomas@anglesacademy.com","P. O. Box 2211","Baton Rouge              ","LA","70821","2259249770","2259249770","K-10"
"Tensas Parish","Tensas Academy","Jimmy D. Comeaux ","coachcomeaux@tensasacademy.org","P.O. Box 555","St. Joseph               ","LA","71366","3187664384","3187663559","PK4,K-12"
"Terrebonne Parish","St. Matthew's Episcopal School","Cheryl E. Matherne ","cheryl.matherne@stmattshouma.org","266 Gabasse Street","Houma                    ","LA","70360","9858725573","9858689850","PK4,K-7"
"Washington Parish","Bowling Green School","Beverly  Young ","bgs@franklinton.net","700 Varnado Street","Franklinton              ","LA","70438","9858395317","9858395668","PK4,K-12"
"Webster Parish","Glenbrook School","Darden F. Gladney ","dgladney@glenbrookschool.com","1674 Country Club Circle","Minden                   ","LA","71055","3183772135","3183770578","K-12"
"Caddo Parish","Word Of God Academy","W. Edward Hearron ","ehearron@wogacademy.org","2820 Summer Grove Drive","Shreveport               ","LA","71118","3186879003","3186879607","PK3,PK4,K-8"
"East Baton Rouge Parish","Christian Life Academy","Peter S. Barnes ","Betty.Holstein@gocrusaders.com","2037 Quail Drive","Baton Rouge              ","LA","70808","2257696760","2257698068","PK4,K-12"
"Bossier Parish","Providence Classical Academy","Howard Q. Davis ","office.pca@gmail.com","4525 Old Brownlee Road","Shreveport               ","LA","71111","3188209465","0000000000","PK4,K-9"
"East Baton Rouge Parish","The Dunham School","Robert W. Welch ","bobby.welch@dunhamschool.org","11111 Roy Emerson Drive","Baton Rouge              ","LA","70810","2257677097","2257677056","PK4,K-12"
"East Baton Rouge Parish","Brighton School","Kenneth B. Payne ","kpayne@thebrightonschool.org","12108 Parkmeadow Avenue","Baton Rouge              ","LA","70816","2252912524","          ","K-12"
"East Baton Rouge Parish","Elan Vital Montessori School","Erin  Rice ","erice@elanvitalmontessori.org","5228 Perkins Road","Baton Rouge              ","LA","70808","2257676620","2250000000","PK3,PK4,K-4"
"St. Tammany Parish","Healing Waters Montessori School","Suzanne Rizan Burns ","healingwatersmont@yahoo.com","71642 Keller Street","Abita Springs            ","LA","70420","9858711441","          ","PK3,PK4,K"
"East Baton Rouge Parish","Hosanna Christian Academy (AG)","S. Josh LeSage ","SJL@hcablazers.org","8850 Goodwood Boulevard","Baton Rouge              ","LA","70806","2259264885","2259268458","PK4,K-12"
"St. Tammany Parish","Lakeview Maria Montessori Preschool","Rachel L. Wilcox ","luvsdcalif@yahoo.com","502 North Florida Street","Covington                ","LA","70433","9858935492","          ","PK3,PK4,K"
"East Baton Rouge Parish","Greater Baton Rouge Hope Academy","Linda  Stone ","LStone@HopeAcademyBR.org","15333 Jefferson Highway","Baton Rouge              ","LA","70817","2252930141","2252930442","K-12"
"Ouachita Parish","Prevailing Faith Christian Academy","Kristen B. Pleasant ","pfca1111@yahoo.com","1111 Plaza Boulevard","Monroe                   ","LA","71201","3184101201","3184101000","PK3,PK4,K-5"
"East Baton Rouge Parish","Victory Academy","Janet Sue Cashio ","sue.cashio@victoryacademybr.org","3953 North Flannery Road","Baton Rouge              ","LA","70814","2252728339","2252720674","PK4,K-8"
"Caddo Parish","Living Word Academy","Timothy R. Thomas ","trthomas@bellsouth.net","4710 Linwood Avenue","Shreveport               ","LA","71108","3188615055","3188615059","PK3,PK4,K-2"
"Orleans Parish","Cathedral Montessori School","Jan E. Weiner ","cathedralmontessori@gmail.com","9 Fortress Road","New Orleans              ","LA","70122","5042524871","5042658059","PK3,PK4,K"
"Calcasieu Parish","First Baptist Christian Academy","David A. Rhodes ","dave@mossbluff-fbca.com","282 Old Highway 171","Lake Charles             ","LA","70611","3378559075","3378558484","K-8"
"Livingston Parish","Southland Christian Academy","Kaziah  Williams ","office@southlandsaints.com","7000 Gloryland Way","Denham Springs           ","LA","70726","2256677745","2256678551","9-12"
"Iberia Parish","Epiphany Day School (E)","Kathleen  O'Shaughnessy ","pcounce@eds-ni.com","120 Jefferson Street","New Iberia               ","LA","70560","3373646841","3373658209","PK4,K-5"
"Caddo Parish","Dreamkeepers Academy","Belena  Turner ","belenaturn@aol.com","6703 Melara Street","Shreveport               ","LA","71108","3187791228","3197791267","PK3,PK4,K-5"
"Caddo Parish","Evangel Christian Academy (AG)","Albert  Dean ","kfuller@evangelacademy.com","7425 Broadacres Road","Shreveport               ","LA","71129","3186887061","3186887322","K-12"
