"Schools Name","Address","Address2 ","City","City 2","Zip","Zip 2","Area","Title","Principal","First","Last","Email","Phone","Fax","Grades"
"Covenant Christian School","243 NORTH STILES RD","243 NORTH STILES RD","LUDINGTON","LUDINGTON","49431-9102","49431-9102","Mason Co. Central",,"Richard Ambrose","Richard","Ambrose","rambrose@charterinternet.com","2318459183","2318359085","KG-Part, 1-8, GenEd, PK"
"Cowden Lake Bible Academy","4931 NORTH BAILEY RD","4931 NORTH BAILEY RD","CORAL","CORAL","49322-9701","49322-9701","Lakeview (Montcalm)","Dr.","Larry Rolston","Larry","Rolston","clba81@yahoo.com","2313540024","2313540024","KG-Part, 1-12, GenEd"
"Cranbrook  School","P.O. Box 801, 39221 Woodward","39221 WOODWARD AVE","Bloomfield Hills","BLOOMFIELD HILLS","48303-0801","48303-0801","Bloomfield Hills","Mr.","Kurt Godfryd","Kurt","Godfryd","kgodfryd@cranbrook.edu","2486453625",,"KG-Part, 1-12, Boarding, GenEd, PK"
"Crescent Academy International","40440 PALMER RD","40440 PALMER RD","CANTON","CANTON","48188-2034","48188-2034","Plymouth-Canton","Ms.","Wahllia Abdallah","Wahllia","Abdallah","wabdallah@crescentacademy.org","7347291000","7347291004","KG,1-8, GenEd, PK"
"Cross Lutheran School","200 RUPPERT ST","200 RUPPERT ST","PIGEON","PIGEON","48755-5160","48755-5160","Elkton-Pigeon-Bay Port Laker","Ms.","Gwynne Barry","Gwynne","Barry","gwynne@crosslutheranschool.org","9894533331","9894533331","KG-Part, 1-8, GenEd, PK"
"Cross of Glory Lutheran School","61095 CAMPGROUND RD","61095 CAMPGROUND RD","WASHINGTON","WASHINGTON","48094-1403","48094-1403","Romeo","Mr.","Douglas Fillner","Douglas","Fillner","dsfill52@yahoo.com","5867819870",,"KG-Part, 1-8, GenEd"
"Crossroads Christian Academy","219 SILVER CREEK RD","219 SILVER CREEK RD","MARQUETTE","MARQUETTE","49855-9339","49855-9339","Marquette","Ms.","Willa Vallin","Willa","Vallin","willa@ccaschool.org","9062492030","9062495562","KG,KG-Part,1-8, GenEd, PK"
"Crown of Life Lutheran School","25065 EUREKA DR","25065 EUREKA DR","WARREN","WARREN","48091-5010","48091-5010","Center Line","Mr.","Daniel Nolte","Daniel","Nolte","noltedc@hotmail.com","5864276579","5864276579","KG,1-8, Faith, GenEd, PK"
"Daycroft Montessori School","1095 NORTH ZEEB RD","1095 NORTH ZEEB RD","ANN ARBOR","ANN ARBOR","48103-1472","48103-1472","Dexter","Ms.","Diane Mukkala","Diane","Mukkala","dianem@daycroft.org","7346623335","7346623360","KG-Part, 1-6, GenEd, PK"
"Daystar Christian Academy","3976 80TH AVE","3976 80TH AVE","EVART","EVART","49631-8750","49631-8750","Evart Public Schools","Ms.","Linda Derscheid","Linda","Derscheid","ebmcdca@copper.net","2317343771","2317343771","KG-Part, 1-12, GenEd, PK"
"Dearborn Christian School","21360 DONALDSON ST","21360 DONALDSON ST","DEARBORN","DEARBORN","48124-3037","48124-3037","Dearborn","Mr.","Robert De Roo","Robert","De Roo","dearbornchristian@gmail.com","3135631240","3135634348","KG-Part, 1-8, GenEd, PK"
"Dearborn Heights Montessori Center","466 NORTH JOHN DALY RD","466 NORTH JOHN DALY RD","DEARBORN HEIGHTS","DEARBORN HEIGHTS","48127-3703","48127-3703","Wayne-Westland","Ms.","M. Kay Neff","M. Kay","Neff","kayneff@aol.com","3133593000","3133593003","KG-Part, 1-8, GenEd, PK"
"Deford Christian Academy","P.O. Box 247, 1392 Kingston Rd.","1392 KINGSTON RD","Deford","DEFORD","48729-0247","48729","Cass City","Mr.","Jeff Willis","Jeff","Willis","dccdca@tband.net","9898724055","9898725112","KG-Part, 1-12, GenEd"
"DeLaSalle Collegiate High School","14600 COMMON RD","14600 COMMON RD","WARREN","WARREN","48088-3387","48088-3387","Warren Woods","Mr.","Patrick Adams","Patrick","Adams","padams@delasallehs.com","5867782207","5867786016","9-12, GenEd"
"Detroit Catholic Central High School","27225 WIXOM RD","27225 WIXOM RD","NOVI","NOVI","48374-1119","48374-1119","Novi","Fr.","Jon Huber","Jon","Huber","smartin@catholiccentral.net","2485963872","2485963811","9-12, GenEd"
"Detroit Country Day Jr. School","3600 BRADWAY BLVD","3600 BRADWAY BLVD","BLOOMFIELD HILLS","BLOOMFIELD HILLS","48301-2412","48301-2412","Birmingham","Mr.","Glen Shilling","Glen","Shilling","mwelsh@dcds.edu","2486467717","2486462458","3-5, GenEd"
"Detroit Country Day Lower School","3003 WEST MAPLE RD","3003 WEST MAPLE RD","BLOOMFIELD HILLS","BLOOMFIELD HILLS","48301-3468","48301-3468","Birmingham","Mr.","Glen Shilling","Glen","Shilling","mwelsh@dcds.edu","2486467717","2486462458","KG-Part, 1-2, GenEd, PK"
"Detroit Country Day Middle School","22400 HILLVIEW LN","22400 HILLVIEW LN","BEVERLY HILLS","BEVERLY HILLS","48025-4824","48025-4824","Birmingham","Mr.","Glen Shilling","Glen","Shilling","mwelsh@dcds.edu","2486467717","2486462458","6-8, GenEd"
"Detroit Country Day Upper School","22305 WEST 13 MILE RD","22305 WEST 13 MILE RD","BEVERLY HILLS","BEVERLY HILLS","48025-4435","48025-4435","Birmingham","Mr.","Glen Shilling","Glen","Shilling","mwelsh@dcds.edu","2486467717","2486462458","9-12, GenEd"
"Detroit Cristo Rey High School","5679 W VERNOR HWY","5679 WEST VERNOR HWY","DETROIT","DETROIT","48209-2157","48209-2157","Detroit","Ms.","Susan Rowe","Susan","Rowe","srowe@detroitcristorey.org","3138432747","3138432750","9-12, GenEd"
"Divine Child Elementary School","25001 HERBERT WEIER DR","25001 HERBERT WEIER DR","DEARBORN","DEARBORN","48128-1045","48128-1045","Dearborn","Sr.","M. Cecilia Bondy","M. Cecilia","Bondy","dccbondy@yahoo.com","3135621090","3135645455","1-8, GenEd"
"Divine Child High School","1001 NORTH SILVERY LN","1001 NORTH SILVERY LN","DEARBORN","DEARBORN","48128-1544","48128-1544","Dearborn","Mrs.","Margaret Knuth","Margaret","Knuth","knuth@divinechild.pvt.k12.mi.us","3135621990","3135629361","9-12, GenEd"
"Divine Grace Lutheran School","3000 SOUTH LAPEER RD","3000 SOUTH LAPEER RD","LAKE ORION","LAKE ORION","48359-1317","48359-1317","Lake Orion","Mr.","Paul Hoffman","Paul","Hoffman","divgrace@123.net","2483911131",,"KG-Part, 1-8, GenEd, PK"
"Dutton Christian School","6729 HANNA LAKE AVE SE","6729 HANNA LAKE AVE SE","CALEDONIA","CALEDONIA","49316-9078","49316-9078","Caledonia","Mr.","Daniel Netz","Daniel","Netz","dnetz@duttonchristianschool.org","6166988660","6166982281","6-8, GenEd"
"Dutton Christian School","6980 Hanna Lake","6980 Hanna Lake","Caledonia","Caledonia","48316","49316","Caledonia","Mr.","Daniel Netz","Daniel","Netz","dnetz@duttonchristianschool.org","6166988660","6166982281","KG-Part,1-5, GenEd,PK"
"Eagle Creek Education Fund","3739 KERN RD","3739 KERN RD","OAKLAND","OAKLAND","48363-2635","48363-2635","Rochester","Ms.","Catherine Rondeau","Catherine","Rondeau","lori@eaglecreekacademy.com","2484759999",,"KG-Part, 1-8, GenEd, PK"
"Early Impressions","25000 WEST 10 MILE RD","25000 WEST 10 MILE RD","SOUTHFIELD","SOUTHFIELD","48033-4858","48033-4858","Southfield","Ms.","Nancy Sallen","Nancy","Sallen","earlyimpress@aol.com","2483571740",,"KG,1-2, GenEd"
"East Martin Christian School","516 118TH AVE","516 118TH AVE","MARTIN","MARTIN","49070-9756","49070-9756","Martin","Mr.","Keith Fennema","Keith","Fennema","emcs@accn.org","2696725722",,"KG-Part, 1-8, GenEd"
"Eastside Christian School","2792 MICHIGAN ST NE","2792 MICHIGAN ST NE","GRAND RAPIDS","GRAND RAPIDS","49506-1241","49506-1241","Grand Rapids","Ms.","Judie Feenstra","Judie","Feenstra","eastside@eastside-christian.org","6169422939","6169421310","KG-Part, 1-9, GenEd, PK"
"Eau Claire SDA School","6562 NAOMI RD","6562 NAOMI RD","EAU CLAIRE","EAU CLAIRE","49111-9674","49111-9674","Eau Claire","Mr.","James Gray","James","Gray","bdavis@misda.org","2699444132","5173161559","KG,1-8, GenEd"
"Ebenezer Christian School","9541 White St, PO Box 158","9541 WHITE ST","Ellsworth","ELLSWORTH","49729-0158","49729-9600","Ellsworth","Ms.","Sarah Essenberg","Sarah","Essenberg","ebenezer@torchlake.com","2315887106","2315889922","KG-Part, 1-8, GenEd, PK"
"Emanuel First Lutheran School","1001 NORTH CAPITOL AVE","1001 NORTH CAPITOL AVE","LANSING","LANSING","48906-4824","48906-4824","Lansing","Mr.","Daniel Hosbach","Daniel","Hosbach","prinhosbach@comcast.net","5174854547",,"KG-Part, 1-8, GenEd, PK"
"Emanuel Lutheran School","216 NORTH ST W","216 NORTH ST W","TAWAS CITY","TAWAS CITY","48763-9159","48763-9159","Tawas","Mr.","Dennis Friske","Dennis","Friske","emanueltawas@gmail.com","9893623622",,"KG-Part, 1-8, GenEd, PK"
"Emanuel Redeemer Lutheran School","11089 YALE RD","11089 YALE RD","BROCKWAY","BROCKWAY","48097-2966","48097-2966","Yale","Pastor","Joel Neumann","Joel","Neumann","erls@millenicom.com","8103872906",,"1-8, GenEd"
"Emerson School","5425 SCIO CHURCH RD","5425 SCIO CHURCH RD","ANN ARBOR","ANN ARBOR","48103-9287","48103-9287","Ann Arbor","Mr.","Jerry Loewen","Jerry","Loewen","jlowen@emerson-school.org","7346659005",,"KG-Part, 1-8, GenEd"
"Emmanuel Lutheran School","22425 MORLEY AVE","22425 MORLEY AVE","DEARBORN","DEARBORN","48124-2103","48124-2103","Dearborn","Rev.","Joel Baseley","Joel","Baseley","j_baseley@hotmail.com","3135616265",,"KG-Part,1-6, GenEd, PK"
"Escanaba SDA Elementary School","PO Box 594","210 SOUTH LINCOLN RD","Escanaba","ESCANABA","49829-0594","49829-1340","Escanaba","Mrs.","Janaice Tirzmalis","Janaice","Tirzmalis","bdavis@misda.org","9067863039","5173161559","KG,1-8, GenEd"
"Eton Academy","1755 EAST MELTON RD","1755 EAST MELTON RD","BIRMINGHAM","BIRMINGHAM","48009-7277","48009-7277","Birmingham","Mr.","Pete Pullen","Pete","Pullen","ppullen@etonacademy.org","2486421150",,"1-12, GenEd"
"Everest Academy","5935 CLARKSTON RD","5935 CLARKSTON RD","CLARKSTON","CLARKSTON","48348-4711","48348-4711","Clarkston","Mr.","Gregory Reichert","Gregory","Reichert","greichert@everestacademy.org","2482419064","2486203942","KG,KG-Part,1-11, GenEd, PK"
"Evergreen Lutheran School","8680 EVERGREEN AVE","8680 EVERGREEN AVE","DETROIT","DETROIT","48228-2922","48228-2922","Detroit","Rev.","William Danowski","William","Danowski","william20418@yahoo.com","3135840450",,"KG-Part,1-8, GenEd"
"Factoryville Christian School","33650 FACTORYVILLE RD","33650 FACTORYVILLE RD","ATHENS","ATHENS","49011-9507","49011-9507","Colon","Mr.","Seth Wilson","Seth","Wilson","sethwilson15@hotmail.com","2697294203","2697294182","KG-Part,1-12, GenEd, PK"
"Fairhaven SDA School","G-1379 WEST LOUIS AVE","G-1379 WEST LOUIS AVE","FLINT","FLINT","48505","48505","Beecher","Mr.","John Adeogun","John","Adeogun","fairschool@sbcglobal.net","8107854024","8107856207","1-2,4-8, GenEd"
"Faith Baptist School","7306 EAST ATHERTON RD","7306 EAST ATHERTON RD","DAVISON","DAVISON","48423-2408","48423-2408","Davison","Mr.","Lawrence Nagengast","Lawrence","Nagengast","the7nags@aol.com","8106539661",,"KG-Part, 1-12, GenEd, PK"
"Faith Christian School","7455 WOODLAND RD","7455 WOODLAND RD","LAKE ODESSA","LAKE ODESSA","48849-9434","48849-9434","Lakewood",,"Bruce Barker","Bruce","Barker","fbcfcs@alldial.net","2693674621",,"KG-Part, 1-12, GenEd, PK"
"Faith Christian Schools","23130 REMICK DR","23130 REMICK DR","CLINTON TOWNSHIP","CLINTON TOWNSHIP","48036-2735","48036-2735","Mount Clemens","Mr.","Andrew Tomaskewsky","Andrew","Tomaskewsky","atomashewski@gmail.com","5867839630","5867839628","KG-Part, 1-12, GenEd, PK"
"Faith Community Christian School","9614 FISK RD","9614 FISK RD","BELDING","BELDING","48809-9424","48809-9424","Belding","Mrs.","Tricia McGovern","Tricia","McGovern","trish@fccsnet.org","6167943451","6167942469","KG-Part, 1-6, GenEd"
"Faith Lutheran School","3033 WILDER RD","3033 WILDER RD","BAY CITY","BAY CITY","48706-2360","48706-2360","Bangor Twp (Bay)","Mr.","Andrew Tomaskewsky","Andrew","Tomaskewsky","office@faithbaycity.org","9896843448","9896843545","KG-Part, 1-8, GenEd, PK"
"Faithway Christian School","1225 SOUTH CENTER RD","1225 SOUTH CENTER RD","BURTON","BURTON","48509-1723","48509-1723","Atherton","Mr.","Domenic Centofanti","Domenic","Centofanti","dcentofanti@faithwired.net","8107430055","8107430033","KG-Part, 1-12, GenEd, PK"
"Fellowship Baptist Academy","8070 SOUTH BLOOMER ST","8070 SOUTH BLOOMER ST","CARSON CITY","CARSON CITY","48811-8506","48811-8506","Carson City-Crystal","Mr.","Kevin McAlvey","Kevin","McAlvey","fbafalcons@cmsinter.net","9895846430","9895843700","KG-Part, 1-12, GenEd, PK"
"First Flint SDA School","G4285 BEECHER RD","G4285 BEECHER RD","FLINT","FLINT","48532-2711","48532-2711","Carman-Ainsworth","Mrs.","Gayle Stevens","Gayle","Stevens","bdavis@misda.org","8107320230","5173161559","1-8, GenEd"
"Fish Creek School","7217 SOUTH GARLOCK RD","7217 SOUTH GARLOCK RD","CARSON CITY","CARSON CITY","48811-8528","48811-8528","Carson City-Crystal","Mr.","Raymond Kuipers","Raymond","Kuipers","rkuipers@fishcreekschool.org","9895846006",,"KG-Part, 1-12, GenEd, PK"
"Fr. Gabriel Richard High School","4333 WHITEHALL DR","4333 WHITEHALL DR","ANN ARBOR","ANN ARBOR","48105-9395","48105-9395","Ann Arbor","Mr.","Brian Wolcott","Brian","Wolcott","bwolcott@fgrhsaa.org","7346620496","7346624133","9-12, GenEd"
"Fr. Luke M. Powers High School","G2040 WEST CARPENTER RD","G2040 WEST CARPENTER RD","FLINT","FLINT","48505-1028","48505-1028","Flint","Mr.","Thomas Furnas","Thomas","Furnas","tfurnas@powerscatholic.org","8105914741","8105910383","9-12, GenEd"
"Fr. Marquette Catholic School","500 SOUTH 4TH ST","500 SOUTH 4TH ST","MARQUETTE","MARQUETTE","49855-4706","49855-4706","Marquette","Ms.","Jackie Wright","Jackie","Wright","jwright@fathermarquette.org","9062251129","9062251987","KG-Part, 1-4, GenEd, PK, SpecEd"
"Fr. Marquette Middle School","414 WEST COLLEGE AVE","414 WEST COLLEGE AVE","MARQUETTE","MARQUETTE","49855-2704","49855-2704","Marquette","Ms.","Maryann Ferns","Maryann","Ferns","mferns@fathermarquette.org","9062267912","9062259962","5-8, GenEd, SpecEd"
"Frankel Jewish Academy","6600 WEST MAPLE RD","6600 WEST MAPLE RD","WEST BLOOMFIELD","WEST BLOOMFIELD","48322-3003","48322-3003","Walled Lake","Dr.","Renee Wohl","Renee","Wohl","rwohl@frankelja.org","2485925263","2485920022","9-12, GenEd"
"Franklin Road Christian School","40800 WEST 13 MILE RD","40800 WEST 13 MILE RD","NOVI","NOVI","48377-2327","48377-2327","Walled Lake","Rev.","Timothy Gambino","Timothy","Gambino","tgambino@brightmoorcc.org","2486687100","2486687100","KG-Part, 1-12, GenEd"
"Freedom Christian Schools","6340 AUTUMN DR","6340 AUTUMN DR","HUDSONVILLE","HUDSONVILLE","49426-9309","49426-9309","Hudsonville","Mr.","Greg Scheck","Greg","Scheck","gscheck@freedomchristianschools.net","6166692270","6166692410","KG-Part, 1-12, GenEd"
"Fremont Christian School","208 HILLCREST AVE","208 HILLCREST AVE","FREMONT","FREMONT","49412-1350","49412-1350","Fremont","Mr.","Joseph Fox","Joseph","Fox","fcs@ncats.net","2319242740","2319241240","KG-Part, 1-8, GenEd, PK"
"Friends School in Detroit","1100 SAINT AUBIN ST","1100 ST AUBIN BLVD","DETROIT","DETROIT","48207-2824","48207","Detroit","Mr.","Ed Harris","Ed","Harris","eharris@friendsschool.org","3132596722","3132598066","KG-Part, 1-8, Alt, GenEd, PK"
"Gabriel Richard Catholic High School","15325 PENNSYLVANIA RD","15325 PENNSYLVANIA RD","RIVERVIEW","RIVERVIEW","48193-8001","48193-8001","Riverview","Mr.","Joseph Whalen","Joseph","Whalen","whalenj@grriverview.org","7342841875",,"9-12, GenEd"
"Gagie School","615 FAIRVIEW AVE","615 FAIRVIEW AVE","KALAMAZOO","KALAMAZOO","49008-2420","49008-2420","Kalamazoo","Dr.","Sandra Gagie","Sandra","Gagie","gagieschool@sbcglobal.net","2693428008",,"KG-Part, 1-8, GenEd"
"Genesee Academy","9447 CORUNNA RD","9447 CORUNNA RD","SWARTZ CREEK","SWARTZ CREEK","48473-9714","48473-9714","Swartz Creek","Mr.","Imad Tibi","Imad","Tibi","principal@gaflint.org","8102507557","8106353687","KG-Part,1-10, GenEd, PK"
"Genesee Christian School","1223 SOUTH BELSAY RD","1223 SOUTH BELSAY RD","BURTON","BURTON","48509-1917","48509-1917","Bentley","Mr.","Robert Buchalski","Robert","Buchalski","mail@geneseechristianschool.com","8107433108","8107433109","KG-Part, 1-12, GenEd, PK"
"Gesu Elementary School","17139 OAK DR","17139 OAK DR","DETROIT","DETROIT","48221-3023","48221-3023","Detroit","Mr.","John Champion","John","Champion","champ565@gmail.com","3138634677","3138624395","KG-Part, 1-8, GenEd, PK"
"Gethsemane Lutheran School","3412 CRESTMONT DR","3412 CRESTMONT DR","SAGINAW","SAGINAW","48603-3204","48603-3204","Saginaw Township",,"Daniel Barthels","Daniel","Barthels","barthelsdaniel@sbcglobal.net","9897923607",,"KG-Part, 1-8, GenEd, PK"
"Giving Tree Montessori School","4351 MARSEILLES ST","4351 MARSEILLES ST","DETROIT","DETROIT","48224-1481","48224-1481","Detroit","Ms.","Carol Miller","Carol","Miller","cr4miller@yahoo.com","3138812255","3138812316","KG-Part,1-5, GenEd, PK, SpecEd"
"Go Like The Wind Montessori School","3540 DIXBORO LN","3540 DIXBORO LN","ANN ARBOR","ANN ARBOR","48105-9715","48105-9715","Ann Arbor",,"Doug Collier","Doug","Collier","doug@golikethewind.com","7347474722",,"KG-Part,1-9, GenEd, PK"
"Gobles Junior Academy","32110 6TH AVE","32110 6TH AVE","GOBLES","GOBLES","49055-9078","49055-9078","Gobles","Mr.","Thomas Coffee","Thomas","Coffee","bdavis@misda.org","2696282704","5173161559","KG, KG-Part, 1-10, GenEd"
"Good Shepherd Early Childhood Center","7400 Begole Road","7400 Begole Road","Alma","Alma","48801","48801","Alma","Pastor","John Eich","John","Eich","pastorjeich@gmail.com","9894633056","9894638513","KG,1-3, GenEd, PK"
"Good Shepherd Ev. Lutheran School","907 MATTES DR","907 MATTES DR","MIDLAND","MIDLAND","48642-3708","48642-3708","Midland","Pastor","Jonathan Quinn","Jonathan","Quinn","midpsecs@aol.com","9898354181","9898354181","KG-Part, 1-8, GenEd, PK"
"Good Shepherd Lutheran School","5496 LIPPINCOTT BLVD","5496 LIPPINCOTT BLVD","BURTON","BURTON","48519-1250","48519-1250","Bentley","Mr.","David Backus","David","Backus","good_shepherd5@yahoo.com","8107421131","8107429907","KG-Part, 1-8, GenEd, PK"
"Grace Baptist Christian School","P.O. Box 177","232 SOUTH TOWNLINE RD","Gaylord","GAYLORD","49735-0177","49735-8928","Gaylord","Mr.","Patrick Childers","Patrick","Childers","gracebaptistcrusaders@yahoo.com","9897325676","9897311122","KG-Part, 1-12, GenEd"
"Grace Christian School","325 NORTH M 140","325 NORTH M 140","WATERVLIET","WATERVLIET","49098-8545","49098-8545","Watervliet","Mr.","John Davis","John","Davis","jkohns@gcspatriots.com","2694635545",,"KG-Part, 1-12, GenEd, PK"
"Grace Christian School","4619 MACKINAW RD","4619 MACKINAW RD","SAGINAW","SAGINAW","48603-2103","48603-2103","Saginaw Township","Mrs.","Sharon Gamber","Sharon","Gamber","sdgforschool@yahoo.com","9897932129","9897932125","KG-Part, 1-12, GenEd, PK"
"Grace Lutheran School","303 RUTH ST","303 RUTH ST","AUBURN","AUBURN","48611-9463","48611-9463","Bay City","Ms.","Annette Rudick","Annette","Rudick","miss_rudick@graceauburn.org","9896624791","9896624791","KG-Part, 1-8, GenEd"
"Grand Haven Christian School","1102 GRANT AVE","1102 GRANT AVE","GRAND HAVEN","GRAND HAVEN","49417-1920","49417-1920","Grand Haven",,"Rick Geertsma","Rick","Geertsma","lbareham@grandhavenchristian.org","6168425420","6164029791","KG-Part, 1-8, GenEd, PK"
"Grand Rapids Adventist Academy","1151 OAKLEIGH RD NW","1151 OAKLEIGH RD NW","GRAND RAPIDS","GRAND RAPIDS","49504-3716","49504-3716","Grand Rapids","Ms.","Debra Barr","Debra","Barr","bdavis@misda.org","6167919797","5173161559","KG-Part, 1-12, GenEd"
"Grand Rapids Christian Elementary School","1050 Iroquois, SE","1050 Iroquois, SE","Grand Rapids","Grand Rapids","49506","49506","Grand Rapids","Mr.","Mark Krommendyk","Mark","Krommendyk","mkrommendyk@grcs.org","6165746500","6165746510","KG,KG-Part,1-5, GenEd, PK"
"Grand Rapids Christian High School","2300 PLYMOUTH AVE SE","2300 PLYMOUTH AVE SE","GRAND RAPIDS","GRAND RAPIDS","49506-5225","49506-5225","Grand Rapids","Mr.","Jim Primus","Jim","Primus","jprimus@grcs.org","6165745523","6165745518","9-12, GenEd"
"Grand Rapids Christian Middle School","1875 ROSEWOOD AVE SE","1875 ROSEWOOD AVE SE","GRAND RAPIDS","GRAND RAPIDS","49506-4463","49506-4463","Grand Rapids","Mr.","Ashanti Bryant","Ashanti","Bryant","abryant@grcs.org","6165746350","6165746316","5-8, Alt, GenEd"
"Grandville Christian School","3934 WILSON AVE SW","3934 WILSON AVE SW","GRANDVILLE","GRANDVILLE","49418-2345","49418-2345","Grandville","Mr.","Timothy Steenstra","Timothy","Steenstra","tsteenstra@grandvillechristian.org","6165389710",,"RetK,RetK-Part,KG,KG-Part,1-6, GenEd, PK"
"Grant Christian School","12931 POPLAR AVE G","12931 POPLAR AVE # G","GRANT","GRANT","49327-9323","49327-9323","Grant","Mr.","Ivan Kraker","Ivan","Kraker","ikraker@grantchristianschool.org","2318348445","2318348445","KG-Part, 1-8, GenEd, PK"
"Grayling SDA School","2468 CAMP AUSABLE RD","2468 CAMP AUSABLE RD","GRAYLING","GRAYLING","49738-6785","49738-6785","Crawford AuSable","Mr.","Ben Zork","Ben","Zork","bdavis@misda.org","9893482501","5173161559","1-8, GenEd"
"Great Lakes Adventist Academy","PO Box 68","7477 ACADEMY RD","Cedar Lake","CEDAR LAKE","48812-0068","48812","Montabella","Mr.","Raymond Davis","Raymond","Davis","bdavis@misda.org","9894275181","5173161559","9-12, Boarding, GenEd"
"Greater Lansing Adventist School","5330 WEST ST JOE HWY","5330 WEST ST JOE HWY","LANSING","LANSING","48917-4060","48917-4060","Waverly","Ms.","Judy Shull","Judy","Shull","bdavis@misda.org","5173215565","5173161559","KG-Part, 1-10, GenEd, PK"
"Greenhills School","850 GREENHILLS DR","850 GREENHILLS DR","ANN ARBOR","ANN ARBOR","48105-2720","48105-2720","Ann Arbor","Mr.","Peter Fayroian","Peter","Fayroian","pfayroian@greenhillsschool.org","7347694010","7342054089","6-12, GenEd"
"Grosse Pointe Academy","171 LAKE SHORE RD","171 LAKE SHORE RD","GROSSE POINTE FARMS","GROSSE POINTE FARMS","48236-3760","48236-3760","Grosse Pointe","Mr.","James Murdock","James","Murdock","jmurdock@gpacademy.org","3138861221","3138868050","KG-Part, 1-8, GenEd, PK"
"GSLS Academy of Fine Arts & Science","1950 SOUTH BALDWIN RD","1950 SOUTH BALDWIN RD","LAKE ORION","LAKE ORION","48360-1016","48360-1016","Lake Orion","Ms.","Marilyn Campbell","Marilyn","Campbell","mcampbell@gsls.org","2483917244","2483910558","KG,KG-Part,1-8, GenEd, PK"
"GTB Life Long Learning Center","845 BUSINESS PARK DR","845 BUSINESS PARK DR","TRAVERSE CITY","TRAVERSE CITY","49686-8683","49686-8683","Traverse City","Mr.","William Martell","William","Martell","william.martell@gtbindians.com","2319353602","2315347773","9-12, GenEd"
"Guardian Angels School","521 EAST 14 MILE RD","521 EAST 14 MILE RD","CLAWSON","CLAWSON","48017-2175","48017-2175","Clawson","Ms.","Sharon Hammerschmidt","Sharon","Hammerschmidt","sharonh@guardiana.com","2485885545","2485897356","KG-Part, 1-8, GenEd, PK"
"Guardian Lutheran School","24544 CHERRY HILL ST","24544 CHERRY HILL ST","DEARBORN","DEARBORN","48124-1369","48124-1369","Dearborn","Mr.","Walter Krone","Walter","Krone","lckronew@cuaa.edu","3132743665","3132741414","KG-Part, 1-8, GenEd, PK"
"Hackett Catholic Central High School","1000 WEST KILGORE RD","1000 WEST KILGORE RD","KALAMAZOO","KALAMAZOO","49008-3616","49008-3616","Kalamazoo","Mr.","Timothy Eastman","Timothy","Eastman","teastman@hackettcc.org","2693812646","2693813919","9-12, GenEd"
"Harbor Light Christian School","8333 CLAYTON RD","8333 CLAYTON RD","HARBOR SPRINGS","HARBOR SPRINGS","49740-9571","49740-9571","Harbor Springs","Mr.","Gary Urman","Gary","Urman","gurman@harborlight.org","2313477859","2313477703","KG-Part, 1-12, GenEd, PK"
"Hastings SDA School","888 TERRY LN","888 TERRY LN","HASTINGS","HASTINGS","49058-9350","49058-9350","Hastings","Ms.","Ann Barrett","Ann","Barrett","bdavis@misda.org","2699453896","5173161559","1-8, GenEd"
"Havenwyck School","1525 UNIVERSITY DR","1525 UNIVERSITY DR","AUBURN HILLS","AUBURN HILLS","48326-2673","48326-2673","Pontiac","Mr.","Joe Rheault","Joe","Rheault","jrheault@psysolutions.com","2483738626","2483776776","3-12, GenEd"
"Hebrew Day School of Ann Arbor","2937 BIRCH HOLLOW DR","2937 BIRCH HOLLOW DR","ANN ARBOR","ANN ARBOR","48108-2301","48108-2301","Ann Arbor","Ms.","Dina Shtull-Leber","Dina","Shtull-Leber","office@hdsaa.org","7349714633","7349716204","KG-Part, 1-5, GenEd"
"Heritage Christian Academy","6312 QUAIL RUN DR","6312 QUAIL RUN DR","KALAMAZOO","KALAMAZOO","49009-2811","49009-2811","Kalamazoo","Mr.","Robert Barnes","Robert","Barnes","bbarnes@hcaeagles.org","2693721400","2693726018","KG-Part, 1-12, GenEd, PK"
"Heritage Christian School","4900 40TH AVE","4900 40TH AVE","HUDSONVILLE","HUDSONVILLE","49426-9480","49426-9480","Hudsonville","Mr.","Brian Kuiper","Brian","Kuiper","bkuiper@hchr.org","6166691773",,"KG-Part, 1-9, GenEd"
"Heritage Christian School","2024 PONTIAC RD","2024 PONTIAC RD","AUBURN HILLS","AUBURN HILLS","48326-2453","48326-2453","Pontiac","Pastor","John Fields","John","Fields","office@theheritagebaptistchurch.com","2483731450",,"KG-Part, 1-12, GenEd, PK"
"Holland Christian High School","950 OTTAWA AVE","950 OTTAWA AVE","HOLLAND","HOLLAND","49423-4628","49423-4628","Holland","Mr.","Troy Stahl","Troy","Stahl","tstahl@hollandchristian.org","6168202901",,"9-12, GenEd"
"Holland SDA School","11385 OTTOGAN ST","11385 OTTOGAN ST","HOLLAND","HOLLAND","49423-9043","49423-9043","Holland","Ms.","Gabriel Mendez","Gabriel","Mendez","bdavis@misda.org","6163965941","5173161559","KG,1-8, GenEd, PK"
"Holt Lutheran Schools","2418 AURELIUS RD","2418 AURELIUS RD","HOLT","HOLT","48842-2118","48842-2118","Holt","Mr.","Daniel Burk","Daniel","Burk","Principal@HoltLutheran.org","5176943182","5176946371","KG, 1-12, GenEd, PK"
