"DISTRICT","NON-PUBLIC SCHOOLS","RELIGIOUS_AFFILIATION","PRINCIPAL","Address","State and zip","Phone","EMAIL"
"72600","IMMACULATE CONCEPTION SCHOOL ","Catholic ","Shy,  Mary ","560 Powell Ave.  New Madrid","MO  63869 ","(573) 748-5150 ","icsoffice@yahoo.com "
"74403","ST GREGORYS SCHOOL ","CATHOLIC ","Martin,  Susan ","315 S DAVIS ST  MARYVILLE  MO","644680000","(660) 582-2496 ","martinsusg@gmail.com "
"76400","ST GEORGE SCHOOL ","CATHOLIC ","AMPARANO,  SR. CELLY ANN ","PO BOX 19  LINN","MO  65051 ","(573) 897-2148 ","SVEHIGE@SAINT-GEORGE-SCHOOL.ORG "
"76401","HOLY FAMILY SCHOOL ","CATHOLIC ","REINKEMEYER,  DEBBIE ","110 W . OLIVER  FREEBURG  MO","650350000","(573) 744-9201 ","DJCCS05@EARTHLINK.NET "
"76402","IMMACULATE CONCEPTION SCH ","CATHOLIC ","Stiefermann,  Rita  ","P O Box 68  Loose Creek","MO  65054 ","(573) 897-4271 ","stiefermann@radiowire.net "
"76406","SAINT MARY'S SCHOOL ","Catholic ","Taylor,  Tatia ","1641 HIGHWAY C  BONNOTS MILL  MO","650160000","(573) 897-4143 ","stmarymo@gmail.com "
"76407","ST.JOSEPH SCHOOL ","Catholic ","Skahan,  James ","P O BOX 205  WESTPHALIA  MO","650850000","(573) 455-2287 ","schooloffice@stjo1835.org "
"76408","SACRED HEART SCHOOL ","CATHOLIC ","Neuner,  Linda ","4309 HIGHWAY U  FREEBURG","MO  65035 ","(573) 744-5761 ","shsrf@sacredheartrf.com "
"79401","IMMANUEL LUTHERAN SCHOOL ","LUTHERAN ","Unzicker,  William ","225 W SOUTH STREET  PERRYVILLE  MO","637750000","(573) 547-8205 ","schooloffice@ils-perryville.com "
"79406","ST VINCENT SCHOOLS ","CATHOLIC ","BLAIR,  ELAINE ","1907 W. St. Joseph Street  PERRYVILLE","MO  63775 ","(573) 547-4145 ","EBLAIR@SVDEPAUL.ORG "
"79407","UNITED IN CHRIST LUTHERAN SCHL ","LUTHERAN ","HONOREE,  CHERYL ","10158 HIGHWAY C  FROHNA  MO","637480000","(573) 824-5250 ","CHERYL.HONOREE@ATT.NET "
"80402","ST PAULS LUTHERAN SCHOOL ","LUTHERAN ","NAIL,  JOHN ","701 S. Massachusetts  Sedalia","MO  65301 ","(660) 826-1925 ","STPAUL001@CHARTER.NET "
"80407","APPLEWOOD CHRISTIAN SCHOOL ","CHRISTIAN-NONDENOMINATIONAL ","CHURCH,  DEBBIE ","25396 HIGHWAY O  SEDALIA","MO  65301 "," ","ACSMUSTANGS@CHARTER.NET "
"81402","IMMANUEL LUTHERAN SCHOOL ","LUTHERAN ","ELLIOTT,  SAMMYE ","807 W 11TH STREET  ROLLA","MO  65401 ","(573) 364-3945 ","ILSROLLA@FIDMAIL.COM "
"82400","ST CLEMENT SCHOOL ","CATHOLIC ","Twellman,  Larry ","21493 HWY 161  BOWLING GREEN  MO","633344914","(573) 324-6159 ","stclement@socket.net "
"83601","OUR SAVIOR CHRISTIAN ACADEMY ","Lutheran ","Pappert,  Lavonne ","14155 N HWY, 4TH ST  PLATTE CITY","MO  64079 ","(816) 858-5241 ","school@oursavioracademy.org "
"84600","POLK COUNTY CHRISTIAN SCHOOL ","CHRISTIAN-NONDENOMINATIONAL ","CAUSEY,  CHRIS ","2490 Tower Drive  Bolivar","MO  65613 ","(417) 777-5723 ","CHRIS.PCCS@GMAIL.COM "
"88400","ST PIUS X SCHOOL ","CATHOLIC ","JASPER,  JULIE ","210 S WILLIAMS ST  MOBERLY  MO","652700000","(660) 263-5744 ","JJASPER@SPXMOBERLY.EDUK12.NET "
"88600","MARANATHA ADVENTIST SCHOOL ","OTHER PRIVATE SCHOOL ","Principal,  School ","1400 E. MCKINSEY  MOBERLY","MO  65270 ","(660) 456-7069 ","maranathadventist@att.net "
"91600","WEST POINT CHRISTIAN ACADEMY ","OTHER PRIVATE SCHOOL ","MCGONIGAL,  ETHEN ","RR 1 BOX 1105  DONIPHAN","MO  63935 ","(573) 996-2317 ","ETHEN@WESTPOINTUPC.COM "
"92400","IMMANUEL LUTHERAN SCHOOL ","LUTHERAN ","SCHMIDT,  REBECCA ","115 South Sixth Street  St. Charles  MO","63301-2712 ","(636) 946-166 ","LBORCHERS@IMMANUELSTCHARLES.ORG "
"92401","ASSUMPTION CATHOLIC SCH ","CATHOLIC ","CALLIER,  GENNY ","203 W 3RD ST  OFALLON  MO","633660000","(636) 240-5795 ","PRINCIPAL.ASSUMPTION@YAHOO.COM "
"92404","ST THEODORE SCHOOL ","CATHOLIC ","ORTMEIER,  CLARE ","5059 HWY P  WENTZVILLE  MO","633852118","(636) 639-1385 ","STTHEODORE.SCHOOL@CENTURYTEL.NET "
"92406","ST JOSEPHS SCHOOL ","Catholic ","Elmore,  Dwight ","1410 JOSEPHVILLE RD  WENTZVILLE  MO","633850000","(636) 332-5693 ","dwight.elmore@stjojo.net "
"92407","ALL SAINTS SCHOOL ","Catholic ","Keilty,  Rae Ann  ","5 MCMENAMY RD  ST PETERS  MO","633760000","(636) 970-3735 ","keiltyr@allsaints-stpeters.org "
"92408","ST PATRICK SCHOOL ","CATHOLIC ","Kelly,  Dee ","701 S CHURCH  WENTZVILLE  MO","633850000","(636) 332-4877 ","principal@stpatsch.org "
"92409","IMMANUEL LUTHERAN SCHOOL ","Lutheran ","Dolak,  Allison ","632 E Hwy N  WENTZVILLE  MO","633850000","(636) 327-5054 ","adolak@ilcsw.net "
"92410","ST CHARLES BORROMEO SCH ","CATHOLIC ","Hoffman,  Ann ","431 Decatur  St Charles  MO","63301-2074 ","(636) 946-3096 ","annhoffman@borromeoschool.com "
"92415","IMMACULATE CONCEPTION SCH ","CATHOLIC ","BATCHELOR,  JONATHAN ","2089 HANLEY RD  Dardenne, Prairie","MO  63368 ","(636) 625-9020 ","JONATHAN.BATCHELOR@ICDSCHOOL.ORG "
"92418","ZION LUTHERAN SCHOOL ","LUTHERAN ","Debrick,  Marc ","3866 HARVESTER RD  ST CHARLES","MO  63304 ","(636) 441-7424 ","mdebrick@zionharvester.org "
"92421","ST DOMINIC HIGH SCHOOL ","CATHOLIC ","Naumann,  Bernard ","31 ST DOMINIC DRIVE  OFALLON  MO","633660000","(636) 240-9884 ","bnaumann@stdominichs.org "
"92424","ST ELIZ ST ROBERT CATH SC ","CATHOLIC ","BRAUN, JR,  BILL ","1 SETON COURT  ST CHARLES  MO","633030000","(636) 946-2670 ","BBRAUN@MYSESR.ORG "
"92427","ST CLETUS SCHOOL ","CATHOLIC ","Doherty,  Rosann ","2721 ZUMBEHL RD  ST CHARLES","MO  63301 ","(636) 946-6526 ","rdoherty@saintcletus.org "
"92428","ST JOACHIM & ST ANN SCH ","CATHOLIC ","Pecher,  Deborah ","4110 McCLAY ROAD  ST CHARLES  MO","633047910","(636) 441-9534 ","pecherd@stsja.org "
"92440","CAMPBELL MONTESSORI SCHOOL ","OTHER PRIVATE SCHOOL ","Gutting,  Paul ","3880 SHADY SPRINGS LANE  ST. CHARLES","MO  63301 ","(636) 477-6075 ","info@campbellmontessori.org "
"92602","LUTHERAN HIGH SCHOOL ","LUTHERAN ","MARTY,  LARRY ","5100 Mexico Road  St. Peters","MO  63376 ","(636) 928-8451 ","DSCHLESSELMAN@LHSSC.ORG "
"92611","ACADEMY OF THE SACRED HEART SC ","CATHOLIC ","COLLINS,  JOANNA ","619 NORTH 2ND STREET  ST. CHARLES","MO  63301 ","(636) 949-6659 ","JCOLLINS@ASH1818.ORG "
"92612","DUCHESNE HIGH SCHOOL ","CATHOLIC ","LONG,  FRITZ ","2550 ELM STREET  ST. CHARLES","MO  63301 ","(636) 946-6267 ","FLONG@DUCHESNE-HS.ORG "
"92618","TRINITY LUTHERAN SCHOOL ","LUTHERAN ","Loeffler,  Esther ","4689 N Hwy 94  St. Charles","MO  63301 ","(636) 250-3354 ","eloeffler@trinityorchardfarm.org "
"92621","FIRST BAPTIST CHRISTIAN ","CHRISTIAN-NONDENOMINATIONAL ","Willis,  Shauna ","8750 VETERANS MEMORIAL PARKWAY  O'FALLON  MO","633660000","(636) 240-3067 ","swillis@firstofallon.com "
"92622","LIVING WORD SCHOOL ","CHRISTIAN-NONDENOMINATIONAL ","TURNER,  PATRICK ","1145 TOM GINNEVER  O'FALLON","MO  63366 ","(636) 978-5024 ","PTURNER@LWCS.US "
"92623","MESSIAH LUTHERAN SCHOOL ","Lutheran ","Guenzler,  Tom ","5911 HIGHWAY 94 SOUTH  ST CHARLES  MO","633040000","(636) 329-1098 ","tguenzler@messiahnetwork.org "
"92624","ELECTUS ACADEMY ","Other Private School ","Kaczmarski,  Shirley ","255 SPENCER RAOD  ST. PETERS  MO","633760000","(636) 441-402 ","staff@electusacademy.org "
"92625","WILLOTT ROAD CHRISTIAN ACADEMY ","Christian-Nondenominational ","Rankin,  Ken ","1610 WILLOTT ROAD  ST PETERS","MO  63376 ","(636) 447-8577 ","bsweeney@wrccca.org "
"94400","ST JOSEPH SCHOOL ","Catholic ","Rohrer,  Janice ","501 STE GENEVIEVE  FARMINGTON","MO  63640 ","(573) 756-738 ","principal@stjosephfarmington.com "
"94401","ST PAULS LUTHERAN SCHOOL ","LUTHERAN ","SHERRILL,  ANDREW ","608 E COLUMBIA  FARMINGTON","MO  63640 ","(573) 573-8669 ","ASHERRILL@STPAULGIANTS.COM "
"95403","SACRED HEART SCHOOL ","Catholic ","Keena, BVM,  Sister Agnes  ","17740 STATE RT N  ST MARY  MO","636730000","(573) 543-5576 ","akeenabvm@brick.net  "
"95405","ST JOSEPH SCHOOL ","CATHOLIC ","Filer,  Peggy ","11822 ZELL RD  STE GENEVIEVE  MO","636700000","(573) 883-5097 ","principal374@archstl.org "
"96403","SEVEN HOLY FOUNDERS SCH ","CATHOLIC ","LECHNER, O.S.M.,  BRO. JOEL A. ","6737 ROCK HILL RD  AFFTON  MO","631233199","(314) 633-129 ","PRINCIPAL@SHFSCHOOL.ORG "
"96404","ST ANNS SCHOOL ","CATHOLIC ","REICHENBACH,  MARY JO ","7532 NATURAL BRIDGE  NORMANDY  MO","631210000","(314) 381-1367 ","PRINCIPAL@SACS-STL.ORG "
"96406","OUR LADY OF THE PILLAR ","Catholic ","Talleur,  Judith ","403 S LINDBERGH BLVD.  ST LOUIS","MO  63131 ","(314) 993-2172 ","jtalleur@olpillar.com "
"96407","HOLY REDEEMER SCHOOL ","CATHOLIC ","Galluzzo,  Pamela ","341 E. LOCKWOOD AVE  WEBSTER GROVES  MO","631190000","(314) 962-3560 ","PRINCIPAL@HOLYR.ORG "
"96411","SACRED HEART SCHOOL ","CATHOLIC ","VOLLMER,  LOIS ","501ST.LOUIS STREET  FLORISSANT","MO  63031 ","(314) 831-2844 ","PRINCIPAL@SACREDHEART-FLORISSANT.ORG "
"96413","ST PETERS GRADE SCHOOL ","CATHOLIC ","FREITAG,  JOHN ","215 N CLAY  ST LOUIS  MO","631220000","(314) 821-833 ","jfreitag@stpteach.com "
"96415","HOLY INFANT SCHOOL ","CATHOLIC ","DELANEY,  SR. ROSARIO ","248 New Ballwin Rd.  BALLWIN","MO  63021 ","(636) 227-9184 ","SRD@HOLYINFANTSCHOOL.ORG "
"96416","CHRIST KING SCHOOL ","CATHOLIC ","HOOKER,  SUSAN ","7324 Balson Avenue  St. Louis","MO  63130 ","(314) 725-5981 ","HOOK85@SBCGLOBAL.NET "
"96422","ST FRANCIS OF ASSISI SCH ","CATHOLIC ","Sturgill,  Darrel ","4550 TELEGRAPH ROAD  ST LOUIS","MO  63129 ","(314) 416-7118 ","sfaprincipal@charter.net "
"96423","ST JOSEPH SCHOOL ","CATHOLIC ","DANDINO,  JEANETTE ","555 ST JOSEPH LANE  MANCHESTER  MO","63021-5316 ","(636) 391-1462 ","JDANDINO@STJOEMANCHESTER.ORG "
"96424","ASCENSION SC CHESTERFIELD ","Catholic ","Wayland,  Cathie ","238 SANTA MARIA DR  CHESTERFIELD  MO","630050000","(636) 532-6502 ","cwayland@ascensioncatholicschool.org "
"96430","MARY QUEEN OF PEACE SCH ","CATHOLIC ","Kettenbach,  Gerard ","680 W LOCKWOOD  WEBSTER GROVES  MO","631190000","(314) 961-7469 ","gkettenbach@mqpwg.org "
"96431","OUR LADY OF GUADALUPE SCH ","CATHOLIC ","O'BRIEN,  MARGARET ","1115 S. FLORISSANT  ST LOUIS  MO","631210000","(314) 522-8461 ","MARGARETOB@MSN.COM "
"96433","MOST SACRED HEART SCHOOL ","CATHOLIC ","WILSON,  MONICA ","350 E FOURTH ST  EUREKA  MO","630250000","(636) 938-5802 ","PRINCIPAL@SACREDHEARTEUREKA.ORG "
"96435","SACRED HEART SCHOOL ","Catholic ","Wojciechowski,  Joan ","12 ANN AVE  VALLEY PARK","MO  63088 ","(636) 225-8941 ","jw222@sbcglobal.net "
"96440","ST SIMON SCHOOL ","Catholic ","Lenger,  Sharon ","11019 MUELLER RD  ST LOUIS","MO  63123 ","(314) 849-6355 ","slenger@stsimonschool.org "
"96442","ST CATHERINE LABOURE SCH ","CATHOLIC ","VISCONTI,  MARGARET ","9750 Sappington Road  St. Louis","MO  63128 ","(314) 843-7687 ","PVISCONTI@SCLSCHOOL.ORG "
"96453","OUR LADY OF LOURDES SCH ","Catholic ","Watson,  Theresa ","7157 NORTHMOOR DR  UNIVERSITY CITY  MO","631050000","(314) 727-503 ","principalt@yahoo.com "
"96457","STE GENEVIEVE DU BOIS SCH ","CATHOLIC ","DOUGHERTY,  Claudia ","1575 N WOODLAWN AVE  ST LOUIS  MO","63122-1462 ","(314) 822-4881 ","cdougherty@stegenschool.org "
"96458","ST GERARD MAJELLA SCHOOL ","CATHOLIC ","Koberlein,  Jane ","2005 DOUGHERTY FERRY  KIRKWOOD  MO","631220000","(314) 822-8588 ","principal@sgmschool.org "
"96460","ST DOMINIC SAVIO SCHOOL ","CATHOLIC ","Wiseman,  Kathy ","7748 Mackenzie Rd.  St. Louis  MO","631232797","(314) 352-6331 ","kwiseman@stdominicsavio.org "
"96464","LITTLE FLOWER SCHOOL ","CATHOLIC ","Baird,  Robert ","1275 BOLAND PLACE  ST LOUIS","MO  63117 ","(314) 781-9177 ","rrblfs@yahoo.com "
"96473","ST MARY MAGDALEN SCHOOL ","CATHOLIC ","SAUER,  AMY ","8750 MAGDALEN  BRENTWOOD","MO  63144 ","(314) 961-7208 ","3SAUERBOYZ@GMAIL.COM "
"96478","ST PAUL SCHOOL ","CATHOLIC ","BROWN,  PAMELA ","465 New Smizer Mill Rd.  FENTON  MO","630260000","(636) 343-1769 ","ST-PAUL1@SWBELL.NET "
"96494","ST JOSEPH INST FOR DEAF ","CATHOLIC ","Gettemeier,  Dawn ","1809 CLARKSON RD  CHESTERFIELD  MO","630175065","(636) 530-4560 ","dgettemeier@sjid.org "
"96498","ST MARGARET MARY ALACOQUE ","Catholic ","Freiling,  Marianne ","4900 RINGER RD  ST LOUIS","MO  63129 ","(314) 487-4475 ","mfreiling@smmaschool.org "
"96499","NOTRE DAME HIGH SCHOOL ","CATHOLIC ","Emmerich, SSND,  Michelle ","320 EAST RIPA AVENUE  ST LOUIS  MO","631250000","(314) 544-8003 ","emmem@ndhs.net "
"96502","ST ANGELA MERICI SCHOOL ","CATHOLIC ","Kauffman,  Mary Ann ","3860 NORTH HWY 67  FLORISSANT  MO","630340000","(314) 839-5308 ","mak@stangelam.org "
"96503","ST JUSTIN THE MARTYR SCH ","CATHOLIC ","BARTOLOTTA,  ELIZABETH ","11914 EDDIE & PARK  ST LOUIS MO  MO","631260000","(314) 843-9257 ","BARTOLOTTA@STJUSTINMARTYR.ORG "
"96504","ST RICHARDS SCHOOL ","CATHOLIC ","SMITH,  JULIE ","11211 SCHUETZ RD  ST LOUIS  MO","631460000","(314) 872-931 ","STRICHARDSCHOOL@YAHOO.COM "
"96507","ST FERDINAND SCHOOL ","Catholic ","Gearon,  Jeanne ","1735 CHARBONIER  FLORISSANT  MO","630310000","(314) 921-2253 ","principal216@archstl.org "
"96510","ASSUMPTION SCHOOL ","CATHOLIC ","Hasten,  Cyndi ","4709 MATTIS  ST LOUIS  MO","631280000","(314) 487-3598 ","hastenc@assumptionstl.org "
"96524","J F KENNEDY MEMORIAL HI S ","CATHOLIC ","Hey,  Mary ","500 WOODS MILL RD  MANCHESTER  MO","630110000","(636) 227-298 ","mhey@kennedycatholic.net "
"96525","R. SPENCER SCHOOLS ","INDEPENDENT - NONSECTARIAN ","BOBO,  CONNIE ","2521 Hedgerow Drive  Florissant","MO  63031 ","(314) 839-1939 ","RSPENCERSCHOOLS@GMAIL.COM "
"96528","CHRIST PRINCE OF PEACE SC ","Catholic ","Albert,  Marlise ","417 WEIDMAN RD  MANCHESTER","MO  63011 ","(636) 594-82 ","malbert@cpopschool.com "
"96529","ST CLARE OF ASSISI ","CATHOLIC ","SINNETT,  MARIE ","15668 CLAYTON RD  ELLISVILLE  MO","630112398","(636) 394-359 ","MSINNETT@SAINTCLAREOFASSISI.ORG "
"96534","LUTHERAN HIGH SCH NORTH ","LUTHERAN ","Brackman,  Timothy ","5401 LUCAS AND HUNT  ST LOUIS  MO","631210000","(314) 389-3103 ","tbrackman@lhsn.org "
"96535","LUTHERAN HIGH SCH SOUTH ","Lutheran ","Ryherd,  Brian ","9515 TESSON FERRY RD  ST LOUIS  MO","63123-4317 ","(314) 631-7762 ","bryherd@lhssonline.org "
"96538","QUEEN OF ALL SAINTS SCH ","CATHOLIC ","Johns,  Cathy ","6611 CHRISTOPHER DR  ST LOUIS","MO  63129 ","(314) 846-4939 ","johnsc@qasstl.org "
"96539","ATONEMENT LUTHERAN SCHOOL ","LUTHERAN ","BRIGGS,  MARK ","1285 NEW FLORISSANT RD. N.  FLORISSANT  MO","630310000","(314) 837-6754 ","MARBRIG@ALCS-WEB.COM "
"96541","CHRIST COMM LUTHERAN SCH ","LUTHERAN ","COOKSEY,  ROBERT ","8749 WATSON ROAD  WEBSTER GROVES","MO  63119 ","(314) 961-5166 ","jleet@ccls-stlouis.org "
"96543","GREEN PARK LUTHERAN SCH ","Lutheran ","Spieler,  Gary ","4248 GREEN PARK ROAD  ST LOUIS  MO","631250000","(314) 544-237 ","kelly.pfund@greenparklutheranschool.org "
"96544","HOPE LUTHERAN SCHOOL ","LUTHERAN ","LAVIGNE,  NINA ","10701 ST. COSMOS LANE  ST ANN  MO","630740000","(314) 429-3809 ","MOM62352@YAHOO.COM "
"96545","IMMANUEL LUTHERAN ","LUTHERAN ","DOMSCH,  NATHAN ","9733 OLIVE BOULEVARD  ST LOUIS  MO","631323003","(314) 993-311 ","NDOMSCH@IMMANUELOLIVETTE.ORG "
"96546","OUR REDEEMER LUTHERAN SCH ","LUTHERAN ","Reinitz,  Dan ","9153 E. MILTON  OVERLAND  MO","63114-4896 ","(314) 429-7081 ","principal@elcor-stl.org "
"96547","OUR SAVIOR LUTHERAN ","LUTHERAN ","BUECKMAN,  BLAIR ","1500 SAN SIMEON WAY  FENTON  MO","630260000","(636) 343-4921 ","bbueckman_osl@hotmail.com "
"96549","ST PAULS LUTHERAN SCHOOL ","LUTHERAN ","BORDEAUX,  JOSEPH ","1300 N BALLAS RD  ST LOUIS  MO","631313601","(314) 822-6574 ","jbordeaux@stpaulsdesperes.org "
"96551","SALEM LUTHERAN SCHOOL ","LUTHERAN ","SCHWERIN,  DANIEL ","5190 PARKER ROAD  FLORISSANT","MO  63033 ","(314) 741-7242 ","DSCHWERIN@SALEMBJMO.ORG "
"96552","ST ALBAN ROE SCHOOL ","CATHOLIC ","CHRAPEK,  MARY ","2005 SHEPARD  WILDWOOD","MO  63038 ","(636) 405-3026 ","MCHRAPEK@STALBANROE.ORG "
"96554","ABIDING SAVIOR LUTHERAN SCHOOL ","Lutheran ","Montgomery,  Laura ","4353 BUTLER HILL RD  ST LOUIS  MO","631280000","(314) 892-4469 ","lmontgomery@abidingsaviorlutheran.org "
"96555","TORAH PREP SCHOOL ","OTHER RELIGION ","Swidler,  Shira ","609 North and South Rd.  ST LOUIS","MO  63130 ","(314) 727-2258 ","boysoffice@torahprep.com "
"96561","EPSTEIN HEBREW ACADEMY ","OTHER RELIGION ","Greene,  Rabbi Avi ","1138 N. WARSON  ST. LOUIS","MO  63132 ","(314) 994-9437 ","rabbigreene@eha.org "
"96564","INCARNATE WORD ACADEMY ","CATHOLIC ","Maguire,  Mary ","2788 Normandy Drive  St. Louis","MO  63121 ","(314) 725-2308 ","mmaguire@iwacademy.org "
"96569","BAIS YAAKOV OF ST LOUIS ","OTHER RELIGION ","GREENBLATT,  TOVA ","700 NORTH & SOUTH ROAD  ST. LOUIS","MO  63130 ","(314) 863-3856 ","BYSL@SBCGLOBAL.NET "
"96570","BLOCK YESHIVA HIGH SCHOOL ","Other Religion ","munk,  gabriel ","1146 N WARSON ROAD  ST. LOUIS  MO","63132-1809 ","(314) 872-8703 ","byhs1@juno.com "
"96572","MIRIAM SCHOOL ","INDEPENDENT - NONSECTARIAN ","HOLLAND,  JOAN ","501 Bacon Avenue  St. Louis","MO  63130  ","(314) 968-7338 ","JHOLLAND@MIRIAMSCHOOL.ORG "
"96573","NERINX HALL HIGH SCHOOL ","Catholic ","Kosash,  Jane ","530 E. Lockwood  Webster Groves","MO  63119 ","(314) 968-604 ","jkosash@nerinxhs.org "
"96574","THOMAS JEFFERSON SCHOOL ","INDEPENDENT - NONSECTARIAN ","Holekamp,  Elizabeth ","4100 South Lindbergh Blvd.  St. Louis","MO  63127 ","(314) 843-3527 ","mdejesus@tjs.org "
"96575","URSULINE ACADEMY ","Catholic ","Michalski,  Mark  ","341 SOUTH SAPPINGTON RD  ST LOUIS","MO  63122 ","(314) 966-4662 ","mmichalski@ursulinestl.org "
"96576","CHESTERFIELD DAY SCHOOL ","INDEPENDENT - NONSECTARIAN ","NODDINGS,  ALICIA ","1100 White Road  Chesterfield","MO  63017 ","(314) 469-7889 ","ANODDINGS@CHESTERFIELDDAYSCHOOL.ORG "
"96578","COLLEGE SCHOOL ","OTHER PRIVATE SCHOOL ","Principal,  School ","7825 Big Bend Blvd.  WEBSTER GROVES","MO  63119 ","(314) 962-5078 ","sdooley@thecollegeschool.org "
"96608","PRINCIPIA SCHOOL ","OTHER RELIGION ","Wallace,  Marilyn ","13201 CLAYTON ROAD  ST. LOUIS","MO  63131 ","(314) 275-3583 ","evelyn.redington@principia.edu "
"96609","ST NORBERT SCHOOL ","CATHOLIC ","Gilbert,  Pamela ","16475 New Halls Ferry Rd.  Florissant","MO  63031 ","(314) 839-3053 ","p.gilbert@saintnorbert.com "
"96618","SACRED HEART KINDERGARTEN ","CATHOLIC ","GLADBACH,  MARY KAY ","751 N. JEFFERSON  FLORISSANT","MO  63031 ","(314) 837-6954 ","FREDMARY2@AOL.COM "
"96624","CHRIST ACAD GREATER ST. LOUIS ","CHRISTIAN-NONDENOMINATIONAL ","Payne,  Carla ","11050 NORTH WARSON ROAD  ST. LOUIS  MO","631141708","(314) 426-8601 ","carla.payne@cagsl.net "
"96640","ST MARK'S LUTHERAN SCHOOL ","LUTHERAN ","TEMPLETON,  SUE ","500 Meramec Blvd.  Eureka","MO  63025 ","(636) 938-6464 ","STEMPLETON@STMARKSEUREKA.ORG "
"96641","CHRIST COMMUNITY LUTHERAN SCHO ","LUTHERAN ","Cooksey,  Robert ","110 WEST WOODBINE  KIRKWOOD","MO  63122 ","(314) 842-5472 ","jleet@ccls-stlouis.org "
"96642","ROHAN WOODS SCHOOL ","INDEPENDENT - NONSECTARIAN ","Templin Page,  Sam ","1515 BENNETT AVENUE  ST LOUIS","MO  63122 ","(314) 821-6878 ","spage@rohanwoods.org "
"96643","ST CLEMENT OF ROME SCHOOL ","Catholic ","Cunningham,  Susan ","1508 Bopp Road  St. Louis","Mo  63131 ","(314) 822-8371 ","scunningham@stclementschool.com "
"96645","ST JOHN VIANNEY HIGH SCHOOL ","CATHOLIC ","DILG,  TIMOTHY ","1311 S. Kirkwood Rd.  St. Louis","MO  63122 ","(314) 965-1950 ","TDILG@VIANNEY.COM "
"96664","AL SALAM DAY SCHOOL ","OTHER RELIGION ","ABDUL-HAFIDH,  JAMAL ","519 Weidman Road  Ballwin","MO  63011 ","(636) 207-8549 ","ALSALAMDS@YAHOO.COM "
"96667","INCARNATE WORD ELEMENTARY SCHL ","CATHOLIC ","WELLING,  MIKE ","13416 Olive Blvd.  Chesterfield","MO  63017 ","(314) 576-2046 ","JTURNURE@INCARNATE-WORD.ORG "
"96669","ROSSMAN SCHOOL ","INDEPENDENT - NONSECTARIAN ","SHIPLEY,  PATRICIA ","12660 Conway Road  Saint Louis","MO  63141 ","(314) 434-1668 ","pshipley@rossmanschool.org "
"96682","ST MICHAEL SCHOOL ","OTHER RELIGION ","MOSHER,  ELIZABETH ","6345 WYDOWN BLVD.  CLAYTON","MO  63105 ","(314) 721-4448 ","BMOSHER@STMICHAELSCHOOL.ORG "
"96683","WILSON SCHOOL ","INDEPENDENT - NONSECTARIAN ","Flakner,  Thad ","400 DE MUN AVE  CLAYTON","MO  63105 ","(314) 725-5242 ","jshay@wilsonschool.com "
"96687","CHURCHILL SCHOOL ","INDEPENDENT - NONSECTARIAN ","Gilligan,  Sandra ","1021 Municipal Center Drive  Town and Country","MO  63131 ","(314) 997-2760 ","jgalluzzo@churchillstl.org "
"96692","MARY INSTITUTE/COUNTRY DAY SCH ","Independent - Nonsectarian ","Young,  Becky ","101 N Warson Rd.  St. Louis","MO  63124 ","(314) 991-8947 ","byoung@micds.org "
"96694","ST JOSEPH'S ACADEMY ","Catholic ","Dunphy,  Sister Pat ","2307 S. Lindbergh Blvd.  St. Louis","MO  63131 ","(314) 965-9114 ","pdunphy@stjosephacademy.org "
"96695","VILLA DUCHESNE SCHOOL ","CATHOLIC ","LOWNEY,  DOUGLAS ","801 SOUTH SPOEDE RD  ST LOUIS","MO  63131 ","(314) 432-7713 ","DLOWNEY@VDOH.ORG "
"96698","WHITFIELD SCHOOL ","INDEPENDENT - NONSECTARIAN ","GREATHOUSE,  RUTH ","175 S. Mason  St. Louis","MO  63141 ","(314) 434-6193 ","RUTH.GREATHOUSE@WHITFIELDSCHOOL.ORG "
"96700","LOGOS SCHOOL ","INDEPENDENT - NONSECTARIAN ","BOYD-FENGER,  KATHLEEN ","9137 Old Bonhomme  St. Louis","MO  63132 ","(314) 997-6848 ","KBOYDFENGER@LOGOSSCHOOL.ORG "
"96701","HOLY TRINITY SCHOOL ","CATHOLIC ","AHLE,  MARGARET ","10901 ST HENRY LANE  ST ANN  MO","630740000","(314) 428-7084 ","HOLYTRINITYSCHOOL@CHARTER.NET "
"96706","ST. MARK SCHOOL ","Catholic ","Burkett,  Jill ","4220 RIPA AVENUE  ST LOUIS  MO","631250000","(314) 743-8690 ","principal@stmarkstl.com "
"96708","BLOSSOM WOOD DAY SCHOOL ","INDEPENDENT - NONSECTARIAN ","Pollard,  Mikia ","7200 HOWDERSHELL ROAD  HAZELWOOD","MO  63042 ","(314) 831-7075 ","blossomwood98@sbcgloal.net "
"96710","HOLY SPIRIT SCHOOL ","Catholic ","Chik,  Mary Beth ","3120 PARKWOOD LANE  MARYLAND HEIGHTS","MO  63043 ","(314) 739-7703 ","mbchik@holyspiritstl.org "
"96713","ST ROSE PHILLIPINE DUCHESNE SC ","CATHOLIC ","Morr,  Kenneth ","3500 ST. CATHERINE ST  FLORISSANT  MO","630330000","(314) 921-6724 ","morrsrpd@yahoo.com "
"96714","BLESSED TERESA OF CALCUTTA SCH ","CATHOLIC ","STUTSMAN,  JENNIFER ","150 NORTH ELIZABETH AVE  FERGUSON  MO","6313500000","(314) 521-3173 ","JSTUTSMAN@BTC-SCHOOL.ORG "
