"County Name","School name","Street","City","State","Zip","Physical Street","Physical City","Physical State","Physical Zip","Administrator Name","Administrator Title","Grade Start","Grade End","Phone","Fax","Email"
"Chickasaw","St Joseph Community School","216 N Broadway Ave","New Hampton","Iowa","50659-1111","216 N Broadway Ave","New Hampton","Iowa","50659-1111","Beth Wright","Principal","PK","08","6413942865","6413945586","dbqe43@arch.pvt.k12.ia.us"
"Jasper","Newton Christian Day School","1710 N. 11th Ave. E.","Newton","Iowa","50208","1710 N. 11th Ave. E.","Newton","Iowa","50208","Virginia  Tull","Principal","K","08","6417921924","6417921924","ncs@iowatelecom.net"
"Kossuth","St John the Baptist","304 S Summit","Bancroft","Iowa","50517","304 S Summit","Bancroft","Iowa","50517","Jackie Rahe","Assistant Principal","K","06","5158852580","5158852402","sjohn@hickorytech.net"
"Fayette","Sacred Heart Elementary School","601 1st Ave SW","Oelwein","Iowa","50662","601 1st Ave SW","Oelwein","Iowa","50662","Nick Trenkamp","Principal","PK","06","3192831366","3192835279","DBQE44@arch.pvt.k12.ia.us"
"Mitchell","Sacred Heart School","218 S 12th St","Osage","Iowa","50461-1725","218 S 12th St","Osage","Iowa","50461-1725","Vacant","Other Administrator","K","06","6417325221","6417323428","DBQE45@arch.pvt.k12.ia.us"
"Mahaska","Oskaloosa Christian School","726 North E Street","Oskaloosa","Iowa","52577","726 North E Street","Oskaloosa","Iowa","52577","Jason Alons","Principal","K","08","6416722174","6416721451","principal@oskaloosachristian.net"
"Wapello","Seton Catholic School","117 E 4th St","Ottumwa","Iowa","52501","117 E 4th St","Ottumwa","Iowa","52501","Duane Siepker","Principal","PK","05","6416828826","6416826202","duane.siepker@gpaea.k12.ia.us"
"Marion","Pella Christian Grade School","216 Liberty St","Pella","Iowa","50219","216 Liberty St","Pella","Iowa","50219","David DeJong","Principal","PK","08","6416282414","6416289506","principal@pellachristian.net"
"Mahaska","Peoria Christian School","110 Peoria West St","Pella","Iowa","50219","110 Peoria West St","Pella","Iowa","50219","Elizabeth. Hoksbergen","Principal","K","08","6416254131","6416254131","edhoksbergen@gmail.com"
"Dallas","St Patrick School","1302 5th St","Perry","Iowa","50220","1302 5th St","Perry","Iowa","50220","Cory Wenthe","Principal","PK","08","5154654186","5154659808","cwenthe@dowling.pvt.k12.ia.us"
"Pocahontas","Pocahontas Catholic Grade School","305 SW 3rd","Pocahontas","Iowa","50574","305 SW 3rd","Pocahontas","Iowa","50574","Maureen Lenz","Principal","K","05","7123353603","7123353603","maureenlenz@hotmail.com"
"Plymouth","St Catherine-St Mary School System","523 Madison St","Remsen","Iowa","51050","523 Madison St","Remsen","Iowa","51050","John Hughes","Principal","PK","12","7127861433","7127862499","hughesj@remsenstmarys.org"
"Plymouth","St Catherine-St Mary Grade School","321 Fulton St","Remsen","Iowa","51050","321 Fulton St","Remsen","Iowa","51050","Elizabeth Gibney","Principal","PK","08","7127861160","7127861167","gibneye@remsenstmarys.org"
"Plymouth","St Marys High School","523 Madison St","Remsen","Iowa","51050","523 Madison St","Remsen","Iowa","51050","John Hughes","Principal","09","12","7127861433","7127862499","hughesj@remsenstmarys.org"
"Sioux","Rock Valley Christian School","1405 17th St","Rock Valley","Iowa","51247","1405 17th St","Rock Valley","Iowa","51247","Brad A Vis","Principal","PK","08","7124762615","7124762777","bvis@rvcs.pvt.k12.ia.us"
"Sioux","Netherlands Reformed Christian School","712 20th Ave","Rock Valley","Iowa","51247","712 20th Ave","Rock Valley","Iowa","51247","Harold Schelling","Principal","K","08","7124762821","7124765438","hschelling@nrcsia.org"
"O'Brien","St Patrick's School","1020 4th Ave","Sheldon","Iowa","51201","1020 4th Ave","Sheldon","Iowa","51201","Virginia Huss","Principal","PK","08","7123243181","7123243559","pschwebach@nethtc.net"
"O'Brien","Sheldon Christian School","1425 E 9th St","Sheldon","Iowa","51201","1425 E 9th St","Sheldon","Iowa","51201","Peter A. Van Velzen","Principal","PK","08","7123242429","7123248444","sheldprin@nethtc.net"
"Sioux","Sioux Center Christian School","630 First Ave SE","Sioux Center","Iowa","51250-0165","630 1st Ave SE","Sioux Center","Iowa","51250","Joe D. Dirksen","Principal","K","08","7127220777","7127220782","jdirksen@scchristian.pvt.k12.ia.us"
"Woodbury","Bishop Heelan Catholic Schools",,"Sioux City","Iowa","51102","1018 Grandview Blvd","Sioux City","Iowa","51102","Patrick Walsh","President","K","12","7122521350","7122529086","walshp@bishopheelan.org"
"Woodbury","Siouxland Community Christian School","6100 Morningside Avenue","Sioux City","Iowa","51106","6100 Morningside Avenue","Sioux City","Iowa","51106","Steve Clark","Superintendent","K","06","7122764732","7122764752","sccssuperintendent@cableone.net"
"Woodbury","Holy Cross Blessed Sacrament School","3030 Jackson St","Sioux City","Iowa","51104","3030 Jackson St","Sioux City","Iowa","51104","Michael Sweeney","Principal","03","08","7122774739","7122583698","sweeneym@bishopheelan.org"
"Woodbury","Bishop Heelan Catholic High School","1021 Douglas St","Sioux City","Iowa","51105","1021 Douglas St","Sioux City","Iowa","51105","Christian Bork","Principal","09","12","7122520573","7122524897","borkc@bishopheelan.org"
"Woodbury","Sacred Heart School","5010 Military Rd","Sioux City","Iowa","51103","5010 Military Rd","Sioux City","Iowa","51103","Brenda Ferrie","Principal","K","08","7122331624","7122331469","ferrieb@bishopheelan.org"
"Woodbury","Holy Cross St Michael School","4105 Harrison St","Sioux City","Iowa","51108","4105 Harrison St","Sioux City","Iowa","51108","Michael Sweeney","Principal","K","02","7122391090","7122398546","sweeneym@bishopheelan.org"
"Woodbury","Mater Dei Sch Immaculate Conception Center","3719 Ridge Ave","Sioux City","Iowa","51106","3719 Ridge Ave","Sioux City","Iowa","51106","Mary Fischer","Principal","PK","05","7122766216","7122741221","fischerm@bishopheelan.org"
"Woodbury","Mater Dei School Nativity Center","4243 Natalia Way","Sioux City","Iowa","51106","4243 Natalia Way","Sioux City","Iowa","51106","Mary Fischer","Principal","06","08","7122740268","7122740377","fischerm@bishopheelan.org"
"Woodbury","St Pauls Lutheran School","614 Jennings St","Sioux City","Iowa","51101","614 Jennings St","Sioux City","Iowa","51101","Alyce L. Strong","Principal","K","07","7122586325","7122521141","splutheran@cableone.net"
"O'Brien","Zion-St. John Lutheran School","103 W Bertha St.","Paullina","Iowa","51046-0249","103 W Bertha St.","Paullina","Iowa","51046-0249","Vacant","Principal","K","08","7129493915","7129493657","zsj@tcaexpress.net"
"Winneshiek","Calmar Festina Spillville Catholic Sch","302 South Maryville St","Calmar","Iowa","52132","302 South Maryville St","Calmar","Iowa","52132","Kathryn M. Schmitt","Principal","K","08","5635623291","5635623292","DBQE05@arch.pvt.k12.ia.us"
"Winneshiek","De Sales Grade School","414 E Main St","Ossian","Iowa","52161","414 E Main St","Ossian","Iowa","52161","Mae J. Becker","Principal","K","08","5635329352","5635329353","dbqe46@arch.pvt.k12.ia.us"
"Clay","Sacred Heart School",,"Spencer","Iowa","51301-0817","1111 4th Ave W","Spencer","Iowa","51301-0817","Ronald V. Olberding","Principal","PK","06","7122626428","7122624067","rolberding@spencer.k12.ia.us"
"Clay","Iowa Great Lakes Lutheran School","500 4th Avenue SW","Spencer","Iowa","51301","500 4th Avenue SW","Spencer","Iowa","51301","Donald M. Pipho","Principal","K","06","7122628237","7122628237","iglls2@hotmail.com"
"Buena Vista","St Mary's Catholic Schools","312 Seneca St","Storm Lake","Iowa","50588","312 Seneca St","Storm Lake","Iowa","50588","Beverly Mach","Principal","PK","12","7127324166","7127324590","bmach@stormlakecatholic.com"
"Buena Vista","St Mary's High School","312 Seneca St","Storm Lake","Iowa","50588","312 Seneca St","Storm Lake","Iowa","50588","Ervin  Rowlands","Principal","07","12","7127324166","7127324590","Erowlands@stormlakecatholic.com"
"Buena Vista","St Mary Grade School","312 Seneca St","Storm Lake","Iowa","50588","312 Seneca St","Storm Lake","Iowa","50588","Beverly Mach","Principal","PK","06","7127321856","7127324590","bmach@stormlakecatholic.com"
"Howard","Trinity Catholic School","116 N. Main St","Protivin","Iowa","52163","116 N. Main St","Protivin","Iowa","52163","Dana Spry-Holkesvik","Principal","K","06","5635698556","5635698477","DBQE47@arch.pvt.k12.ia.us"
"Polk","St Pius X School","3601 66th St","Urbandale","Iowa","50322-3499","3601 66th St","Urbandale","Iowa","50322-3499","Larry Zahm","Principal","K","08","5152761061","5152760350","lzahm@dowlingcatholic.org"
"Polk","Des Moines Christian Elementary School","13007 Douglas Parkway","Urbandale","Iowa","50323","13007 Douglas Parkway","Urbandale","Iowa","50323","Cade Lambert","Principal","PK","06","5152522485","5152516911","clambert@dmcs.org"
"Bremer","Community Lutheran School","2681 Quail  Ave","Readlyn","Iowa","50668","2681 Quail  Ave","Readlyn","Iowa","50668","Chris Jesse","Principal","PK","08","3192793968","3192793168","cls@netins.net"
"Washington","St James Elem School","602 W 2nd","Washington","Iowa","52353","602 W 2nd","Washington","Iowa","52353","Brad Thiel","Principal","K","06","3196533631","3196534019","bthiel@stjameswashington.org"
"Black Hawk","Waterloo Christian Sch School System","1307 West Ridgeway","Waterloo","Iowa","50701","1307 West Ridgeway","Waterloo","Iowa","50701","Lisa Goedken","Principal","K","12","3192359309","3198334780","goedkenl@waterloochristianschool.net"
"Black Hawk","Cedar Valley Catholic School System","3231 West 9th Street","Waterloo","Iowa","50702","3231 West 9th Street","Waterloo","Iowa","50702","Cathy Walz","Administrator–Other","K","12","3192321422",,"dbqMW01@arch.pvt.k12.ia.us"
"Black Hawk","The Bosco System","405 16th Ave","Gilbertville","Iowa","50634","405 16th Ave","Gilbertville","Iowa","50634","Julie Niemeyer","Principal","K","12","3192961692","3192961693","dbqe31@arch.pvt.k12.ia.us"
"Black Hawk","Blessed Sacrament School","600 Stephan Ave","Waterloo","Iowa","50701","600 Stephan Ave","Waterloo","Iowa","50701","Nancy Stirm","Principal","PK","08","3192337863","3192338237","DBQE49@arch.pvt.k12.ia.us"
"Black Hawk","Sacred Heart School","620 W 5th St","Waterloo","Iowa","50702","620 W 5th St","Waterloo","Iowa","50702","Amy Sandvold","Principal","PK","08","3192346593","3192347987","dbqe50@arch.pvt.k12.ia.us"
"Black Hawk","St Edward School","139 E Mitchell","Waterloo","Iowa","50702","139 E Mitchell","Waterloo","Iowa","50702","Pam Schowalter","Principal","PK","08","3192336202","3192352898","dbqe51@arch.pvt.k12.ia.us"
"Black Hawk","Immaculate Conception- St Joseph","311 16th Ave","Gilbertville","Iowa","50634-0256","311 16th Ave","Gilbertville","Iowa","50634-0256","Julie Niemeyer","Principal","K","08","3192961089","3192963847","DBQE31@arch.pvt.k12.ia.us"
"Black Hawk","Columbus Catholic High School","3231 W 9th St","Waterloo","Iowa","50702","3231 W 9th St","Waterloo","Iowa","50702","Tom  Ulses","Principal","09","12","3192333358","3192350733","tulses@cvcatholic.org"
"Black Hawk","Don Bosco High School",,"Gilbertville","Iowa","50634","405 16th Ave","Gilbertville","Iowa","50634","Eric Eckerman","Principal","09","12","3192961692","3192961693","eeckerman@boscosystem.pvt.k12.ia.us"
"Black Hawk","Immanuel Lutheran School","207 Franklin St","Waterloo","Iowa","50703","207 Franklin St","Waterloo","Iowa","50703","Barbara Buescher","Principal","PK","08","3192333967","3192326184","ilscyclones@mchsi.com"
"Black Hawk","Waterloo Christian Elementary School","1307 W Ridgeway","Waterloo","Iowa","50701","1307 W Ridgeway","Waterloo","Iowa","50701","Lisa Goedken","Principal","K","05","3192359309","3198334780","goedkenl@waterloochristianschool.net"
"Black Hawk","Waterloo Christian Middle School","1307 W Ridgeway","Waterloo","Iowa","50701","1307 W Ridgeway","Waterloo","Iowa","50701","Lisa Goedken","Principal","06","08","3192359309","3198334780","goedkenl@waterloochristianschool.net"
"Dallas","St Francis of Assisi School","7075 Ashworth Road","West Des Moines","Iowa","50266","7075 Ashworth Road","West Des Moines","Iowa","50266","Misty Hade","Principal","K","08","5154577167","5154401042","mhade@dowling.pvt.k12.ia.us"
"Bremer","St Pauls Lutheran School","212 2nd St. NW","Waverly","Iowa","50677","212 2nd St. NW","Waverly","Iowa","50677","Christi A. Lines","Principal","PK","06","3193521484","3193523999","christi.lines@stpaulswaverly.org"
"Hamilton","St Thomas Aquinas School","624 Dubuque St","Webster City","Iowa","50595-2245","624 Dubuque St","Webster City","Iowa","50595-2245","Michael Pavik","Principal","K","06","5158321346","5158321212","mpavik@st-thomas.pvt.k12.ia.us"
"Delaware","St Marys School","132 W Butler St","Manchester","Iowa","52057-1502","132 W Butler St","Manchester","Iowa","52057","Justin Nosbisch","Principal","PK","06","5639273689","5639271437","dbqe37@arch.pvt.k12.ia.us"
"Polk","Dowling Catholic High School","1400 Buffalo Rd","West Des Moines","Iowa","50265","1400 Buffalo Rd","West Des Moines","Iowa","50265","James M. Dowdle","Principal","09","12","5152253000","5152221056","jdowdle@dowling.pvt.k12.ia.us"
"Polk","Sacred Heart School","1601 Grand Ave.","West Des Moines","Iowa","50265","1601 Grand Ave.","West Des Moines","Iowa","50265","Frank Vito","Principal","K","08","5152231284","5152239413","fvito@dowling.pvt.k12.ia.us"
"Polk","Iowa Christian Academy","2501 Vine Street","West Des Moines","Iowa","50265","2501 Vine Street","West Des Moines","Iowa","50265","Aaron Gonzalez","Administrator","K","06","5152213999","5152252387","agonzalez@icablazers.org"
"Polk","The Early Education Center","1721 25th St Suite 210","West Des Moines","Iowa","50266","1721 25th St Suite 210","West Des Moines","Iowa","50266","Ed  Garza","Principal","PK","K","5152258513","5152253831","eecwdm@yahoo.com"
"Dubuque","Seton Catholic School System","210 2nd Ave SE","Farley","Iowa","52046-0249","210 2nd Ave SE","Farley","Iowa","52046-0249","Mary Smock","Administrator","PK","08","5637443290","5637443450","DBQE28@arch.pvt.k12.ia.us"
"Dubuque","Archbishop Hennessy Catholic Elem Schools","7420 Columbus","New Vienna","Iowa","52065","7420 Columbus","New Vienna","Iowa","52065","Vicki Palmer","Principal","K","06","5639212635","5639213003","dbqe33@arch.pvt.k12.ia.us"
"Dubuque","LaSalle Catholic School System",,"Holy Cross","Iowa","52053","835 Church St","Holy Cross","Iowa","52053","John Pesetski","Principal","PK","08","5638702405","5638704101","DBQE34@arch.pvt.k12.ia.us"
"Dubuque","St Paul School","309 3rd Ave SW","Worthington","Iowa","52078","309 3rd Ave SW","Worthington","Iowa","52078","Jayne Intlekofer","Principal","PK","06","5638552125","5638552022","DBQE56@arch.pvt.k12.ia.us"
"Dubuque","Hennessy Catholic School St Boniface Center","7420 Columbus St","New Vienna","Iowa","52065","7420 Columbus St","New Vienna","Iowa","52065","Dianne Makovec","Principal","K","03","5639212635","5639213003","dbqe33@arch.pvt.k12.ia.us"
"Dubuque","St Francis Xavier School","203 2nd St SW","Dyersville","Iowa","52040-1626","203 2nd St SW","Dyersville","Iowa","52040-1626","Peter Smith","Principal","K","06","5638757376","5638757037","dbqe26@arch.pvt.k12.ia.us"
"Dubuque","Hennessy Catholic School Petersburg Center","1623 300th Ave","Dyersville","Iowa","52040","1623 300th Ave","Dyersville","Iowa","52040","Dianne Makovec","Principal","04","06","5638757572","5638756140","dmakovec@hennessy.pvt.k12.ia.us"
"Dubuque","Beckman High School","1325 9th St SE","Dyersville","Iowa","52040","1325 9th St SE","Dyersville","Iowa","52040","Pat Meade","Principal","07","12","5638757188","5638757242","pmeade@beckman.pvt.k12.ia.us"
"Dubuque","Aquin Elementary School","608 3rd Ave NW","Cascade","Iowa","52033","608 3rd Ave NW","Cascade","Iowa","52033","Mary Yamoah","Principal","K","08","5638523331","5638525269","DBQE06@arch.pvt.k12.ia.us"
"Dubuque","Seton Catholic Elem Sch Farley Center","210 2nd Ave SE","Farley","Iowa","52046-0249","210 2nd Ave SE","Farley","Iowa","52046-0249","Mary Smock","Principal","K","08","5637443290","5637443450","DBQE28@arch.pvt.k12.ia.us"
"Dubuque","Seton Catholic Elem Sch Epworth Center","106 1st St SE","Epworth","Iowa","52045-0246","106 1st St SE","Epworth","Iowa","52045-0246","Mary Smock","Principal","K","02","5638765586","5638763055","DBQE28@arch.pvt.k12.ia.us"
"Dubuque","Luxemburg Center",,"Luxemburg","Iowa","52056","100 W Main","Luxemburg","Iowa","52056","John Pesetski","Principal","PK","03","5638532325","5638532325","DBQE34@arch.pvt.k12.ia.us"
"Dubuque","Seton Catholic Elem Sch Peosta Center","10801 Sundown Rd","Peosta","Iowa","52068","10801 Sundown Rd","Peosta","Iowa","52068","Mary Smock","Principal","PK","05","5635565967","5635567579","DBQE28@arch.pvt.k12.ia.us"
"Dubuque","Holy Cross Center",,"Holy Cross","Iowa","52053","835 Church Street","Holy Cross","Iowa","52053","John Pesetski","Principal","04","08","5638702405","5638704101","DBQE34@arch.pvt.k12.ia.us"
"Lyon","Inwood Christian School","302 E. Madison","Inwood","Iowa","51240","302 E. Madison","Inwood","Iowa","51240","Arlyn Schaap","Principal","PK","08","7127534541","7127532434","inwoodchrofc@alliancecom.net"
"Marshall","Clemons Lutheran School","302 Bevin St","Clemons","Iowa","50051","302 Bevin St","Clemons","Iowa","50051","Jeff Fick","Principal","PK","08","6414778263","6414778262","clschool@netins.net"
"Sioux","Ireton Christian School","104 5th St","Ireton","Iowa","51027","104 5th St","Ireton","Iowa","51027","Marlin Schoonhoven","Principal","PK","08","7122782245","7122782245","ics@mtcnet.net"
"Iowa","Lutheran Interparish School","804 Court St","Williamsburg","Iowa","52361","804 Court St","Williamsburg","Iowa","52361","William Sitas","Principal","PK","08","3196681711","3196689054","wsitas@mchsi.com"
"Dallas","Assumption School","1904 Sycamore","Granger","Iowa","50109","1904 Sycamore","Granger","Iowa","50109","Herb Hartman","Principal","PK","08","5159992211","5159992208","hartmanh@mchsi.com"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,

