"School Name","School Code","Headmaster","Address","City","State","Zip Code","Zip Code + 4","Phone","Fax","Email"
"FLORENCE CHRISTIAN ACADEMY","0865","MR MICHAEL FULCHER","2701 FLORENCE BLVD","FLORENCE","AL","35630","1742","999-999-9999","999-999-9999","nonesupplied@noreply.com"
"FORESTDALE BAPTIST SCHOOL","0870","JANICE GIBBONS","1400 BRISBANE AVE","BIRMINGHAM","AL","35214","3799","205-798-1248","205-798-0413","forstdalebaptistchurch@charter.net"
"FORDS CHAPEL UNITED METHODIST CHURCH","0871","MRS CHRISTY S. CRENSHAW","280 FORD CHAPEL DR","HARVEST","AL","35749","8941","256-864-0888","999-999-9999","fordschapelmdo@bellsouth.net"
"FORT DALE ACADEMY","0880","MR DAVID BRANTLEY","1100 GAMBLE ST","GREENVILLE","AL","36037","1800","334-382-2606","334-382-0912","dbrantley@fortdale.com"
"FORT RUCKER ELEM SCHOOL","0910","MRS BARBARA DELL MCMULLEN","P O BOX 62079","FT RUCKER","AL","36362","0000","334-598-4408","334-598-8622","nonesupplied@noreply.com"
"FORT RUCKER PRIMARY","0920","MS DELL MCMULLEN","P O BOX 62079","FT RUCKER","AL","36362","0000","334-598-4474","334-598-8622","nonesupplied@noreply.com"
"FREEDOM LIFE CHRISTIAN ACADEMY-GIFTED","0941","MRS ANNETTA TATE","223 W FLEMING RD","MONTGOMERY","AL","36105","3120","334-284-1461","334-281-1912","freedomlife1@bellsouth.net"
"FUNSHINE PLAYSCHOOL","0946","MS CALLIE EVERETT","120 N COUNTY 33 RD","ASHFORD","AL","36312","3527","334-899-3987",,"nonesupplied@noreply.com"
"GAN GAN & PA PA LEARNING RESOURCE CENTER","0955","MRS GEORGIA C FRAZIER","9029 AIRPORT RD","BIRMINGHAM","AL","35217","2832","205-841-3045","999-999-9999","nonesupplied@noreply.com"
"GARDENDALE CHRISTIAN ACADEMY","0961","JOHN PARRISH","1800 DECATUR HWY","GARDENDALE","AL","35071","2350","205-631-9465",,"jdp76@mac.com"
"GADSDEN JOB CORP CENTER","0962","MS RENEE SANTANGELO","600 VALLEY ST","GADSDEN","AL","35901","2440","256-439-2890","999-999-9999","santangelo.rene'@jobcorps.org"
"GUARDIAN ANGEL CHRISTIAN ACADEMY","0963","MS TERESA HUNT","1600 STANLEY AVE","ANDALUSIA","AL","36420","7416","334-222-8356","334-427-7056","nonesupplied@noreply.com"
"GLENWOOD SCHOOL INC","0970","PHILLIP R ELDER","PO BOX 310","PHENIX CITY","AL","36868","0310","334-297-3614","256-214-9027","pelder@glennwoodgators.com"
"GOOD SHEPHERD LUTHERN ELEMENTARY SCHOOL","0972","MS CHARLOTTE BAILEY","PO BOX 669","ELBERTA","AL","36530","0669","251-504-2474","999-999-9999","nonesupplied@noreply.com"
"GARYWOOD CHRISTIAN SCHOOL","0985","MR RANDAL K RAY","2730 ALLISON BONNETT MEMORIAL DR","HUEYTOWN","AL","35023","1843","205-744-8135","999-999-9999","randal@garywood.org"
"GOD'S HOUSE KINDERGARTEN AND DAYCARE","0986","MS SUSAN COXHEAD","4660 CALDWELL MILL RD","VESTAVIA","AL","35243","2514","205-967-7611","205-967-7611","susan@adpc.org"
"GOVERNMENT ST BAPTIST SCH","1005","ROBERT E MURPHY","3401 GOVERNMENT BLVD","MOBILE","AL","36693","4301","251-660-7444","251-660-1097","principal@governmentstreet.org"
"GRACE CHRISTIAN ACADEMY","1012","MS TONI A STANTON","19470 COUNTY ROAD 6","GULF SHORES","AL","36542","0000","251-968-4352","999-999-9999","nonesupplied@noreply.com"
"GRACE CHRISTIAN ACADEMY","1013","REV CAROL DIANE GRACE","1186 MAC DRUMMOND RD","JASPER","AL","35504","5624","205-522-5633","999-999-9999","gracechristianacademy.carol@gmail.com"
"GRACE CHRISTIAN ACADEMY INC","1019","MS PATRICIA THOMAS","PO BOX 9068","MONTGOMERY","AL","36108","0002","334-288-1240","334-288-1087","nonesupplied@noreply.com"
"GRACE CHRISTIAN ACADEMY-HERON BAY","1021","MR RUFUS HOWARD GASTON JR","900 ABILENE DR E","MOBILE","AL","36695","5004","999-999-9999","251-634-2227","nonesupplied@noreply.com"
"GRACE LUTHERAN SCHOOL","1030","JOSHUA DANIEL SWARTZ","3321 S MEMORIAL PKWY","HUNTSVILLE","AL","35801","5396","256-881-0553","256-881-0563","gls@gls-hsv.org"
"GRACE TEMPLE PRE SCHOOL-DAYCARE","1031","MR ALEXANDER MOORE","159 HEMLEY AVE","MOBILE","AL","36607","2725","251-478-9200","251-450-0320","mrsjpm2005@yahoo.com"
"GREATER PEACE CHILD DEVELOPMANT CENTER","1032","MS VERTRINA GRUBBS","940 FOX RUN PKWY","OPELIKA","AL","36801","6067","251-786-1580",,"nonesupplied@noreply.com"
"GREAT BEGINNINGS ACADEMY","1033","MRS DELORES SMITH","1406 PROMOTION PLAZA","LEEDS","AL","35094","0000","205-699-1023","999-999-9999","nonesupplied@noreply.com"
"GREEN GATE SCHOOL","1040","YVONNA RICHARDSON","3265 MCGEHEE RD","MONTGOMERY","AL","36111","2300","334-281-3300","334-286-4884","ynr1954@aol.com"
"GREENGATE SCHOOL","1041","MS MARCIA RAMSEY","1300 MERIDIAN ST N STE 2200","HUNTSVILLE","AL","35801","4616","256-551-4439","251-551-0726","mramsey@greengateschool.org"
"CLARKE PREP SCHOOL","1070","MR MARC MICKLEBORO","20100 HIGHWAY 43","GROVE HILL","AL","36451","4102","251-275-8576",,"nonesupplied@noreply.com"
"GULF STATES CONF OF SEVENTH-DAY ADVENTISTS","1071","MS RITA HENRIQUEZ-GREEN","6450 ATLANTA HWY","MONTGOMERY","AL","36117","4204","256-597-2582",,"nonesupplied@noreply.com"
"HAPPI FACES PRESCHOOL INC","1091","MS AMY MEHERG STEWART","323 ROCK RIDGE RD","WINFIELD","AL","35594","4865","999-999-9999","999-999-9999","nonesupplied@noreply.com"
"HAMPTON COVE CHRISTIAN ACADEMY","1092","MR T J LEE","351 OLD HIGHWAY 431","HAMPTON COVE","AL","35763","9265","256-539-3773",,"tjlee@hamptoncoveacademy.org"
"HARVEST CHRISTIAN SCHOOL","1109","MR DUNCAN CAMPBELL","7303 TAYLORS FERRY RD","BESSEMER","AL","35023","5568","205-497-0883","999-999-9999","harvestibc@gmail.com"
"HARVEST TEMPLE ACADEMY","1110","VICKI EARP","4500 VAUGHN RD","MONTGOMERY","AL","36106","3102","334-277-6834","999-999-9999","nonesupplied@noreply.com"
"HAVEN CHRISTIAN ACADEMY","1111","MR BUDDY HAYES","9444 HIGHWAY 22","MONTEVALLO","AL","35115","5732","205-668-2408","999-999-9999","nonesupplied@noreply.com"
"HIGDON HILL SCHOOL","1127","MS CAROLYN CAUTHEN","6869 5TH AVE S","BIRMINGHAM","AL","35212","1866","205-838-2089","205-838-4411","carolyn.cauthen@psysolutions.com"
"HIGHLANDS SCHOOL","1130","KATHRYN WOODSON BARR","4901 OLD LEEDS RD","MOUNTAIN BRK","AL","35213","1899","205-956-9731","205-951-8127","kbarr@highlandsschool.org"
"HOLT STREET MEMORIAL BAPTIST CHURCH ACADEMY","1131","DR WILLIE D MCCLUNG SR","1870 S COURT ST","MONTGOMERY","AL","36104","5401","334-263-0522","999-999-9999","hsmbc@yahoo.com"
"HIGHPOINT CHRISTIAN SCHOOL","1133","MR LEMUEL TAYLOR JR","2421 LOTT RD","EIGHT MILE","AL","36613","2341","334-452-4601","334-452-1212","nonesupplied@noreply.com"
"HILLTOP MONTESSORI SCHOOL","1134","MS MICHELE BYRD SCOTT","6 ABBOTT SQ","BIRMINGHAM","AL","35242","1805","205-437-9343","205-437-9344","hms@hilltopmontessori.com"
"HOLY COM EPISCOPAL DAY SCH","1135","MRS LAURA MCCARTNEY","156 S 9TH ST","GADSDEN","AL","35901","3646","256-546-9071","256-546-7912","bdubose@episcopal-day-school.org"
"HOLY CROSS EPISCOPAL SCHOOL","1136","MRS MELANIE F KELLEY JR","4400 BELL RD","MONTGOMERY","AL","36116","4202","334-395-8222","334-395-7280","melanie.kelley@hcesal.com"
"HOPE ACADEMY","1159","MS JACQUELINE A PUGH","379 MOCCASIN RD","FAYETTE","AL","35555","7343","334-222-1111",,"nonesupplied@noreply.com"
"HOOPER ACADEMY","1160","DR JOHN D NIBLETT","380 FISCHER RD","HOPE HULL","AL","36043","9773","334-288-5980","334-288-9171","jniblett@hooperacademy.org"
"HOPE ACADEMY - A LEARNING CENTER","1161","MS ARTHENE I BASKIN","1101 WILCOX DR","PRICHARD","AL","36610","1583","251-452-8288",,"hopeacademynow@aol.com"
"HOPE CHRISTIAN SCHOOL","1162","MS CONNIE ATCHISON","PO BOX 563","ALABASTER","AL","35007","2045","205-664-2232","205-663-0287","nonesupplied@noreply.com"
"HOPE COMM CHRISTIAN CHILD DEV CENTER","1163","MR CHARLES RODGERS","PO BOX 141","HUNTSVILLE","AL","35804","0141","256-534-8750","256-534-8782","daycare95@comcast.net"
"HOPE ACADEMY PRESBYTERIAN HOME","1165","MRS LINDA G HARRIS","905 ASHLAND HWY","TALLADEGA","AL","35160","2586","256-362-4314","999-999-9999","phceddir@bellsouth.net"
"HOOVER CHRISTIAN SCHOOL","1176","GAYLAN HERR","2113 OLD ROCKY RIDGE RD","HOOVER","AL","35216","6101","205-987-3376",,"gaylanherr@gmail.com"
"HOUSTON ACADEMY","1190","JOHN P O'CONNELL","901 BUENA VISTA DR","DOTHAN","AL","36303","1999","334-794-4106","334-793-4053","joconn2119@aol.com"
"HUNTSVILLE ACHIEVEMENT SCH","1210","RICHARD REYNOLDS","406 1/2 GOVERNORS DR SW","HUNTSVILLE","AL","35801","5124","999-999-9999","999-999-9999","carol.campbell@hsvachievement.com"
"HUNTSVILLE EDUCATIONAL SERVICE","1218","MS PATTY OREILLY","PO BOX 1131","HUNTSVILLE","AL","35807","0131","256-650-6331","999-999-9999","hespmo@att.net"
"IMAGINATION STATION CHILD DEVELOPMENT CENTER","1231","MS REBEKAH ENSEY","400 MCFARLAND BLVD STE B","NORTHPORT","AL","35476","3371","205-333-3291",,"nonesupplied@noreply.com"
"INDIAN SPRINGS SCHOOL","1240","GARETH M VAUGHAN","190 WOODWARD DR","INDIAN SPRINGS","AL","35124","3272","205-988-3350",,"gvaughan@indiansprings.org"
"ISLAMIC ACADEMY OF ALABAMA","1258","ANDREW ADDELHAQUE","1810 25TH CT S","HOMEWOOD","AL","35209","1926","205-870-0422","205-868-1112","iaaprincipal@bellsouth.net"
"ISLAMIC ACADEMY OF HUNTSVILLE","1259","MUHAMMED AYOUB","1645 SPARKMAN DR NW","HUNTSVILLE","AL","35816","1113","256-722-9838","256-721-1752","islamicacademyofhunstville@gmail.com"
"JACKSON ACADEMY","1260","MR ROBERT ANDRESS","PO BOX 838","JACKSON","AL","36545","0838","251-246-5552",,"nonesupplied@noreply.com"
"JACKSON CREEK CHRISTIAN ACADEMY","1261","MRS JOHNNIE GRANT","10431 OLD PASCAGOULA RD","GRAND BAY","AL","36541","3935","251-957-6052","999-999-9999","jacksoncreek@centurytell.net"
"JACKSONVILLE CHRISTIAN ACAD","1265","TOMMY G MILLER","831 ALEXANDRIA RD SW","JACKSONVILLE","AL","36265","2757","256-435-3333","256-435-2059","tmillerjca@yahoo.com"
"JERICHO WAY CHRISTIAN ACADEMY","1271","REV CAROL GRACE","1083 RIVER RD","CORDOVA","AL","35550","3919","205-522-5633",,"nonesupplied@noreply.com"
"JEFFERSON CHRISTIAN ACADEMY","1275","BEN C BURGER","1500 HERITAGE PLACE DR","IRONDALE","AL","35210","3745","205-956-9111","205-956-9508","nonesupplied@noreply.com"
"JOSEPH S. BRUNO MONTESSORI ACADEMY","1280","MS THERESA B SPAIN","5509 TIMBER HILL RD","BIRMINGHAM","AL","35242","3533","205-995-8709",,"theresa@jsbacademy.org"
"JOHN T MORGAN ACADEMY","1290","KARIM P OAKS","PO BOX 2650","SELMA","AL","36702","2650","334-875-4464",,"kpoaks@morganacademy.com"
"JOHN B NORMAN SR CHRISTIAN ACADEMY","1291","PSTR JOHN NORMAN SR","309 20TH ST SW","BIRMINGHAM","AL","35211","3216","205-925-6900","205-925-2725","jbnfca@bellsouth.net"
"KIDDIE KOLLEGE OF FIRST UMC","1308","BETH ROBERTS","800 GREENSBORO AVE","TUSCALOOSA","AL","35401","2146","205-345-7261","999-999-9999","nonesupplied@noreply.com"
"KINGWOOD CHRISTIAN SCHOOL","1325","MRS RUTH WHITE GRAY","1351 ROYALTY DR","ALABASTER","AL","35007","3035","205-663-3973","999-999-9999","rgray@kingwoodchristianschool.com"
"KINGWOOD CHRISTIAN CHILD DEV","1326","MRS BARBARA A DRACKETT","200 HARVEST WAY","ALABASTER","AL","35007","9017","205-620-6720","205-663-7145","kcsdc@kingwoodchristian.org"
"KNOLLWOOD CHRISTIAN SCHOOL","1334","DR LARRY JONES","PO BOX 340","SYLACAUGA","AL","35150","0340","256-249-4750","999-999-9999","LJones@knollwoodcs.com"
"KNOLLWOOD CHRISTIAN SCHOOL","1335","SANDRA M GUY","1501 KNOLLWOOD DR","MOBILE","AL","36609","2532","251-661-1987","251-661-6461","sguykcs@aol.com"
"THE KINGS RANCH ASSESSMENT CENTER SCHOOL","1339","LESKA MEELER","221 DAYSPRING DRIVE","CHELSEA","AL","35043","0000","205-678-8331","205-678-7372","nonesupplied@noreply.com"
"THE LAKESIDE SCHOOL","1340","MIRANDA WATSON","1020 LAKE DR","EUFAULA","AL","36027","9502","334-687-5748",,"mwatson@lakesidechiefs.com"
"LAKEVIEW SCHOOL","1344","MRS CLARICE S WORTHAM","150 GLENWOOD LN","BIRMINGHAM","AL","35242","5700","205-795-3237","205-795-3275","cwortham@glenwood.org"
"LAKE CITY CHRISTIAN ACADEMY","1345","GAYLE BUCHANAN","5025 SPRING CREEK DR","GUNTERSVILLE","AL","35976","2815","256-582-2888","256-505-0886","nonesupplied@noreply.com"
"LAKEVIEW CHRISTIAN SCHOOL","1346","MS DEBORAH SABLER","1600 E GLENN AVE","AUBURN","AL","36830","5784","334-887-7094",,"evangel@fountainoflifechurch.net"
"LAWRENCE COUNTY CHRISTIAN SCHOOL","1361","STEPHEN MILAM","10485 COUNTY ROAD 460","MOULTON","AL","35650","6786","256-974-8771","256-974-8771","nonesupplied@noreply.com"
"LEARNING CENTER PRESCHOOL","1364","VICKI JOHNSON","419 COLLEGE AVE","BOAZ","AL","35957","1611","256-593-3820","999-999-9999","nonesupplied@noreply.com"
"LEARNING TREE INC","1365","DR MARC WILLIAMS","4979 LOTT RD","EIGHT MILE","AL","36613","9179","334-252-0025","999-999-9999","theltree@aol.com"
"LEARNING EXPRESS CENTER","1367","DR HUEY LING LIN","1927 WALNUT ST","MONTGOMERY","AL","36106","1532","334-202-3287","334-262-3288","Feelinglin@aol.com"
"LEAPS ACADEMY","1368","MRS ASHLEY P FAUST","1815 MARTIN ST S","PELL CITY","AL","35128","2321","205-884-7621","999-999-9999","ashleypsimmons@hotmail.com"
"LEE-SCOTT ACADEMY","1370","DON ROBERTS","1601 ACADEMY DR","AUBURN","AL","36830","2895","334-821-2430","334-821-0876","droberts@lee-scott.org"
"LITTLE FRIENDS PRESCHOOL","1405","MS HELEN M JOHNSON","120 HILLCREST DR","ANDALUSIA","AL","36420","2562","334-222-8114","999-999-9999","nonesupplied@noreply.com"
"SCOTTSBORO CHRISTIAN ACADEMY","1415","MS DEBBIE JOHNSON","9545 AL HIGHWAY 79","SCOTTSBORO","AL","35768","7347","256-259-5398","256-574-3639","nonesupplied@noreply.com"
"LIGHTHOUSE CHRISTIAN ACADEMY","1416","MR GARY MOHENY","3570 BELL RD","MONTGOMERY","AL","36116","1309","334-271-4200","999-999-9999","gary.mohney@lcapirates.com"
"LIVING WORD CHRISTIAN CENTER KINGDOM ACADEMY","1417","DR LEVY H KNOX","1060 GOVERNMENT ST","MOBILE","AL","36604","2404","334-433-5866","334-433-5867","nonesupplied@noreply.com"
"LIFE INSTITUTE CHRISTIAN SCHOOL","1418","DR HENRY WILLIAMS ROBERTS JR","351 S CRAFT HWY","CHICKASAW","AL","36611","2208","251-456-2652","251-456-2654","wolccoffice@aol.com"
"LOWNDES ACADEMY","1430","CHUCK INSINGA","PO BOX 99","LOWNDESBORO","AL","36752","0099","999-999-9999","999-999-9999","cinsinga@lowndesacademy.org"
"LYMAN WARD MILITARY ACADEMY","1440","MR ALBERT W JENRETTE","PO BOX 550","CAMP HILL","AL","36850","0550","256-896-4127","256-896-4661","bill.jenrette@lwma.org"
"MACON-EAST MONTGOMERY ACADEMY","1450","MR JAMES E. ARRINGTON","15396 VAUGHN RD","CECIL","AL","36013","3500","334-277-6566","334-277-6544","jarrington@maconeast.net"
"MA'AT HIGH SCHOOL","1451","MS RHODA E JOHNSON","14 SOUTHMONT DR","TUSCALOOSA","AL","35405","4131","999-999-9999","999-999-9999","nonesupplied@noreply.com"
"MADISON ACADEMY","1460","MRS CARMELITA CAROL BURTON","325 SLAUGHTER RD","MADISON","AL","35758","2007","256-971-1632","256-971-1436","cburton@macademy.org"
"MADISON BAPTIST ACADEMY","1461","MR LARRY NICHOLSON","840 BALCH RD","MADISON","AL","35758","9713","256-772-8480","999-999-9999","nonesupplied@noreply.com"
"MAGNOLIA SPRINGS CHRISTIAN SCHOOL","1470","TAMMY CURL","6058 THEODORE DAWES RD","THEODORE","AL","36582","3952","251-653-0251","255-653-2668","registrar@msbacademy.com"
"MARANATHAN ACADEMY","1475","DONNA DUKES","PO BOX 320321","BIRMINGHAM","AL","35232","0321","205-591-8100","205-591-8100","mflca@ymail.com"
"MARENGO ACADEMY","1490","H D RUSSELL","2103 S MAIN ST","LINDEN","AL","36748","3215","334-295-4151","334-295-4159","nonesupplied@noreply.com"
"MARIETTA JOHNSON SCHOOL","1495","HENRY L VETT","8 MARIETTA DR","FAIRHOPE","AL","36532","1653","251-928-9347","251-928-8849","nonesupplied@noreply.com"
"MARION ACADEMY","1497","ANTHONY YELVERTON","1820 PRIER DR","MARION","AL","36756","5930","334-683-8204","334-683-4938","amherst48@juno.com"
"MARS HILL BIBLE SCHOOL","1505","DR KENNY BARFIELD","698 COX CREEK PKWY","FLORENCE","AL","35630","1199","256-767-1203","256-718-8579","kbarfield@mhbs.org"
"MARSHALL CHRISTIAN ACADEMY","1509","MR RODNEY LYNN CRANFORD","1631 BRASHERS CHAPEL RD","ALBERTVILLE","AL","35951","3511","256-279-0192",,"rlc@marshallchristianacademy.com"
"MAXWELL AFB ELEM SCHOOL","1530","MS MELISSA HAYES","800 MAGNOLIA BLVD BLDG 538","MAXWELL AFB","AL","36112","5922","334-953-7804","334-953-4339","melissa.hayes@am.dodea.edu"
"MCELWAIN CHRISTIAN ACADEMY","1539","LUCY BAKER BLOODWORTH","4445 MONTEVALLO RD","MOUNTAIN BRK","AL","35213","1515","205-957-2628","999-999-9999","lbloodworth@mcelwain.org"
"MCRAE LEARNING CENTER","1545","SADIE MOSS","PO BOX 1266","SELMA","AL","36702","1266","334-872-8078",,"nonesupplied@noreply.com"
"MEADOWVIEW CHRISTIAN SCHOOL","1550","DR MICHAEL GAYLOR","1512 OLD ORRVILLE RD","SELMA","AL","36701","6997","334-277-8033","334-277-2542","gaylor_meadowview@yahoo.com"
"METROPOLITIAN SCHOOL OF TALENT AND THE ARTS","1551","DR JANICE BASKIN-BERRY","224 2ND STREET THOMAS","BIRMINGHAM","AL","35214","6056","205-422-8506","999-999-9999","wb4685@email.phoenix.edu"
"MISS BETTY’S PRESCHOOL","1552","MS BETTY FULLER","2025 COUNTY ROAD 106","MOULTON","AL","35650","5813","256-974-9892",,"nonesupplied@noreply.com"
"MOBILE ASSN RET CITIZENS","1555","FLORA DAY","2424 GORDON SMITH DR","MOBILE","AL","36617","2319","334-479-7409","334-473-7649","nonesupplied@noreply.com"
"MINISTERIAL BROTHERHOOD MINISTRIES","1556","DR MORRELL TODD","1629 32ND AVE N","BIRMINGHAM","AL","35207","4835","205-780-0435","205-780-2935","nonesupplied@noreply.com"
"MIRACLE DELIVERANCE TEMPLE","1560","JAMES JOHNSON, SR.","PO BOX 39741","BIRMINGHAM","AL","35208","0018","205-925-2417","205-923-4646","MDELLEARING@birmingham.rr.com"
"MOBILE CHRISTIAN SCHOOL","1580","LORIE ANN MINOR","5900 COTTAGE HILL RD","MOBILE","AL","36609","3199","251-661-1613","999-999-9999","david_pahman@mobilechristian.org"
"MOBILE JUNIOR ACADEMY","1590","MR DOUG CARR","1900 CODY RD S","MOBILE","AL","36695","3007","251-633-8638","251-633-8639","douglascarr@bellsouth.net"
"PRESCHOOL CENTER FOR SENSORY IMPAIRED","1597","MICHELLE JONES","1050 GOVERNMENT ST","MOBILE","AL","36604","2404","334-433-1234","334-432-3199","nonesupplied@noreply.com"
"MOFFETT ROAD CHRISTIAN","1598","MS DONNA CRABTREE","6159 MOFFETT RD","MOBILE","AL","36618","4805","251-391-4663","251-649-3502","nonesupplied@noreply.com"
"MONROE ACADEMY","1600","RONNIE WILLIAMS","4096 S ALABAMA AVE","MONROEVILLE","AL","36460","5638","334-743-3932","334-743-4267","nonesupplied@noreply.com"
"ARLINGTON SCHOOL","1605","DEBORAH PETITTO","1312 22ND ST S","BIRMINGHAM","AL","35205","4108","205-939-3665","205-939-3664","nonesupplied@noreply.com"
"MONTGOMERY CHRISTIAN SCHOOL","1627","MR THOMAS J DANIELSON","1728 S HULL ST","MONTGOMERY","AL","36104","5552","334-262-3892","999-999-9999","nonesupplied@noreply.com"
"MONTGOMERY SDA SCHOOL","1628","MS JOYCE BOLAND","4233 ATLANTA HWY","MONTGOMERY","AL","36109","3024","334-272-6437","334-272-6437","jgboland@hotmail.com"
"EAST MONTGOMERY MONTESSORI SCHOOL","1629","MS FRANCES BELL","6801 VAUGHN RD","MONTGOMERY","AL","36116","1328","334-272-5097","334-272-9398","knowmontessori@bellsouth.net"
"MONTGOMERY ASSOCIATION FOR RETARDED CITIZENS","1631","LYNN M WISE","527 BUCKINGHAM DR","MONTGOMERY","AL","36116","2738","334-281-6938","334-286-9102","nonesupplied@noreply.com"
"MONTGOMERY JOB CORPS CENTER","1637","MR FRANK COIRO","1145 AIR BASE BLVD","MONTGOMERY","AL","36108","3103","999-999-9999","999-999-9999","nonesupplied@noreply.com"
"SUMMIT ACADEMY","1638","DR GEORGE MICHAEL SHEHI","3001 SCENIC HWY","GADSDEN","AL","35904","3047","256-546-9265","999-999-9999","rbevel@mtnviewhospital.com"
"MOUNTAIN CHAPEL METHODIST PK","1645","MS STACEY BOUCHILLON","2541 ROCKY RIDGE RD","VESTAVIA","AL","35243","4450","205-822-0049","999-999-9999","nonesupplied@noreply.com"
"MT. PILGRIM CHRISTIAN ACADEMY","1656","MRS ELEASHIA ROPER","6746 GRASSELLI RD","FAIRFIELD","AL","35064","0000","205-780-5096","205-780-5096","ropermpca@yahoo.com"
"NEW LIFE CHRISTIAN ACADEMY","1665","MRS ANNIE BLACKMON","PO BOX 1085","TROY","AL","36081","1085","334-566-0424","999-999-9999","ablackmon@troycable.net"
"NEW DIMENSIONS CHRISTIAN ACADEMY","1673","MS GLORIA SYLVESTER","2200 MAIN AVE","NORTHPORT","AL","35476","4272","205-333-3990",,"nonesupplied@noreply.com"
"NEW COVENANT COMMUNITY LEARNING CENTER","1676","BSHP FRANK J KIRKWOOD","624 BASSWOOD DR","ADAMSVILLE","AL","35005","2129","205-788-5876","999-999-9999","nonesupplied@noreply.com"
"NEW HOPE CHRISTIAN ELEMENTARY SCHOOL","1679","MS GWENDOLYN H. BELL","1740 CLEBURN AVE SW","BIRMINGHAM","AL","35211","4233","205-925-9399","999-999-9999","gamble@newhope2location.com"
"NEW LIFE CHRISTIAN SCHOOL","1681","MR RONNIE BAILEY","1945 DREWRY RD","MONROEVILLE","AL","36460","5896","334-575-7280","334-575-5821","nonesupplied@noreply.com"
"NEW LIFE CHRISTIAN SCHOOL OF EXCELLENCE","1682","MRS BRENDA BECKWOOD","1600 8TH AVE N","BESSEMER","AL","35020","5743","205-425-4735","999-999-9999","bbeckwood@nlim.org"
"NORTH ALABAMA CHRISTIAN SCHOOL","1686","MS SANDRA SUMMERFORD","5651 AL HIGHWAY 40","VALLEY HEAD","AL","35989","3059","256-657-3380","256-657-3308","northalabamachristianschool@yahoo.com"
"NORTH ALABAMA CENTER FOR EDUCATIONAL EXCELLENCE","1691","MR EARNEST DAVIS","4900B CENTURY ST NW","HUNTSVILLE","AL","35816","1902","999-999-9999","999-999-9999","nonesupplied@noreply.com"
"NORTH MOBILE CHRISTIAN SCHOOL","1693","MICHAEL S. BELL","1255 INDUSTRIAL PKWY","SARALAND","AL","36571","3723","251-679-3279","251-679-3273","nmcs@northmobilechristian.org"
"NORTH SIDE CHRISTIAN SCHOOL","1695","MS SUSIE CRUMB","4812 YONDERHILL DR","BIRMINGHAM","AL","35207","1234","205-849-7676","999-999-9999","nonesupplied@noreply.com"
"NORTHPOINTE CHRISTIAN ACADEMY","1696","MRS CHIQUITA BANKHEAD WILKINS","4050 FAIRGROUND RD","MONTGOMERY","AL","36110","2008","334-356-6045","999-999-9999","NPCA2011@hotmail.com"
"OAK PARK CHRISTIAN ACADEMY","1701","MS DONNA DEMENT","3321 SOLLIE RD","MOBILE","AL","36695","2555","251-633-8045",,"nonesupplied@noreply.com"
"NORTHSIDE METHODIST ACADEMY","1711","JEREMY MARTENS","2600 REDMOND RD","DOTHAN","AL","36303","5616","334-794-7273",,"jmartens@nmacademy.net"
"NORTHVIEW CHRISTIAN CHURCH ACADEMY","1714","YVETTE HOGANS","233 BIC RD","DOTHAN","AL","36303","5851",,,"nccacademy@nccfamily.org"
"OAK MOUNTAIN CLASSICAL SCHOOL","1716","KEITH NIX","5080 CAHABA VALLEY TRCE","BIRMINGHAM","AL","35242","3627","205-995-9694","205-980-9095","tperkins@westminsterknights.org"
"OPEN DOOR BAPTIST CHURCH","1718","MS CINDA PERRY","1761 MCFARLAND BLVD N","TUSCALOOSA","AL","35406","2135","205-391-3601","999-999-9999","nonesupplied@noreply.com"
"NORTH RIVER CHRISTIAN ACADEMY","1720","DAN HABRIAL","1785 MCFARLAND BLVD N","TUSCALOOSA","AL","35406","2135","205-349-4881",,"shschool@hiwaay.net"
"OAKWOOD ADVENTIST ACADEMY K-8","1721","MR GILBERT COOPER","7000 ADVENTIST BLVD NW","HUNTSVILLE","AL","35896","0001","256-726-7010","256-726-7016","principal@mindspring.com"
"OPEN DOOR CHRISTIAN SCHOOL","1724","MRS VIOLET WALLACE","20774 COUNTY ROAD 12 S","FOLEY","AL","36535","9210","251-943-1693","999-999-9999","nonesupplied@noreply.com"
"PARKWAY CHRISTIAN ACADEMY","1728","REV MICHAEL R. GALLIEN","959 HUFFMAN RD","BIRMINGHAM","AL","35215","7846","205-833-2410","205-833-4692","mrgallien@gmail.com"
"PARKVIEW CHRISTIAN SCHOOL","1731","MR JOHN S DOWLING","608 S EUFAULA AVE","EUFAULA","AL","36027","2602","334-687-4449","334-687-5665","pcsoffice@eufaula.rr.com"
"PFC HOWARD JOHNSON ACADEMY","1732","MS GLORIA JOHNSON","102 BORDER CIR E","MOBILE","AL","36608","4540","251-345-9991","251-345-1120","glomogo@aol.com"
"PATHWAYS ACADEMY","1733","MS TAMMY H JACKSON","517 4TH AVE E","GLENCOE","AL","35905","1915","256-494-1600",,"tams@bellsouth.net"
"PEOPLE IN PROGRESS","1734","MS KRYSTAL ROGERS","472 S LAWRENCE ST","MONTGOMERY","AL","36104","4261","334-414-7105",,"nonesupplied@noreply.com"
"PATRICIAN ACADEMY","1740","MR MICHAEL R. ETHRIDGE","901 S MULBERRY AVE","BUTLER","AL","36904","2811","205-459-3605","205-459-4802","pasaints@pasaints.com"
