"County","School Name","Administrator","Email","Title","Address","City","State","Zip","Phone","Fax","Grade"
"Fulton","ST. JOHN THE EVANGELIST CATHOLIC SCHOOL","Karen P. Vogtner","kvogtner@sjecs.net","Principal","240 Arnold Street","Hapeville","GA","30354-1530","(404) 767-4312","(404) 767-0359","Grades: PK-8"
"Chatham","ST. VINCENT'S ACADEMY","Mary Anne Hogan","maryanne.hogan@svaga.net","Principal","207 East Liberty Street","Savannah","GA","31401-4401","(912) 236-5508","(912) 236-7877","Grades: 9-12"
"Bibb","STRATFORD ACADEMY","Robert E. Veto","robert.veto@stratford.org","Headmaster","6010 Peake Road","Macon","GA","31220-3938","(478) 477-8073","(478) 477-0299","Grades: PK-12"
"Bibb","TATTNALL SQUARE ACADEMY","Michael Drake","michael.drake@tattnall.org","Head of School","111 Trojan Trail","Macon","GA","31210-3091","(478) 477-6760","(478) 474-7887","Grades: PK-12"
"Henry","STRONG ROCK CHRISTIAN SCHOOL","Patrick W. Stuart","pstuart@strong-rock.com","CEO","4200 Strong Rock Parkway","Locust Grove","GA","30248-2908","(678) 833-1200","(678) 833-1295","Grades: K3-12"
"Terrell","TERRELL ACADEMY","William T. Murdock","billmurdock@bellsouth.net","Headmaster","602 Academy Drive","Dawson","GA","39842-2103","(229) 995-4242","(229) 995-6149","Grades: K3-12"
"Fulton","THE SWIFT SCHOOL","Richard J. Wendlek","rwendlek@swiftschool.com","Head of School","300 Grimes Bridge Road","Fulton","GA","30075-4645","(678) 205-4988","(678) 205-1339","Grades: 1-7"
"Jefferson","THOMAS JEFFERSON ACADEMY","Chuck Wimberly","chuckawimberly@yahoo.com","Headmaster","2264 Highway 1 North","Louisville","GA","30434-5202","(478) 625-8861","(478) 625-9196","Grades: K3-12"
"Habersham","TALLULAH FALLS SCHOOL","Larry A. Peevy","lpeevy@tallulahfalls.org","President","Post Office Box 10 / (121 Willett Drive)","Tallulah Falls","GA","30573-0010","(706) 754-04","(706) 754-3595","Grades: 6-12"
"Tift","TIFTAREA ACADEMY","Diane R. Womack","dwomack@tiftarea.org","Head of School","Post Office Box 10 / (3144 US Highway 41 North)","Chula","GA","31733-0010","(229) 382-0436","(229) 382-7742","Grades: PK-12"
"Laurens","TRINITY CHRISTIAN SCHOOL","Rick Johnson","rjohnson@tcsmail.org","Headmaster","200 Trinity Road","Dublin","GA","31021-0412","(478) 272-7699","(478) 272-7685","Grades: K4-12"
"Floyd","UNITY CHRISTIAN SCHOOL","Glenn Getchell","jeddins@unitychristianschool.org","Headmaster","2960 New Calhoun Highway","Rome","GA","30161-8240","(706) 292-0700","(706) 292-0772","Grades: K3-12"
"Coweta","TRINITY CHRISTIAN SCHOOL","Dean Demos","dean.demos@tcslions.org","Headmaster","8817 Highway 54","Coweta","GA","30277-2106","(770) 251-6770","(770) 683-1337","Grades: K-12"
"Lowndes","VALWOOD SCHOOL","Darren J. Pascavage","headmaster@valwood.org","Headmaster","4380 Old US Highway 41 N.","Hahira","GA","31632","(229) 242-8491","(229) 245-7894","Grades: PK-12"
"Fulton","TRINITY SCHOOL","Stephen G. Kennedy","skennedy@trinityatl.org","Headmaster","4301 Northside Parkway","Atlanta","GA","30327-3014","(404) 231-8100","(404) 231-8111","Grades: 3 yr olds - 6th"
"DeKalb","THE WALDORF SCHOOL OF ATLANTA","Sara Walsh","office@waldorfatlanta.org","Administrator","827 Kirk Road","Decatur","GA","30030-4530","(404) 377-1315","(404) 377-5013","Grades: PK-8"
"Twiggs","TWIGGS ACADEMY","Dediere Fountain","twiggsacademy@windstream.net","Administrator","961 Hamlin Floyd Road","Jeffersonville","GA","31044-7614","(478) 945-3175","(478) 945-3275","Grades: PK-12"
"Cobb","THE WALKER SCHOOL","Jack R. Hall","jack.hall@thewalkerschool.org","Head of School","700 Cobb Parkway North","Marietta","GA","30062-2404","(770) 427-2689","(770) 514-8122","Grades: PK-12"
"Fulton","THE WEBER SCHOOL","Simcha Pearl, D.M.D","npearson@weberschool.org","Head of School","6751 Roswell Road","Atlanta","GA","30328-2501","(404) 917-2500","(404) 917-2501","Grades: 9-12"
"Fulton","WESTMINSTER SCHOOLS OF ATLANTA","William Clarkson","billclarkson@westminster.net","President","1424 West Paces Ferry Road","Atlanta","GA","30327-2428","(404) 355-8673","(404) 609-9496","Grades: PK-12"
"Gwinnett","WESLEYAN SCHOOL","Zach Young","zyoung@wesleyanschool.org","Headmaster","5405 Spalding Drive","Norcross","GA","30092-2614","(770) 448-7640","(770) 448-3699","Grades: K-12"
"Richmond","WESTMINSTER SCHOOLS OF AUGUSTA","Stephen D. O'Neil","soneil@wsa.net","Headmaster","3067 Wheeler Road","Augusta","GA","30909-3355","(706) 731-5260","(706) 731-5274","Grades: K-12"
"Houston","THE WESTFIELD SCHOOL","Rachel S. Deems","rdeems@westfieldschool.org","Head of School","Post Office Box 2300 / (2005 US Hwy 41 South)","Perry","GA","31069-2300","(478) 987-0547","(478) 987-7379","Grades: PK-12"
"Mitchell","WESTWOOD SCHOOL","Ross Worsham","rworsham@westwoodschools.org","Headmaster","Post Office Box 528 / (255 Fuller Street)","Camilla","GA","31730-0528","(229) 336-7992","(229) 336-0982","Grades: PK-12"
"Watkinsville","WESTMINSTER CHRISTIAN ACADEMY","Judy Childs","jchilds@wcalions.org","Principal","Post Office Box 388 / (1640 New High Shoals Road)","Watkinsville","GA","30677-0010","(706) 769-9372","(706) 769-2050","Grades: PK3-12"
"Cobb","WHITEFIELD ACADEMY","John H. Lindsell","johnh@whitefieldacademy.com","Headmaster","1 Whitefield Drive","Mableton","GA","30126-5236","(678) 305-3000","(678) 305-3010","Grades: PK4-12"
"Pickens","WILDWOOD CHRISTIAN ACADEMY","Lyn A. Cates","lyncates@wildwoodchristianacademy.com","Head of School","695 Whitley Road","South Marble Hill","GA","30148-2140","(770) 893-3300","(770) 893-3305","Grades: PK-8"
"Bibb","WINDSOR ACADEMY","John C. Cranford","jcranford@windsoracademyknights.com","Headmaster","4150 Jones Road","Macon","GA","31216-6537","(478) 781-1621","(478) 781-0757","Grades: K4-12"
"Bibb","WOODFIELD ACADEMY","Becky Sessions","bsessions@woodfieldacademy.org","Headmaster","4375 Rivoli Drive","Macon","GA","31210-4540","(478) 477-9844","(478) 477-9866","Grades: 2-12"
"Fulton","WOODWARD ACADEMY","Stuart Gulley","stuart.gulley@woodward.edu","President","1662 Rugby Avenue","College Park","GA","30337-2116","(404) 765-4000","(404) 765-4015","Grades: PK-12"

