" School Name "," Accrediting Association  "," Street Address  "," City  "," ZIP  "," Email  "," Phone  "," FAX  "
" Saint Michael Lifelong Learning Center "," AdvancEd  "," 3705 Stone Lakes Drive  "," Louisville  "," 40299  "," smarstiller@stmikellc.org  "," (502) 267-6155  "," (502) 267-4272  "
" Saint Nicholas Academy Elementary "," AdvancEd  "," 5501 New Cut Road  "," Louisville  "," 40214  "," cnord@sna-panthers.org  "," (502) 368-8506  "," (502) 368-8506  "
" Saint Patrick Elementary "," AdvancEd  "," 1000 North Beckley Station Road  "," Louisville  "," 40245  "," ewnorowski@stpatrick-lou.org  "," (502) 244-7083  "," (502) 719-0369  "
" Saint Patrick School "," SACS  "," 318 Limestone Street  "," Maysville  "," 41056  "," apoe@stpatschool.com  "," (606) 564-5949  "," (606) 564-8795  "
" Saint Paul Elementary "," KNPSC  "," 7303 Dixie Highway  "," Florence  "," 41042  "," dmaher@saint-paul-school.org  "," (859) 647-4070  "," (859) 647-0644  "
" Saint Paul Elementary "," KNPSC  "," 1812 Saint Paul Road  "," Leitchfield  "," 42754  "," stpaul@blazingisp.net  "," (270) 242-7483  "," (270) 242-7483  "
" Saint Paul Elementary "," AdvancEd  "," 6901 Dixie Highway  "," Pleasure Ridge Park  "," 40258  "," kevinbrever@hotmail.com  "," (502) 935-5511  "," (502) 935-5596  "
" Saint Philip Elementary "," KNPSC  "," 1400 Mary Ingles Hwy  "," Melbourne  "," 41059  "," dgohs@stphilipky.org  "," (859) 441-3423  "," (859) 441-2611  "
" Saint Pius X Elementary "," KNPSC  "," 348 Dudley Road  "," Edgewood  "," 41017  "," jgerwe@stpiusx.com  "," (859) 341-4900  "," (859) 341-3440  "
" Saint Raphael Elementary "," AdvancEd  "," 2131 Lancashire Avenue  "," Louisville  "," 40205  "," raphael@iglou.com  "," (502) 456-1541  "," (502) 451-3632  "
" Saint Rita Elementary "," AdvancEd  "," 8709 Preston Highway  "," Louisville  "," 40219  "," mlanning@saintrita.net  "," (502) 969-7067  "," (502) 968-0510  "
" Saint Romuald Interparochial School "," KNPSC  "," 408 N. Main Street  "," Hardinsburg  "," 40143  "," srisprincipal@hotmail.com  "," (270) 756-5504  "," (270) 756-2099  "
" Saint Stephen Martyr Elementary "," AdvancEd  "," 2931 Pindell Avenue  "," Louisville  "," 40217  "," mbowen@ssmartyr.org  "," (502) 635-7141  "," (502) 635-1576  "
" Saint Therese Elementary "," KNPSC  "," 2516 Alexandria Pike  "," Southgate  "," 41071  "," olearyd@sainttherese.ws  "," (859) 441-0449  "," (859) 441-0449  "
" Saint Thomas Elementary "," KNPSC  "," 428 South Fort Thomas Avenue  "," Ft Thomas  "," 41075  "," sbres@sttschool.org  "," (859) 572-4641  "," (859) 572-4644  "
" Saint Xavier High School "," SACS  "," 1609 Poplar Level Road  "," Louisville  "," 40217  "," nnunn@saintx.com  "," (502) 637-4712  "," (502) 634-2171  "
" Saints Peter and Paul Elementary "," KNPSC  "," 2160 California Cross Road  "," California  "," 41007  "," dcpeterpaul@att.net  "," (859) 635-4382  "," (859) 635-4184  "
" Saints Peter and Paul Elementary "," KNPSC  "," 902 East Ninth Street  "," Hopkinsville  "," 42240  "," vkinnard@saintspeterandpaulschool.org  "," (270) 886-0172  "," (270) 887-9924  "
" Saints Peter and Paul School "," KNPSC  "," 133 Barr Street  "," Lexington  "," 40507  "," jbonfield@cdlex.org  "," (859) 254-9257  "," (859) 254-9050  "
" Sayre School "," ISACS  "," 194 North Limestone Street  "," Lexington  "," 40507  "," cqchambliss@sayreschool.org  "," (859) 254-1361  "," (859) 231-0508  "
" Scott Middle School "," SACS  "," 7474 Mississippi St  "," Ft Knox  "," 40121  "," linda.haberman@am.dodea.edu  "," (502) 624-2236  "," (502) 624-5433  "
" Seton Catholic School "," KNPSC  "," 1740 Summerhill Drive  "," Lexington  "," 40515  "," lcoomer@cdlex.org  "," (859) 273-7827  "," (859) 273-0115  "
" Somerset Christian School "," ICAA & SACS  "," 815 Grand Central Blvd.  "," Somerset  "," 42503  "," johnhale@somersetchristian.com  "," (606) 451-1600  "," (606) 677-9850  "
" Summit Academy "," ICAA  "," 11508 Main Street  "," Louisville  "," 40243  "," mthornton@summit-academy.org  "," (502) 244-7090  "," (502) 244-3371  "
" Summit Christian Academy "," ICAA  "," 2780 Clays Mill Rd  "," Lexington  "," 40503  "," margie@assemblychristian.org  "," (859) 277-0503  "," (859) 276-1450  "
" Taylor Mill Christian Academy "," NAD  "," 5235 Taylor Mill Road  "," Taylor Mill  "," 41015  "," lboughman@kytn.net (Superintendent)  "," (859) 431-9933  "," (859) 431-4907  "
" The DePaul School "," ISACS/NAIS/NCA  "," 1925 Duker Avenue  "," Louisville  "," 40205  "," dpinfo@depaulschool.org  "," (502) 459-6131  "," (502) 458-0827  "
" The Lexington School "," ISACS  "," 1050 Lane Allen Road  "," Lexington  "," 40504  "," cbaldecchi@thelexingtonschool.org  "," (859) 278-0501  "," (859) 278-8604  "
" The Piarist School "," KNPSC  "," Highway 80  "," Martin  "," 41649  "," piarist_adm@bellsouth.net  "," (606) 285-3950  "," (606) 285-3950  "
" Trinity High School "," SACS  "," 4011 Shelbyville Rd  "," Louisville  "," 40207  "," zoeller@thsrock.net  "," (502) 895-9427  "," (502) 895-6837  "
" Trinity High School "," KNPSC  "," 10510 Maincross St  "," Whitesville  "," 42378  "," billhagan@trinityhs.com  "," (270) 233-5533  "," (270) 233-9293  "
" University Heights Academy "," ISACS  "," 1300 Academy Drive  "," Hopkinsville  "," 42240  "," pnunn@uha-ky.org  "," (270) 886-0254  "," (270) 886-2716  "
" Valor Traditional Academy "," KNPSC  "," 11501 Schlatter Rd.  "," Louisville  "," 40291  "," jpfugate@bellsouth.net  "," (502) 239-3345  "," (502) 239-3344  "
" Van Voorhis Elementary "," SACS  "," Building 5550, 120 Folger Street  "," Fort Knox  "," 40121  "," jo.blease@am.dodea.edu  "," (502) 624-5854  "," (502) 624-7267  "
" Versailles Montessori School "," AMI  "," 480 Pinckard Pike  "," Versailles  "," 40383  "," montesri@iglou.com  "," (859) 873-1998  "," (859) 879-9462  "
" Villa Madonna Academy Elem. "," SACS  "," 2500 Amsterdam Road  "," Villa Hills  "," 41017  "," sbosley@villamadonna.net  "," (859) 331-6333  "," (859) 331-8615  "
" Villa Madonna Academy High School "," SACS  "," 2500 Amsterdam Road  "," Villa Hills  "," 41017  "," pmcqueen@villamadonna.net  "," (859) 331-6333  "," (859) 331-8615  "
" Walden School "," ISACS  "," 4238 Westport Road  "," Louisville  "," 40207  "," lvanhouten@walden-school.org  "," (502) 893-0433  "," (502) 895-8668  "
" Walker Intermediate School "," SACS  "," Bldg. 5549, 114 Conroy Avenue  "," Fort Knox  "," 40121  "," donald.ratchford@am.dodea.edu  "," (502) 624-8348  "," (504) 624-6759  "
" Wassom Middle School "," SACS  "," 3066 Forrest Avenue  "," Ft. Campbell  "," 42223  "," campbell.superintendent@am.dodea.edu  "," (270) 439-3791  "," (270) 439-0671  "
" Whitefield Academy "," ACSI/SACS/CITA  "," 7711 Fegenbush Lane  "," Louisville  "," 40228  "," bmckinley@whitefield.org  "," (502) 239-2509  "," (502) 239-3144  "
,,,,,,,

